Affymetrix ID,Gene Symbol,RefSeq,P value (Middle/Young),Ratio (Middle/Young),P value (Old/Young),Ratio (Old/Young),P value (Senescent/Young),Ratio (Senescent/Young)
7948332,LPXN,NM_004811,1.05E-04,1.91,1.36E-05,2.37,1.49E-06,3.31
8107673,GRAMD3,NM_023927,1.10E-05,1.66,5.97E-06,1.77,6.86E-09,3.31
8015214,KRTAP2-4,NM_033184,2.46E-03,1.58,6.87E-05,2.15,2.65E-06,3.29
8019574,KRTAP2-4,NM_033184,2.46E-03,1.58,6.87E-05,2.15,2.65E-06,3.29
8100547,,---,1.32E-03,1.6,8.19E-05,2.01,1.31E-06,3.29
8025601,ICAM1,NM_000201,6.07E-01,1.13,7.76E-03,2.26,1.32E-03,3.29
7927964,SRGN,NM_002727,1.23E-06,3.12,8.96E-07,3.5,5.39E-06,3.25
8095110,KIT,NM_000222,1.54E-05,2.73,2.36E-04,2.22,1.96E-05,3.22
8108905,KCTD16,NM_020768,1.10E-01,1.37,7.03E-03,1.89,1.85E-04,3.22
8037272,PSG5,NM_002781,8.44E-07,2.34,1.18E-05,2.02,1.92E-07,3.2
8060897,PLCB4,NM_000933,3.69E-10,1.88,3.82E-10,1.96,2.30E-12,3.19
8008819,YPEL2,NM_001005404,4.43E-02,1.19,1.29E-05,1.78,2.62E-08,3.19
8021376,NEDD4L,NM_001144967,9.07E-03,1.37,1.54E-03,1.55,5.69E-07,3.18
7922337,TNFSF18,NM_005092,7.27E-02,1.21,2.97E-06,2.29,2.86E-07,3.18
7962183,AK3L1,NM_001005353,5.87E-01,1.11,9.15E-02,1.44,2.32E-04,3.16
8015268,KRT34,NM_021013,2.41E-06,2.11,1.84E-05,1.92,1.73E-07,3.13
8100541,IGFBP7,NM_001553,5.28E-04,1.65,1.04E-05,2.28,1.17E-06,3.13
7902127,SGIP1,NM_032291,1.16E-02,1.44,1.96E-04,2,5.13E-06,3.12
8149574,CSGALNACT1,NM_018371,3.19E-02,1.98,3.47E-01,1.34,5.48E-03,3.11
7978260,DHRS1,NM_001136050,1.78E-01,1.23,3.91E-03,1.74,2.97E-05,3.11
7921916,RGS5,NM_003617,1.71E-04,1.56,2.05E-05,1.81,8.12E-08,3.09
7969861,ITGBL1,NM_004791,9.03E-01,1.02,9.72E-03,1.53,9.78E-06,3.09
7913694,FUCA1,NM_000147,7.22E-01,1.04,2.16E-01,1.15,5.92E-07,3.08
8081386,NFKBIZ,NM_031419,2.08E-03,1.39,9.11E-05,1.68,1.20E-07,3.06
8156743,FOXE1,NM_004473,3.77E-04,1.62,3.20E-05,1.98,6.90E-07,3.05
8092230,ZMAT3,NM_022470,1.54E-08,1.88,4.85E-10,2.5,1.78E-10,3.05
8135943,,---,9.37E-01,0.98,9.95E-01,1,4.25E-03,3.05
8126855,C6orf138,NM_001013732,4.74E-01,1.06,2.84E-05,1.81,1.30E-07,3.04
8075635,TIMP3,NM_000362,2.27E-01,1.19,5.32E-04,2,2.17E-05,3.04
8173299,EDA2R,NM_021783,4.37E-06,1.7,7.59E-08,2.3,1.07E-08,3.02
7989365,RORA,NM_134260,2.10E-02,1.33,6.44E-03,1.46,1.65E-06,3.02
7986350,ARRDC4,NM_183376,8.28E-01,0.97,6.57E-03,1.56,8.98E-06,3.02
8093425,IDUA,NM_000203,1.74E-02,1.2,2.91E-06,1.78,7.77E-09,3.02
8171172,MXRA5,NM_015419,1.50E-03,1.73,7.21E-06,2.92,1.61E-05,3.02
8045835,GALNT5,NM_014568,1.34E-06,2.15,7.32E-08,2.91,1.82E-07,3
8149749,TNFRSF10D,NM_003840,1.51E-05,1.72,1.93E-06,2.04,6.81E-08,2.97
8031931,,---,9.47E-01,1.01,2.34E-01,1.23,6.52E-05,2.97
8066214,TGM2,NM_004613,4.68E-08,1.34,1.48E-10,1.68,9.71E-14,2.93
8168749,SRPX2,NM_014467,7.01E-01,0.96,4.26E-04,1.76,3.12E-06,2.92
7924071,KCNH1,NM_172362,2.95E-01,1.16,9.71E-05,2.26,2.09E-05,2.92
7974902,RHOJ,NM_020663,2.34E-01,1.19,1.02E-02,1.58,3.50E-05,2.92
8004408,FGF11,NM_004112,3.23E-01,0.89,4.21E-02,1.32,4.67E-06,2.91
8103226,TMEM154,NM_152680,5.71E-02,1.22,9.55E-04,1.55,6.41E-07,2.89
7946334,NLRP10,NM_176821,5.05E-03,1.79,2.16E-04,2.57,2.18E-04,2.87
7945245,NTM,NM_016522,2.22E-02,1.3,4.38E-05,1.94,1.29E-06,2.87
8151890,TP53INP1,NM_033285,7.25E-04,1.5,4.47E-07,2.56,4.33E-07,2.86
8154245,PDCD1LG2,NM_025239,2.95E-05,1.77,2.19E-05,1.87,3.52E-07,2.86
7969472,FLJ35379,ENST00000318245,1.23E-03,1.38,1.17E-03,1.41,7.64E-08,2.84
7939383,PRR5L,NM_024841,1.54E-01,1.16,7.29E-03,1.39,9.77E-07,2.84
7933509,ERCC6,NM_000124,1.61E-03,1.46,1.69E-05,2,8.70E-07,2.82
8172035,DYNLT3,NM_006520,1.45E-01,1.14,5.01E-04,1.55,3.59E-07,2.81
8090162,ITGB5,NM_002213,7.16E-04,1.16,1.37E-08,1.61,6.64E-12,2.8
8090823,SLCO2A1,NM_005630,1.49E-04,0.63,5.39E-04,0.66,2.79E-07,2.79
8028084,APLP1,NM_001024807,6.32E-01,1.04,5.04E-03,1.38,4.79E-07,2.79
7964872,PTPRB,NM_001109754,1.02E-01,1.46,1.07E-01,1.48,1.65E-03,2.78
8156919,MURC,NM_001018116,3.14E-02,1.23,1.04E-04,1.69,3.90E-07,2.78
8108724,PCDHB10,NM_018930,2.40E-03,1.36,6.54E-06,1.92,2.00E-07,2.77
8109490,SGCD,NM_000337,4.68E-02,1.62,1.40E-03,2.63,2.15E-03,2.77
7914127,IFI6,NM_002038,5.52E-01,1.05,3.52E-04,1.54,2.41E-07,2.77
8115490,ADAM19,NM_033274,5.54E-04,1.37,4.61E-07,2.02,2.70E-08,2.76
