Affymetrix ID,Gene Symbol,RefSeq,P value (Middle/Young),Ratio (Middle/Young),P value (Old/Young),Ratio (Old/Young),P value (Senescent/Young),Ratio (Senescent/Young)
8012958,UBE2S,NM_014501,6.05E-02,0.92,4.82E-06,0.73,2.23E-10,0.42
8158714,EXOSC2,NM_014285,3.36E-04,0.82,6.95E-07,0.67,2.00E-10,0.4
8097773,MAB21L2,NM_006439,1.60E-06,0.38,2.26E-08,0.22,1.82E-10,0.07
7901010,KIF2C,NM_006845,9.53E-02,0.88,3.71E-05,0.62,2.15E-10,0.2
8007673,DBF4B,BC033660,1.50E-04,0.79,1.30E-05,0.72,1.64E-10,0.36
7936706,C10orf119,NM_024834,4.75E-03,0.89,2.02E-06,0.73,8.27E-10,0.49
8043602,NCAPH,NM_015341,8.57E-03,0.8,5.47E-06,0.55,1.95E-10,0.18
8114425,CDC25C,NM_001790,1.81E-01,0.91,2.55E-05,0.64,5.02E-10,0.26
7954655,DDX11,NM_030653,6.09E-04,0.79,1.47E-06,0.61,2.53E-10,0.3
8143144,PTN,NM_002825,1.01E-01,0.88,2.61E-04,0.68,2.14E-10,0.2
8112327,CKS1B,NM_001826,2.03E-01,0.94,2.37E-06,0.67,1.23E-09,0.41
7940147,FAM111B,NM_198947,5.18E-02,0.82,7.99E-06,0.49,4.87E-10,0.14
7898549,MRTO4,NM_016183,9.13E-03,0.89,2.05E-07,0.65,1.34E-09,0.47
7916316,TMEM48,NM_018087,2.74E-02,0.88,2.68E-06,0.63,3.78E-10,0.31
7933707,ZWINT,NM_032997,2.46E-03,0.81,6.16E-07,0.58,3.85E-10,0.31
8107706,LMNB1,NM_005573,2.84E-02,0.81,9.84E-06,0.52,4.40E-10,0.16
7968658,EXOSC8,NM_181503,9.85E-04,0.8,4.36E-07,0.59,1.08E-09,0.36
7968563,RFC3,NM_002915,9.91E-02,0.88,6.42E-06,0.57,9.05E-10,0.25
7951752,USP28,NM_020886,4.18E-04,0.82,4.69E-06,0.71,2.07E-10,0.39
7962760,SENP1,NM_014554,3.14E-03,0.87,6.74E-07,0.67,3.09E-10,0.42
7905088,HIST2H2AC,NM_003517,9.76E-02,0.9,2.35E-06,0.6,1.27E-09,0.33
8124397,HIST1H1C,NM_005319,1.43E-02,0.86,1.64E-07,0.54,1.06E-09,0.34
8124524,HIST1H2AK,NM_003510,2.65E-01,0.9,1.11E-05,0.51,1.51E-09,0.18
8097356,PLK4,NM_014264,1.47E-01,0.87,3.82E-05,0.54,4.73E-10,0.14
7913869,STMN1,NM_203401,2.23E-01,0.96,4.42E-05,0.8,5.83E-10,0.5
7926896,CKS1B,NM_001826,2.31E-01,0.94,2.86E-06,0.67,1.93E-09,0.42
8007569,C17orf53,AK291924,1.59E-03,0.84,2.48E-06,0.68,3.72E-10,0.38
7901192,RAD54L,NM_003579,6.61E-02,0.89,3.84E-06,0.62,1.37E-09,0.33
7938366,WEE1,BX641032,3.01E-01,0.93,1.65E-04,0.67,6.86E-10,0.23
7894845,,---,3.75E-01,0.96,3.74E-05,0.76,7.66E-10,0.43
8117225,GMNN,NM_015895,2.11E-02,0.84,1.04E-05,0.6,9.49E-10,0.26
8144036,XRCC2,NM_005431,4.84E-02,0.83,1.17E-05,0.52,9.60E-10,0.18
7966878,CIT,NM_007174,2.09E-01,0.91,2.78E-05,0.61,6.36E-10,0.23
7971661,,---,3.06E-02,0.85,7.32E-06,0.59,1.37E-09,0.27
8033912,DNMT1,NM_001130823,4.02E-02,0.9,3.64E-05,0.74,4.08E-10,0.38
7927202,ZNF22,NM_006963,2.35E-03,0.83,2.10E-06,0.65,8.67E-10,0.38
7953351,NCAPD2,NM_014865,3.21E-03,0.82,7.58E-06,0.65,3.17E-10,0.3
7961767,KIAA0528,AK295862,3.67E-03,0.88,8.06E-07,0.7,7.43E-10,0.47
7983969,CCNB2,NM_004701,6.20E-02,0.86,1.85E-05,0.58,5.77E-10,0.2
8171297,MID1,NM_000381,3.65E-03,0.86,1.06E-06,0.66,7.28E-10,0.41
8162514,FANCC,NM_000136,5.59E-05,0.78,1.09E-06,0.67,4.86E-10,0.41
8102643,CCNA2,NM_001237,1.04E-01,0.9,1.67E-05,0.65,7.90E-10,0.3
8180309,,---,4.22E-09,0.43,3.47E-08,0.48,9.17E-10,0.32
7900167,CDCA8,NM_018101,7.67E-03,0.82,4.55E-05,0.66,3.80E-10,0.25
8001133,SHCBP1,NM_024745,3.88E-01,0.94,1.83E-04,0.68,1.20E-09,0.26
8079237,KIF15,NM_020242,3.10E-02,0.78,4.91E-05,0.52,5.95E-10,0.12
8066200,KIAA0406,BC013755,1.39E-05,0.78,3.42E-07,0.68,3.50E-10,0.46
8046804,NUP35,NM_138285,1.09E-01,0.92,4.76E-05,0.74,1.61E-09,0.41
7901091,TOE1,NM_025077,3.57E-04,0.79,1.89E-06,0.65,9.80E-10,0.39
8090448,RUVBL1,NM_003707,1.34E-02,0.9,2.48E-05,0.78,5.71E-10,0.47
7996593,CTCF,NM_006565,1.10E-04,0.8,6.42E-06,0.72,3.55E-10,0.41
7916727,ITGB3BP,NM_014288,1.65E-02,0.85,1.08E-06,0.58,2.78E-09,0.35
8025429,HNRNPM,NM_005968,2.06E-02,0.91,1.41E-05,0.77,6.06E-10,0.48
8124413,HIST1H4D,NM_003539,2.61E-02,0.8,2.65E-06,0.46,2.19E-09,0.19
7899134,CCDC21,NM_022778,5.38E-02,0.91,1.31E-05,0.72,9.88E-10,0.42
8038624,C19orf48,NM_199249,1.63E-04,0.78,7.02E-06,0.69,1.41E-09,0.41
8044473,POLR1B,NM_019014,4.42E-03,0.89,7.33E-06,0.76,7.66E-10,0.49
7976160,TDP1,NM_018319,7.70E-03,0.88,3.31E-06,0.72,2.84E-09,0.49
8179564,KIFC1,NM_002263,1.92E-02,0.81,8.45E-06,0.54,1.02E-09,0.2
8076393,CENPM,NM_024053,1.33E-03,0.84,6.25E-07,0.66,1.29E-09,0.45
7901788,NFIA,NM_001134673,8.33E-07,0.62,1.79E-08,0.49,4.40E-10,0.33
7965156,LIN7A,NM_004664,1.46E-06,1.89,3.85E-03,1.32,8.08E-08,0.37
8145418,CDCA2,NM_152562,2.22E-02,0.83,9.75E-06,0.57,1.42E-09,0.25
8145555,SCARA3,NM_016240,9.46E-02,0.93,1.62E-05,0.76,5.38E-10,0.45
8028916,SNRPA,NM_004596,4.70E-04,0.85,1.80E-06,0.73,4.17E-10,0.47
8147000,ZFHX4,NM_024721,3.70E-02,0.86,2.92E-06,0.56,2.49E-09,0.29
8083887,CLDN11,NM_005602,2.82E-01,0.95,6.11E-03,0.84,5.64E-10,0.35
8117608,HIST1H2AL,NM_003511,1.31E-02,0.8,7.93E-06,0.55,9.52E-10,0.22
8084206,B3GNT5,NM_032047,9.00E-06,0.63,1.34E-07,0.48,9.78E-08,0.43
8002762,RFWD3,NM_018124,1.51E-01,0.93,1.86E-05,0.7,2.32E-09,0.4
8102560,MAD2L1,NM_002358,3.71E-02,0.84,1.32E-05,0.57,2.00E-09,0.24
7899462,RCC1,NM_001048194,7.29E-05,0.76,6.16E-07,0.62,5.59E-10,0.37
8019857,NDC80,NM_006101,1.81E-02,0.81,4.12E-05,0.59,1.08E-09,0.21
7982792,RAD51,NM_002875,2.41E-01,0.93,1.01E-04,0.69,1.01E-08,0.37
7974404,CDKN3,NM_005192,2.74E-02,0.8,2.61E-05,0.54,8.82E-10,0.16
8105828,CCNB1,NM_031966,5.07E-02,0.86,6.41E-05,0.64,1.06E-09,0.25
7939158,QSER1,NM_001076786,1.25E-01,0.94,1.65E-04,0.8,3.17E-09,0.49
7948900,SNORD30,NR_002561,2.73E-03,0.78,8.02E-06,0.6,2.30E-09,0.3
7953130,C12orf32,NR_027363,3.13E-04,0.84,1.81E-06,0.73,2.96E-10,0.46
8040070,SOX11,NM_003108,5.56E-01,0.98,3.88E-06,0.71,5.51E-09,0.49
7901497,ZYG11A,NM_001004339,4.76E-03,0.84,1.23E-05,0.69,3.36E-09,0.41
7959025,RNFT2,NM_001109903,3.77E-06,0.72,8.08E-08,0.61,3.47E-10,0.4
7986446,ALDH1A3,NM_000693,5.92E-08,0.6,7.59E-08,0.59,1.24E-09,0.43
8051622,SFRS7,NM_001031684,8.36E-02,0.91,1.33E-04,0.75,2.22E-09,0.4
8039491,UBE2S,NM_014501,2.40E-02,0.89,9.71E-06,0.71,1.09E-09,0.42
8125919,FKBP5,NM_001145775,3.22E-02,0.79,2.73E-05,0.51,6.49E-10,0.13
7995574,HNRNPA1,NM_002136,7.58E-02,0.93,2.57E-05,0.78,1.05E-09,0.5
8003204,GINS2,NM_016095,1.08E-01,0.88,1.36E-05,0.58,3.12E-09,0.27
8035236,HAUS8,NM_033417,2.30E-02,0.87,3.03E-05,0.7,1.60E-08,0.44
7995976,CPNE2,NM_152727,9.77E-03,0.86,4.93E-06,0.67,7.67E-10,0.37
8004804,PFAS,NM_012393,8.32E-04,0.8,3.24E-06,0.65,1.63E-09,0.38
8057803,TMEFF2,NM_016192,6.84E-03,1.3,1.18E-01,0.86,2.38E-08,0.29
8093539,WHSC1,NM_133330,1.59E-01,0.91,7.27E-05,0.67,2.97E-09,0.31
8036777,FBL,NM_001436,2.19E-03,0.87,4.86E-06,0.74,1.11E-09,0.48
8061471,GINS1,NM_021067,8.81E-02,0.86,1.02E-04,0.6,2.62E-09,0.21
7919612,HIST2H3D,NM_001123375,8.72E-02,0.87,1.18E-05,0.58,2.43E-09,0.26
8003844,GSG2,NM_031965,2.09E-02,0.86,3.65E-05,0.68,2.16E-09,0.34
8071332,RANBP1,NM_002882,1.57E-01,0.93,8.64E-06,0.69,2.16E-09,0.41
8117377,HIST1H1E,NM_005321,1.48E-01,0.92,1.02E-04,0.72,1.37E-09,0.34
7947110,E2F8,NM_024680,1.23E-03,0.68,8.19E-07,0.41,3.96E-09,0.2
8117583,HIST1H2AI,NM_003509,9.53E-03,0.77,3.48E-06,0.48,2.44E-09,0.2
8138735,HOXA5,NM_019102,9.28E-07,0.47,9.11E-08,0.37,2.23E-09,0.21
7955613,KRT7,NM_005556,2.07E-08,0.27,6.24E-08,0.29,2.16E-07,0.29
7932584,PRTFDC1,NM_020200,1.16E-01,0.93,1.20E-05,0.73,2.91E-09,0.47
8081241,C3orf26,BC006512,3.32E-02,0.87,5.16E-06,0.63,5.53E-09,0.38
8060286,DTYMK,NM_012145,1.34E-02,0.87,1.03E-05,0.7,2.07E-09,0.41
8077262,DTYMK,NM_012145,1.34E-02,0.87,1.03E-05,0.7,2.07E-09,0.41
7906930,NUF2,NM_145697,2.26E-01,0.88,2.30E-04,0.58,3.22E-09,0.16
8124430,HIST1H1D,NM_005320,1.31E-03,0.72,1.37E-07,0.4,1.42E-08,0.29
8107307,CAMK4,NM_001744,1.92E-04,0.79,8.15E-07,0.65,9.43E-09,0.48
7969171,DLEU1,NR_002605,1.30E-03,0.82,2.80E-05,0.72,9.94E-10,0.39
7929334,CEP55,NM_018131,1.57E-01,0.9,1.29E-04,0.65,2.05E-09,0.25
7942832,C11orf82,NM_145018,2.68E-01,0.9,2.79E-04,0.6,3.58E-09,0.18
7964145,TIMELESS,NM_003920,6.95E-03,0.8,1.59E-05,0.6,1.56E-09,0.27
8112570,MRPS27,NM_015084,1.35E-03,0.86,3.04E-06,0.74,7.86E-10,0.49
7918300,PSRC1,NM_001032290,4.26E-03,0.85,1.90E-05,0.72,5.87E-09,0.46
8118669,KIFC1,NM_002263,1.94E-02,0.8,1.86E-05,0.55,3.10E-09,0.22
8016139,KIF18B,NM_001080443,3.18E-03,0.77,8.43E-06,0.57,1.78E-09,0.26
7971077,POSTN,NM_006475,3.45E-08,0.39,4.17E-02,0.83,3.34E-07,0.4
8138741,HOXA6,NM_024014,9.55E-08,0.42,3.02E-08,0.36,8.46E-09,0.28
7930008,NOLC1,NM_004741,3.29E-02,0.91,1.08E-03,0.83,4.29E-09,0.49
8040578,CENPO,NM_024322,1.63E-01,0.91,5.93E-05,0.67,3.81E-09,0.33
8156126,RMI1,NM_024945,1.54E-01,0.9,2.30E-05,0.62,1.32E-08,0.34
8109639,PTTG1,NM_004219,4.31E-01,0.95,1.81E-04,0.68,3.51E-09,0.29
8125125,LSM2,NM_021177,3.56E-03,0.85,1.05E-06,0.65,4.03E-09,0.45
8178641,LSM2,NM_021177,3.56E-03,0.85,1.05E-06,0.65,4.03E-09,0.45
8179839,LSM2,NM_021177,3.56E-03,0.85,1.05E-06,0.65,4.03E-09,0.45
7913852,C1orf135,BC000209,3.65E-02,0.86,2.61E-04,0.71,1.57E-08,0.36
8005957,SNORD4B,NR_000009,9.52E-03,0.85,6.01E-05,0.71,3.08E-09,0.37
8085628,ANKRD28,NM_015199,5.11E-01,0.97,1.15E-04,0.75,3.18E-09,0.42
7980636,EML5,NM_183387,1.49E-06,2.44,1.11E-01,1.21,4.18E-06,0.38
7994109,PLK1,NM_005030,1.40E-02,0.82,1.23E-04,0.66,1.57E-09,0.26
8117368,HIST1H4C,NM_003542,1.04E-01,0.89,3.73E-05,0.62,1.30E-08,0.33
8115410,GEMIN5,NM_015465,1.03E-03,0.85,7.86E-06,0.74,2.52E-09,0.5
8000013,ERI2,NM_001142725,2.49E-03,0.84,2.52E-06,0.66,5.35E-09,0.44
8173208,SPIN4,NM_001012968,1.32E-01,0.92,1.54E-04,0.75,6.12E-09,0.43
7982889,NUSAP1,NM_016359,3.06E-02,0.8,8.78E-05,0.57,2.09E-09,0.18
8004167,FAM64A,ENST00000308855,2.68E-01,0.91,2.90E-04,0.64,6.58E-09,0.24
8124540,HIST1H2AM,NM_003514,7.17E-03,0.74,3.39E-06,0.44,5.35E-09,0.19
8124388,HIST1H3B,NM_003537,7.35E-02,0.83,5.69E-05,0.54,2.65E-09,0.17
8124440,HIST1H3G,NM_003534,8.61E-03,0.75,1.15E-05,0.5,4.46E-09,0.2
8069933,C21orf45,NM_018944,1.71E-02,0.84,3.89E-06,0.59,1.79E-08,0.38
7909708,CENPF,NM_016343,1.49E-01,0.87,2.14E-04,0.59,3.65E-09,0.19
7919589,HIST2H3D,NM_001123375,6.11E-02,0.87,1.15E-05,0.6,6.96E-09,0.32
7957737,TMPO,NM_001032283,4.55E-02,0.81,5.60E-05,0.54,5.31E-09,0.19
8022747,B4GALT6,NM_004775,2.22E-08,0.31,1.12E-08,0.26,2.10E-07,0.32
7948908,SNORD26,NR_002564,7.56E-03,0.77,1.14E-05,0.53,1.05E-08,0.25
7970513,SKA3,NM_145061,8.49E-02,0.83,2.81E-04,0.58,3.96E-09,0.17
8040440,GEN1,NM_182625,9.41E-02,0.91,8.14E-06,0.66,4.50E-08,0.46
8070046,C21orf66,NR_027873,7.68E-03,0.87,5.74E-05,0.76,5.69E-09,0.47
8038347,TEAD2,NM_003598,2.96E-04,0.79,4.19E-06,0.67,2.14E-09,0.4
7983843,TCF12,NM_207036,5.84E-04,0.81,4.66E-06,0.69,1.33E-09,0.42
7955195,TROAP,NM_005480,8.51E-03,0.77,1.21E-04,0.61,2.52E-09,0.22
7985213,CHRNA5,NM_000745,9.72E-04,0.7,1.52E-05,0.54,1.18E-08,0.26
8054580,BUB1,NM_004336,9.37E-02,0.85,2.00E-04,0.6,4.98E-09,0.2
7977841,HAUS4,NM_017815,2.39E-04,0.78,1.69E-06,0.65,2.32E-09,0.41
8101945,H2AFZ,NM_002106,9.54E-02,0.91,7.19E-06,0.67,8.06E-09,0.44
7986068,BLM,NM_000057,8.61E-02,0.82,1.27E-04,0.52,9.33E-09,0.16
8145570,ESCO2,NM_001017420,7.31E-02,0.82,1.70E-04,0.57,9.32E-09,0.19
8015642,PSMC3IP,NM_016556,1.83E-01,0.93,2.50E-04,0.74,1.21E-08,0.42
8121911,C6orf173,NM_001012507,1.59E-01,0.87,8.96E-05,0.57,9.08E-09,0.22
8117339,HIST1H3C,NM_003531,5.46E-03,0.8,3.88E-06,0.56,1.41E-08,0.34
8083709,SMC4,NM_005496,8.49E-02,0.84,1.33E-04,0.59,4.99E-09,0.21
7945040,HYLS1,NM_145014,3.26E-03,0.79,7.76E-06,0.61,8.78E-09,0.35
8117589,HIST1H3H,NM_003536,5.40E-03,0.79,1.22E-06,0.51,1.75E-08,0.33
7983306,WDR76,NM_024908,9.75E-02,0.85,8.83E-05,0.56,7.54E-09,0.21
7989146,MNS1,NM_018365,1.14E-02,0.75,1.24E-05,0.48,8.67E-09,0.19
8143663,EZH2,NM_004456,1.13E-01,0.83,1.33E-04,0.53,8.30E-09,0.16
7935730,CWF19L1,NM_018294,2.10E-02,0.88,1.35E-05,0.7,2.15E-08,0.48
7984569,LRRC49,NM_017691,8.06E-03,0.86,1.62E-04,0.76,4.00E-09,0.42
7955019,ARID2,NM_152641,1.21E-01,0.93,1.29E-04,0.76,8.48E-09,0.47
8175177,MBNL3,NM_018388,6.66E-07,0.6,1.38E-07,0.53,5.79E-08,0.47
7902913,CDC7,NM_003503,1.12E-02,0.77,5.90E-06,0.49,1.40E-08,0.25
7907222,PRRX1,NM_006902,2.79E-01,1.06,1.37E-01,0.91,1.07E-08,0.41
8156341,CENPP,NM_001012267,5.41E-03,0.82,2.88E-06,0.6,1.19E-08,0.39
8065710,E2F1,NM_005225,2.55E-02,0.89,7.85E-06,0.69,2.88E-08,0.5
8060675,CDC25B,NM_021873,1.79E-04,0.71,2.58E-06,0.57,3.67E-09,0.32
8117922,PRR3,NM_025263,2.83E-05,0.76,7.45E-06,0.71,1.61E-09,0.44
7893709,,---,7.03E-04,0.84,6.84E-06,0.73,2.83E-09,0.48
7974366,PTGER2,NM_000956,1.97E-03,0.65,3.35E-05,0.47,2.23E-09,0.13
8117140,CDKAL1,NM_017774,2.30E-01,0.94,1.57E-04,0.74,1.25E-08,0.43
8077731,FANCD2,NM_033084,6.20E-02,0.8,1.33E-04,0.54,7.80E-09,0.17
7896184,,---,2.55E-01,0.94,5.19E-04,0.79,7.45E-09,0.45
8138489,CDCA7L,NM_018719,1.71E-02,0.85,3.93E-05,0.67,9.99E-09,0.38
7990873,MEX3B,NM_032246,3.51E-03,0.84,1.45E-04,0.76,5.97E-09,0.44
7932985,NRP1,NM_003873,8.71E-04,0.75,1.81E-04,0.69,3.08E-09,0.31
8124813,MDC1,NM_014641,6.88E-03,0.86,1.06E-05,0.69,1.54E-08,0.47
8178404,MDC1,NM_014641,6.88E-03,0.86,1.06E-05,0.69,1.54E-08,0.47
8021101,HAUS1,NR_026978,1.21E-02,0.87,2.18E-05,0.71,1.28E-08,0.47
7959052,RFC5,NM_181578,9.65E-02,0.87,4.22E-05,0.59,2.29E-08,0.3
7938364,WEE1,BX641032,8.85E-01,0.99,8.12E-04,0.67,7.00E-08,0.32
8118963,FANCE,NM_021922,9.52E-02,0.9,6.70E-05,0.68,2.72E-08,0.4
8144378,AGPAT5,NM_018361,4.90E-02,0.85,7.71E-05,0.63,2.50E-08,0.33
8115196,ZNF300,NM_052860,6.12E-02,0.83,1.06E-04,0.58,5.65E-09,0.21
7927710,CDC2,NM_001786,4.31E-02,0.8,3.23E-05,0.51,1.40E-08,0.21
8056572,SPC25,NM_020675,5.46E-02,0.78,2.05E-04,0.52,1.02E-08,0.15
8016147,KIF18B,NM_001080443,3.70E-02,0.83,7.00E-05,0.6,1.32E-08,0.27
8010260,BIRC5,NM_001168,1.54E-02,0.84,3.71E-05,0.66,7.47E-09,0.36
7909568,DTL,NM_016448,2.30E-01,0.89,5.14E-04,0.62,1.89E-08,0.23
7982757,CASC5,NM_170589,4.70E-01,0.93,1.12E-03,0.63,1.89E-08,0.2
8152668,ATAD2,NM_014109,1.68E-01,0.88,2.08E-04,0.62,2.72E-08,0.27
7960340,FOXM1,NM_202002,1.04E-02,0.74,9.72E-05,0.54,4.78E-09,0.17
8008982,TBX4,NM_018488,5.03E-09,0.35,1.79E-08,0.37,1.64E-07,0.4
7901123,NASP,NM_172164,6.15E-02,0.85,2.14E-04,0.65,1.48E-08,0.29
7904572,,---,1.20E-06,0.39,7.19E-08,0.27,6.49E-07,0.3
7905085,HIST2H3A,NM_001005464,1.05E-01,0.87,5.32E-05,0.59,2.75E-08,0.3
7919614,HIST2H3A,NM_001005464,1.05E-01,0.87,5.32E-05,0.59,2.75E-08,0.3
7957008,CPSF6,NM_007007,2.50E-03,0.84,5.72E-05,0.74,1.22E-08,0.47
7893921,,---,2.23E-03,0.84,9.67E-05,0.76,6.80E-09,0.46
7958031,C12orf48,AK302724,4.47E-02,0.82,7.23E-05,0.57,3.52E-08,0.26
7949364,CDCA5,NM_080668,2.00E-02,0.8,7.97E-05,0.6,1.51E-08,0.27
7902425,ST6GALNAC3,NM_152996,1.22E-07,0.53,8.46E-07,0.56,3.35E-08,0.42
8006479,LIG3,NM_013975,3.41E-02,0.9,2.55E-05,0.72,1.97E-08,0.49
8170468,HMGB3,NM_005342,6.92E-02,0.87,5.45E-05,0.63,3.09E-08,0.35
7924733,PARP1,NM_001618,5.50E-02,0.87,1.82E-04,0.69,1.71E-08,0.36
8094301,SLIT2,NM_004787,3.38E-02,1.39,4.11E-01,0.88,5.42E-08,0.14
7987636,OIP5,NM_007280,6.81E-02,0.84,7.97E-04,0.66,3.13E-08,0.28
7895521,,---,4.68E-01,0.96,2.47E-05,0.67,6.87E-08,0.45
7948896,SNORD22,NR_000008,3.55E-03,0.76,8.36E-06,0.55,5.63E-08,0.34
8150599,PRKDC,NM_006904,4.79E-01,0.96,2.48E-04,0.76,7.13E-08,0.5
7940561,FEN1,NM_004111,5.89E-02,0.87,4.84E-05,0.66,1.99E-07,0.45
7989647,KIAA0101,NM_014736,1.36E-01,0.85,7.48E-04,0.6,1.44E-08,0.19
7929258,KIF11,NM_004523,1.82E-01,0.86,4.65E-04,0.57,1.96E-08,0.18
7932109,SEPHS1,NM_012247,4.74E-02,0.89,4.54E-05,0.71,4.59E-08,0.47
8102362,TIFA,NM_052864,3.45E-01,0.94,8.98E-02,0.88,5.07E-08,0.38
8117330,HIST1H3A,NM_003529,5.31E-02,0.78,4.12E-05,0.46,2.77E-08,0.18
8094901,GABRB1,NM_000812,4.92E-05,1.89,6.30E-02,1.25,1.06E-06,0.33
8006237,LOC400590,ENST00000433145,1.54E-04,0.75,3.83E-07,0.57,2.32E-08,0.44
8151074,PDE7A,NM_002603,1.66E-02,0.87,1.14E-04,0.74,1.55E-08,0.45
7896059,,---,1.72E-03,0.8,4.24E-06,0.63,8.58E-09,0.41
8059071,NHEJ1,NM_024782,5.74E-04,0.81,1.75E-05,0.71,8.98E-09,0.46
8103932,MLF1IP,NM_024629,2.64E-01,0.89,2.65E-04,0.58,4.32E-08,0.24
8152522,ENPP2,NM_006209,1.46E-03,0.77,1.23E-06,0.55,8.19E-09,0.34
8058695,BARD1,NM_000465,9.62E-01,1,2.42E-03,0.73,1.06E-07,0.36
8124531,HIST1H3I,NM_003533,1.42E-01,0.87,6.54E-04,0.64,1.43E-08,0.23
7956949,NUP107,NM_020401,2.22E-01,0.91,1.19E-04,0.65,6.90E-08,0.36
8171381,FANCB,NM_001018113,5.42E-01,0.94,7.83E-04,0.62,4.28E-08,0.24
7979307,DLGAP5,NM_014750,1.75E-01,0.86,2.35E-03,0.65,1.83E-08,0.19
7992594,CCNF,NM_001761,1.50E-02,0.78,3.17E-04,0.62,1.78E-08,0.25
8085754,SGOL1,NM_001012410,1.44E-01,0.82,9.03E-04,0.55,2.77E-08,0.14
8030641,POLD1,NM_002691,1.01E-02,0.83,1.88E-05,0.64,2.91E-08,0.4
7945014,CHEK1,NM_001274,1.05E-01,0.89,1.06E-04,0.68,7.00E-08,0.41
8087839,WDR51A,NM_015426,7.88E-02,0.88,2.03E-04,0.7,2.03E-08,0.37
7993776,LOC81691,NM_030941,1.36E-01,0.91,6.66E-06,0.63,4.79E-08,0.44
7924119,INTS7,NM_015434,1.28E-01,0.9,3.39E-04,0.72,3.70E-08,0.41
7927669,TFAM,NM_003201,5.37E-02,0.86,3.36E-05,0.63,7.30E-08,0.39
8035628,NR2C2AP,NM_176880,2.14E-03,0.77,6.36E-06,0.58,2.70E-08,0.36
8005953,SNORD4A,NR_000010,8.25E-03,0.8,4.23E-05,0.63,2.34E-08,0.34
8124510,HIST1H2BL,NM_003519,7.75E-02,0.84,6.04E-05,0.55,8.33E-08,0.28
7953218,RAD51AP1,NM_001130862,1.53E-01,0.84,4.04E-04,0.55,5.61E-08,0.19
7923086,ASPM,NM_018136,3.04E-01,0.88,1.06E-03,0.59,3.38E-08,0.19
7916167,ORC1L,NM_004153,2.01E-02,0.76,4.26E-05,0.5,3.44E-08,0.22
8004144,MIS12,NM_024039,1.14E-02,0.85,1.78E-04,0.73,4.14E-08,0.45
7964522,CDK4,NM_000075,8.25E-02,0.91,3.49E-04,0.76,2.88E-08,0.46
7969243,CKAP2,NM_018204,7.08E-01,0.98,2.03E-03,0.76,4.38E-08,0.39
8106923,NR2F1,NM_005654,2.02E-05,0.66,5.57E-06,0.61,6.05E-09,0.35
7974198,PPIL5,NM_152329,7.13E-02,0.88,1.36E-04,0.69,3.30E-08,0.39
8175420,RBMX,NM_002139,8.72E-03,0.83,5.34E-05,0.68,1.79E-08,0.39
7894964,,---,6.72E-03,0.84,2.17E-05,0.68,4.39E-08,0.46
8120043,RUNX2,NM_001024630,2.36E-03,0.82,9.12E-04,0.78,8.42E-09,0.42
7903188,PTBP2,NM_021190,3.42E-02,0.89,3.80E-04,0.77,4.73E-08,0.49
7989975,CLN6,NM_017882,4.25E-02,0.87,2.16E-05,0.64,5.12E-08,0.41
7937915,RRM1,NM_001033,1.91E-01,0.91,1.00E-04,0.67,5.77E-08,0.4
8042737,ALMS1,NM_015120,4.82E-02,0.89,2.16E-04,0.74,4.39E-08,0.47
7954006,BCL2L14,ENST00000396369,1.34E-02,0.87,2.01E-05,0.7,2.57E-08,0.48
8091972,MECOM,NM_001105078,8.42E-01,1.01,6.37E-01,1.03,5.47E-08,0.49
8136448,CHRM2,NM_001006630,6.53E-01,0.97,2.76E-03,0.79,3.00E-08,0.42
8102371,C4orf21,NM_001099776,2.99E-01,0.91,3.55E-04,0.64,1.87E-07,0.34
7960702,CDCA3,NM_031299,3.48E-02,0.79,2.32E-04,0.59,2.86E-08,0.23
8174576,AMOT,NM_133265,3.73E-04,0.78,5.96E-06,0.66,2.80E-08,0.47
7952830,NCAPD3,NM_015261,4.46E-02,0.83,8.35E-05,0.6,4.55E-08,0.3
7943297,CEP57,NM_014679,2.44E-02,0.88,8.04E-05,0.74,3.03E-08,0.48
8124437,HIST1H3F,NM_021018,1.99E-01,0.87,1.37E-04,0.54,7.22E-08,0.23
8124537,HIST1H3J,NM_003535,8.70E-02,0.76,1.42E-04,0.41,5.83E-08,0.12
7904452,FAM72D,AB096683,1.05E-02,0.75,1.29E-04,0.56,3.65E-08,0.24
8073766,RIBC2,NM_015653,2.30E-05,0.64,2.20E-07,0.47,3.66E-07,0.45
8162601,ZNF367,NM_153695,3.68E-01,0.93,9.14E-04,0.7,3.83E-07,0.4
7943369,TMEM133,NM_032021,5.86E-02,1.16,6.76E-03,0.78,1.00E-06,0.46
7961022,PZP,ENST00000381997,7.69E-03,0.86,1.77E-05,0.7,2.83E-08,0.48
7929438,HELLS,NM_018063,4.17E-01,0.91,7.98E-04,0.58,1.73E-07,0.23
7948476,PRPF19,NM_014502,1.49E-03,0.81,1.92E-05,0.69,3.07E-08,0.47
8014974,TOP2A,NM_001067,2.59E-01,0.89,1.18E-03,0.64,5.08E-08,0.24
8103431,C4orf46,NM_001008393,6.50E-02,0.88,1.71E-04,0.69,1.37E-07,0.43
8087513,TRAIP,NM_005879,3.83E-02,0.87,1.22E-04,0.69,2.72E-07,0.47
8089875,POLQ,NM_199420,6.62E-01,0.95,2.53E-03,0.65,1.58E-07,0.26
