"","x"
"962",51009
"963",54820
"964",10335
"965",79041
"966",8907
"967",5817
"968",7515
"969",949
"970",4171
"971",54456
"972",56666
"973",83642
"974",80216
"975",5151
"976",1183
"977",54475
"978",6389
"979",6605
"980",55876
"981",5927
"982",5523
"983",10979
"984",5743
"985",10644
"986",9175
"987",NA
"988",10129
"989",8301
"990",4905
"991",2736
"992",23332
"993",65993
"994",4854
"995",1207
"996",8463
"997",8726
"998",7251
"999",55421
"1000",489
"1001",771
"1002",11343
"1003",59277
"1004",617
"1005",9891
"1006",54878
"1007",9187
"1008",55205
"1009",8578
"1010",3998
"1011",51495
"1012",23140
"1013",2023
"1014",56005
"1015",57719
"1016",51175
"1017",55160
"1018",6865
"1019",64431
"1020",54962
"1021",6717
"1022",8672
"1023",79023
"1024",10371
"1025",51512
"1026",10512
"1027",55020
"1028",38
"1029",23151
"1030",27332
"1031",55972
"1032",29090
"1033",9462
"1034",9605
"1035",7587
"1036",4140
"1037",5250
"1038",64778
"1039",2355
"1040",285527
"1041",23505
"1042",6624
"1043",60
"1044",55034
"1045",5337
"1046",284403
"1047",1739
"1048",7879
"1049",55973
"1050",25956
"1051",9733
"1052",23016
"1053",22920
"1054",23609
"1055",4175
"1056",25996
"1057",10179
"1058",5939
"1059",11176
"1060",25930
"1061",4292
"1062",7374
"1063",2329
"1064",27252
"1065",8786
"1066",113235
"1067",5362
"1068",10615
"1069",88455
"1070",32
"1071",9618
"1072",55824
"1073",55094
"1074",3385
"1075",22978
"1076",4162
"1077",56949
"1078",9138
"1079",6813
"1080",5609
"1081",8527
"1082",83992
"1083",7155
"1084",56889
"1085",4791
"1086",29089
"1087",4660
"1088",54431
"1089",2975
"1090",3566
"1091",23032
"1092",6626
"1093",56915
"1094",1781
"1095",54518
"1096",4034
"1097",143684
"1098",51548
"1099",10714
"1100",832
"1101",7107
"1102",10003
"1103",79960
"1104",203427
"1105",7319
"1106",2260
"1107",2192
"1108",8516
"1109",4133
"1110",9063
"1111",369
"1112",56922
"1113",2191
"1114",55331
"1115",3093
"1116",5289
"1117",55728
"1118",57103
"1119",7289
"1120",8871
"1121",5527
"1122",NA
"1123",2782
"1124",1906
"1125",8028
"1126",55063
"1127",26281
"1128",4898
"1129",7419
"1130",5108
"1131",57690
"1132",9139
"1133",83737
"1134",58476
"1135",51150
"1136",54472
"1137",51619
"1138",862
"1139",9984
"1140",51661
"1141",114880
"1142",7520
"1143",56925
"1144",8569
"1145",7145
"1146",57455
"1147",56681
"1148",8556
"1149",10411
"1150",29843
"1151",23152
"1152",3991
"1153",2222
"1154",5050
"1155",4983
"1156",3835
"1157",55604
"1158",5236
"1159",1653
"1160",1785
"1161",2037
"1162",22999
"1163",26002
"1164",8417
"1165",11159
"1166",9817
"1167",55510
"1168",5794
"1169",51006
"1170",131544
"1171",5991
"1172",55183
"1173",23011
"1174",8671
"1175",6595
"1176",27244
"1177",11043
"1178",50509
"1179",10847
"1180",9933
"1181",3781
"1182",4850
"1183",5663
"1184",1371
"1185",56650
"1186",5891
"1187",3320
"1188",5933
"1189",22839
"1190",114819
"1191",10403
"1192",23431
"1193",54665
"1194",260425
"1195",2920
"1196",6932
"1197",28962
"1198",57092
"1199",55218
