"Gene","ensembl_gene_id","entrezgene_id"
"IFNA16","ENSG00000147885",3449
"IFNA17","ENSG00000234829",3451
"IFNA2","ENSG00000188379",3440
"IFNA21","ENSG00000137080",3452
"IFNA4","ENSG00000236637",3441
"IFNA5","ENSG00000147873",3442
"IFNA6","ENSG00000120235",3443
"IFNA7","ENSG00000214042",3444
"IFNA8","ENSG00000120242",3445
"IFNB1","ENSG00000171855",3456
"IFNK","ENSG00000147896",56832
"IFNW1","ENSG00000177047",3467
"IL12B","ENSG00000113302",3593
"IL13","ENSG00000169194",3596
"IL17A","ENSG00000112115",3605
"IL17F","ENSG00000112116",112744
"IL1F10","ENSG00000136697",84639
"IL21","ENSG00000138684",59067
"IL22","ENSG00000127318",50616
"IL25","ENSG00000166090",64806
"IL26","ENSG00000111536",55801
"IL3","ENSG00000164399",3562
"IL31","ENSG00000204671",386653
"IL36A","ENSG00000136694",27179
"IL36B","ENSG00000136696",27177
"IL36RN","ENSG00000136695",26525
"IL9","ENSG00000145839",3578
"INS","ENSG00000254647",3630
"INSL5","ENSG00000172410",10022
"INSL6","ENSG00000120210",11172
"INSM2","ENSG00000168348",84684
"INSRR","ENSG00000027644",3645
"IQCF1","ENSG00000173389",132141
"IRGC","ENSG00000124449",56269
"ISX","ENSG00000175329",91464
"IZUMO2","ENSG00000161652",126123
"KASH5","ENSG00000161609",147872
"KCNA10","ENSG00000143105",3744
"KCNB2","ENSG00000182674",9312
"KCNG4","ENSG00000168418",93107
"KCNK10","ENSG00000100433",54207
"KCNK16","ENSG00000095981",83795
"KCNK18","ENSG00000186795",338567
"KCNV1","ENSG00000164794",27012
"KHDC3L","ENSG00000203908",154288
"KIF2B","ENSG00000141200",84643
"KIR2DL1","ENSG00000125498",3802
"KIR3DL3","ENSG00000242019",115653
"KLK12","ENSG00000186474",43849
"KLK9","ENSG00000213022",284366
"KRT2","ENSG00000172867",3849
"KRT25","ENSG00000204897",147183
"KRT26","ENSG00000186393",353288
"KRT28","ENSG00000173908",162605
"KRT33A","ENSG00000006059",3883
"KRT35","ENSG00000197079",3886
"KRT36","ENSG00000126337",8689
"KRT37","ENSG00000108417",8688
"KRT38","ENSG00000171360",8687
"KRT40","ENSG00000204889",125115
"KRT71","ENSG00000139648",112802
"KRT73","ENSG00000186049",319101
"KRT74","ENSG00000170484",121391
"KRT75","ENSG00000170454",9119
"KRT76","ENSG00000185069",51350
"KRT77","ENSG00000189182",374454
"KRT78","ENSG00000170423",196374
"KRT82","ENSG00000161850",3888
"KRT84","ENSG00000161849",3890
"KRT85","ENSG00000135443",3891
"KRT86","ENSG00000170442",3892
"KRT9","ENSG00000171403",3857
"KRTAP1-1","ENSG00000188581",81851
"KRTAP10-1","ENSG00000215455",386677
"KRTAP10-10","ENSG00000221859",353333
"KRTAP10-11","ENSG00000243489",386678
"KRTAP10-12","ENSG00000189169",386685
"KRTAP10-2","ENSG00000205445",386679
"KRTAP10-4","ENSG00000215454",386672
"KRTAP10-5","ENSG00000241123",386680
"KRTAP10-6","ENSG00000188155",386674
"KRTAP10-8","ENSG00000187766",386681
"KRTAP10-9","ENSG00000221837",386676
"KRTAP11-1","ENSG00000182591",337880
"KRTAP13-1","ENSG00000198390",140258
"KRTAP13-2","ENSG00000182816",337959
"KRTAP13-3","ENSG00000240432",337960
"KRTAP13-4","ENSG00000186971",284827
"KRTAP15-1","ENSG00000186970",254950
"KRTAP17-1","ENSG00000186860",83902
"KRTAP19-3","ENSG00000244025",337970
"KRTAP23-1","ENSG00000186980",337963
"KRTAP26-1","ENSG00000197683",388818
"KRTAP3-2","ENSG00000212900",83897
"KRTAP4-11","ENSG00000212721",653240
"KRTAP4-12","ENSG00000213416",83755
"KRTAP4-2","ENSG00000244537",85291
"KRTAP4-4","ENSG00000171396",84616
"KRTAP4-7","ENSG00000240871",100132476
"KRTAP5-2","ENSG00000205867",440021
"KRTAP9-2","ENSG00000239886",83899
"KRTAP9-3","ENSG00000204873",83900
"KRTAP9-4","ENSG00000241595",85280
"LALBA","ENSG00000167531",3906
"LBX1","ENSG00000138136",10660
"LCN9","ENSG00000148386",392399
"LCT","ENSG00000115850",3938
"LGALS13","ENSG00000105198",29124
"LGALS14","ENSG00000006659",56891
"LHFPL5","ENSG00000197753",222662
"LHX3","ENSG00000107187",8022
"LHX5","ENSG00000089116",64211
"LIM2","ENSG00000105370",3982
"LIN28A","ENSG00000131914",79727
"LIPM","ENSG00000173239",340654
"LORICRIN","ENSG00000203782",4014
"LRIT1","ENSG00000148602",26103
"LRIT2","ENSG00000204033",340745
"LRRC10","ENSG00000198812",376132
"LYZL1","ENSG00000120563",84569
"LYZL6","ENSG00000275722",57151
"MAS1","ENSG00000130368",4142
"MAS1L","ENSG00000204687",116511
"MBD3L1","ENSG00000170948",85509
"MBD3L2","ENSG00000230522",125997
"MBL2","ENSG00000165471",4153
"MC2R","ENSG00000185231",4158
"MC3R","ENSG00000124089",4159
"MC5R","ENSG00000176136",4161
"MEP1A","ENSG00000112818",4224
"MEP1B","ENSG00000141434",4225
"MEPE","ENSG00000152595",56955
"MFRP","ENSG00000235718",83552
"MMD2","ENSG00000136297",221938
"MMP20","ENSG00000137674",9313
"MMP21","ENSG00000154485",118856
"MMP26","ENSG00000167346",56547
"MMP27","ENSG00000137675",64066
"MOGAT3","ENSG00000106384",346606
"MORC1","ENSG00000114487",27136
"MRGPRD","ENSG00000172938",116512
"MRGPRX1","ENSG00000170255",124906949
"MRGPRX2","ENSG00000183695",117194
"MRGPRX4","ENSG00000179817",117196
"MS4A10","ENSG00000172689",341116
"MS4A13","ENSG00000204979",503497
"MS4A5","ENSG00000166930",64232
"MSGN1","ENSG00000151379",343930
"MT1B","ENSG00000169688",4490
"MTNR1B","ENSG00000134640",4544
"MUC17","ENSG00000169876",140453
"MUC7","ENSG00000171195",4589
"MUCL3","ENSG00000168631",135656
"MYBPC3","ENSG00000134571",4607
"MYF5","ENSG00000111049",4617
"NANOGNB","ENSG00000205857",360030
"NANOS2","ENSG00000188425",339345
"NCR2","ENSG00000096264",9436
"NDST4","ENSG00000138653",64579
"NEUROD2","ENSG00000171532",4761
"NEUROD4","ENSG00000123307",58158
"NEUROD6","ENSG00000164600",63974
"NEUROG1","ENSG00000181965",4762
"NKX2-1","ENSG00000136352",7080
"NKX2-2","ENSG00000125820",4821
"NLRP4","ENSG00000160505",147945
"NLRP5","ENSG00000171487",126206
"NLRP8","ENSG00000179709",126205
"NLRP9","ENSG00000185792",338321
"NMS","ENSG00000204640",129521
"NOTO","ENSG00000214513",344022
"NOX3","ENSG00000074771",50508
"NPFFR1","ENSG00000148734",64106
"NPHS2","ENSG00000116218",7827
"NPSR1","ENSG00000187258",387129
"NPVF","ENSG00000105954",64111
"NR2E1","ENSG00000112333",7101
"OC90","ENSG00000253117",729330
"OLIG2","ENSG00000205927",10215
"OLIG3","ENSG00000177468",167826
"OPALIN","ENSG00000197430",93377
"OPN5","ENSG00000124818",221391
"OR10A2","ENSG00000170790",341276
"OR10A4","ENSG00000170782",283297
"OR10A5","ENSG00000166363",144124
"OR10H1","ENSG00000186723",26539
"OR10H2","ENSG00000171942",26538
"OR10H3","ENSG00000171936",26532
"OR10J1","ENSG00000196184",26476
"OR10R2","ENSG00000198965",343406
"OR10S1","ENSG00000196248",219873
"OR10X1","ENSG00000279111",128367
"OR10Z1","ENSG00000198967",128368
"OR11A1","ENSG00000204694",26531
"OR12D2","ENSG00000280236",26529
"OR12D3","ENSG00000112462",81797
"OR13C3","ENSG00000204246",138803
"OR13D1","ENSG00000179055",286365
"OR14A16","ENSG00000196772",284532
"OR1A1","ENSG00000172146",8383
"OR1A2","ENSG00000172150",26189
"OR1B1","ENSG00000280094",347169
"OR1D2","ENSG00000184166",4991
"OR1E1","ENSG00000180016",8387
"OR1E2","ENSG00000127780",8388
"OR1G1","ENSG00000183024",8390
"OR1L6","ENSG00000171459",392390
"OR1N2","ENSG00000171501",138882
"OR1S1","ENSG00000280204",219959
"OR1S2","ENSG00000197887",219958
"OR2AK2","ENSG00000187080",391191
"OR2AT4","ENSG00000171561",341152
"OR2C1","ENSG00000168158",4993
"OR2C3","ENSG00000196242",148824
"OR2D2","ENSG00000166368",120776
"OR2D3","ENSG00000178358",120775
"OR2F1","ENSG00000213215",26211
"OR2G2","ENSG00000177489",81470
"OR2G3","ENSG00000177476",81469
"OR2H1","ENSG00000204688",26716
"OR2J2","ENSG00000204700",26707
"OR2L3","ENSG00000198128",391192
"OR2T1","ENSG00000175143",26696
"OR2T10","ENSG00000184022",127069
"OR2T12","ENSG00000177201",127064
"OR2T2","ENSG00000196240",401992
"OR2T27","ENSG00000187701",403239
"OR2T33","ENSG00000177212",391195
"OR2T4","ENSG00000196944",127074
"OR2T5","ENSG00000203661",401993
"OR2W1","ENSG00000204704",26692
"OR3A1","ENSG00000180090",4994
"OR3A2","ENSG00000221882",4995
"OR3A3","ENSG00000159961",8392
"OR4C11","ENSG00000172188",219429
"OR4C3","ENSG00000176547",256144
"OR4D1","ENSG00000141194",26689
"OR4D10","ENSG00000254466",390197
"OR4D11","ENSG00000176200",219986
"OR4D9","ENSG00000172742",390199
"OR4K17","ENSG00000176230",390436
"OR51B6","ENSG00000176239",390058
"OR51D1","ENSG00000197428",390038
"OR51F2","ENSG00000176925",119694
"OR51T1","ENSG00000176900",401665
"OR51V1","ENSG00000176742",283111
"OR52A1","ENSG00000182070",23538
"OR52A5","ENSG00000171944",390054
"OR52B2","ENSG00000255307",255725
"OR52B6","ENSG00000187747",340980
"OR52E8","ENSG00000183269",390079
"OR52I2","ENSG00000226288",143502
"OR52K2","ENSG00000181963",119774
"OR52L1","ENSG00000183313",338751
"OR52M1","ENSG00000197790",119772
"OR52R1","ENSG00000279270",119695
"OR52W1","ENSG00000175485",120787
"OR56A1","ENSG00000180934",120796
"OR56A4","ENSG00000183389",120793
"OR56B1","ENSG00000181023",387748
"OR5AU1","ENSG00000169327",390445
"OR5C1","ENSG00000148215",392391
"OR5I1","ENSG00000167825",10798
"OR5M1","ENSG00000255012",390168
"OR5M10","ENSG00000254834",390167
"OR5P2","ENSG00000183303",120065
"OR5P3","ENSG00000182334",120066
"OR5T1","ENSG00000181698",390155
"OR5T2","ENSG00000181718",219464
"OR5T3","ENSG00000172489",390154
"OR5V1","ENSG00000243729",81696
"OR5W2","ENSG00000187612",390148
"OR6A2","ENSG00000184933",8590
"OR6K6","ENSG00000180433",128371
"OR6S1","ENSG00000181803",341799
"OR6V1","ENSG00000225781",346517
"OR7A17","ENSG00000185385",26333
"OR7C2","ENSG00000127529",26658
"OR7D4","ENSG00000174667",125958
"OR7G2","ENSG00000170923",390882
"OR8A1","ENSG00000196119",390275
"OR8B8","ENSG00000197125",26493
"OR8G5","ENSG00000255298",219865
"OR8U1","ENSG00000172199",219417
"OR8U3","ENSG00000279961",219479
"OR9Q2","ENSG00000186513",219957
"OTOP1","ENSG00000163982",133060
"OTOP3","ENSG00000182938",347741
"OTOR","ENSG00000125879",56914
"OTP","ENSG00000171540",23440
"OTX2","ENSG00000165588",5015
"PANX3","ENSG00000154143",116337
"PAX1","ENSG00000125813",5075
"PAX4","ENSG00000106331",5078
"PBOV1","ENSG00000254440",59351
"PCARE","ENSG00000179270",388939
"PDCL2","ENSG00000163440",132954
"PDE6H","ENSG00000139053",5149
"PDILT","ENSG00000169340",204474
"PDX1","ENSG00000139515",3651
"PDYN","ENSG00000101327",5173
"PGK2","ENSG00000170950",5232
"PGLYRP2","ENSG00000161031",114770
"PGLYRP3","ENSG00000159527",114771
"PIWIL1","ENSG00000125207",9271
"PIWIL3","ENSG00000184571",440822
"PLA2G2E","ENSG00000188784",30814
"PLA2G2F","ENSG00000158786",64600
"PLA2G4E","ENSG00000188089",123745
"PNLIP","ENSG00000175535",5406
"PNLIPRP1","ENSG00000187021",5407
"PNPLA5","ENSG00000100341",150379
"POM121L12","ENSG00000221900",285877
"POTED","ENSG00000166351",317754
"POTEG","ENSG00000187537",404785
"POTEH","ENSG00000198062",23784
"POU4F2","ENSG00000151615",5458
"POU4F3","ENSG00000091010",5459
"POU5F2","ENSG00000248483",134187
"PPP3R2","ENSG00000188386",5535
"PRAMEF1","ENSG00000116721",65121
"PRAMEF2","ENSG00000120952",65122
"PRAMEF4","ENSG00000243073",400735
"PRAMEF7","ENSG00000204510",441871
"PRB1","ENSG00000251655",653247
"PRB4","ENSG00000230657",5545
"PRDM13","ENSG00000112238",59336
"PRDM14","ENSG00000147596",63978
"PRDM7","ENSG00000126856",11105
"PRDM9","ENSG00000164256",56979
"PRG3","ENSG00000156575",10394
"PRLH","ENSG00000071677",51052
"PRLHR","ENSG00000119973",2834
"PROP1","ENSG00000175325",5626
"PRSS33","ENSG00000103355",260429
"PRSS37","ENSG00000165076",136242
"PRSS38","ENSG00000185888",339501
"PRSS55","ENSG00000184647",203074
"PRSS58","ENSG00000258223",136541
"PSKH2","ENSG00000147613",85481
"PTF1A","ENSG00000168267",256297
"RAX","ENSG00000134438",30062
"RAX2","ENSG00000173976",84839
"RBM46","ENSG00000151962",166863
"RBMXL2","ENSG00000170748",27288
"RBP3","ENSG00000265203",5949
"RBPJL","ENSG00000124232",11317
"RD3","ENSG00000198570",343035
"RDH8","ENSG00000080511",50700
"REG3A","ENSG00000172016",5068
"RESP18","ENSG00000182698",389075
"RETNLB","ENSG00000163515",84666
"RFPL3","ENSG00000128276",10738
"RFPL4B","ENSG00000251258",442247
"RFX6","ENSG00000185002",222546
"RHO","ENSG00000163914",6010
"RNASE10","ENSG00000182545",338879
"RNASE11","ENSG00000173464",122651
"RNASE12","ENSG00000258436",493901
"RNASE13","ENSG00000206150",440163
"RNASE8","ENSG00000173431",122665
"RNASE9","ENSG00000188655",390443
"RND2","ENSG00000108830",8153
"RNF113B","ENSG00000139797",140432
"RNF17","ENSG00000132972",56163
"RP1","ENSG00000104237",6101
"RP1L1","ENSG00000183638",94137
"RPE65","ENSG00000116745",6121
"RPTN","ENSG00000215853",126638
"RTP1","ENSG00000175077",132112
"RTP2","ENSG00000198471",344892
"RXFP2","ENSG00000133105",122042
"RXFP3","ENSG00000182631",51289
"S100A7A","ENSG00000184330",338324
"SAMD7","ENSG00000187033",344658
"SCGB1D1","ENSG00000168515",10648
"SCN10A","ENSG00000185313",6336
"SCRT2","ENSG00000215397",85508
"SDR9C7","ENSG00000170426",121214
"SEC14L3","ENSG00000100012",266629
"SEMG2","ENSG00000124157",6407
"SEPTIN14","ENSG00000154997",346288
"SERPINA12","ENSG00000165953",145264
"SERPINA9","ENSG00000170054",327657
"SERPINB12","ENSG00000166634",89777
"SHCBP1L","ENSG00000157060",81626
"SI","ENSG00000090402",6476
"SIGLECL1","ENSG00000179213",284369
"SIX6","ENSG00000184302",4990
"SLC10A2","ENSG00000125255",6555
"SLC13A1","ENSG00000081800",6561
"SLC17A2","ENSG00000112337",10246
"SLC17A6","ENSG00000091664",57084
"SLC18A3","ENSG00000187714",6572
"SLC22A12","ENSG00000197891",116085
"SLC22A13","ENSG00000172940",9390
"SLC22A25","ENSG00000196600",387601
"SLC22A6","ENSG00000197901",9356
"SLC22A8","ENSG00000149452",9376
"SLC22A9","ENSG00000149742",114571
"SLC25A2","ENSG00000120329",83884
"SLC25A31","ENSG00000151475",83447
"SLC2A2","ENSG00000163581",6514
"SLC2A7","ENSG00000197241",155184
"SLC32A1","ENSG00000101438",140679
"SLC34A1","ENSG00000131183",6569
"SLC36A3","ENSG00000186334",285641
"SLC39A12","ENSG00000148482",221074
"SLC6A18","ENSG00000164363",348932
"SLC6A5","ENSG00000165970",9152
"SLC6A7","ENSG00000011083",6534
"SLC7A13","ENSG00000164893",157724
"SLCO1B1","ENSG00000134538",10599
"SLCO6A1","ENSG00000205359",133482
"SLITRK1","ENSG00000178235",114798
"SOHLH1","ENSG00000165643",402381
"SOX1","ENSG00000182968",6656
"SOX14","ENSG00000168875",8403
"SP8","ENSG00000164651",221833
"SPACA1","ENSG00000118434",81833
"SPACA7","ENSG00000153498",122258
"SPATA16","ENSG00000144962",83893
"SPATA21","ENSG00000187144",374955
"SPEM1","ENSG00000181323",374768
"SPINK14","ENSG00000196800",408187
"SPO11","ENSG00000054796",23626
"SPPL2C","ENSG00000185294",162540
"SPRR4","ENSG00000184148",163778
"SSTR4","ENSG00000132671",6754
"STATH","ENSG00000126549",6779
"STPG4","ENSG00000239605",285051
"SULT6B1","ENSG00000138068",391365
"SUN5","ENSG00000167098",140732
"TAAR1","ENSG00000146399",134864
"TAAR2","ENSG00000146378",9287
"TAAR5","ENSG00000135569",9038
"TAAR6","ENSG00000146383",319100
"TAAR8","ENSG00000146385",83551
"TAS1R2","ENSG00000179002",80834
"TAS2R1","ENSG00000169777",50834
"TAS2R13","ENSG00000212128",50838
"TAS2R16","ENSG00000128519",50833
"TAS2R39","ENSG00000236398",259285
"TAS2R40","ENSG00000221937",259286
"TAS2R41","ENSG00000221855",259287
"TAS2R42","ENSG00000186136",353164
"TAS2R43","ENSG00000255374",259291
"TAS2R46","ENSG00000226761",259292
"TAS2R50","ENSG00000212126",259296
"TAS2R60","ENSG00000185899",338398
"TAS2R7","ENSG00000121377",50837
"TAS2R8","ENSG00000121314",50836
"TAS2R9","ENSG00000121381",50835
"TBC1D21","ENSG00000167139",161514
"TBPL2","ENSG00000182521",387332
"TBR1","ENSG00000136535",10716
"TBX10","ENSG00000167800",347853
"TBXT","ENSG00000164458",6862
"TCHHL1","ENSG00000182898",126637
"TEDDM1","ENSG00000203730",127670
"TEX101","ENSG00000131126",83639
"TEX44","ENSG00000177673",165100
"TEX55","ENSG00000163424",152405
"TFAP2D","ENSG00000008197",83741
"TGM6","ENSG00000166948",343641
"TKTL2","ENSG00000151005",84076
"TLX1","ENSG00000107807",3195
"TMEM132D","ENSG00000151952",121256
"TMEM132E-DT","ENSG00000197322",400591
"TMEM174","ENSG00000164325",134288
"TMEM207","ENSG00000198398",131920
"TMEM225","ENSG00000204300",338661
"TMIGD1","ENSG00000182271",388364
"TMPRSS11A","ENSG00000187054",339967
"TMPRSS11B","ENSG00000185873",132724
"TMPRSS11F","ENSG00000198092",389208
"TMPRSS12","ENSG00000186452",283471
"TMPRSS15","ENSG00000154646",5651
"TNR","ENSG00000116147",7143
"TPD52L3","ENSG00000170777",89882
"TPH2","ENSG00000139287",121278
"TPRX1","ENSG00000178928",284355
"TPTE","ENSG00000274391",105379278
"TREML4","ENSG00000188056",285852
"TRHR","ENSG00000174417",7201
"TRIM40","ENSG00000204614",135644
"TRIM42","ENSG00000155890",287015
"TRIM43","ENSG00000144015",653192
"TRIM48","ENSG00000150244",79097
"TRIM60","ENSG00000176979",166655
"TRIM67","ENSG00000119283",440730
"TRIML1","ENSG00000184108",339976
"TRPC7","ENSG00000069018",57113
"TRPM1","ENSG00000134160",4308
"TRPV5","ENSG00000127412",56302
