"","x"
"767",218
"768",3384
"769",40
"770",6354
"771",6355
"772",6346
"773",3882
"774",1748
"775",239
"776",5539
"777",786
"778",3131
"779",54757
"780",5957
"781",4619
"782",4621
"783",8456
"784",8929
"785",2798
"786",7365
"787",80157
"788",6783
"789",54959
"790",26952
"791",10874
"792",5197
"793",7350
"794",3558
"795",116449
"796",3083
"797",25854
"798",10891
"799",29118
"800",120237
"801",7704
"802",116804918
"803",56253
"804",79864
"805",27087
"806",5024
"807",64231
"808",51338
"809",887
"810",3263
"811",116519
"812",337
"813",345
"814",3587
"815",7379
"816",921
"817",4250
"818",29125
"819",796
"820",23086
"821",5450
"822",84867
"823",7450
"824",969
"825",1610
"826",51411
"827",341359
"828",1594
"829",4618
"830",4617
"831",57460
"832",6539
"833",56341
"834",2251
"835",4633
"836",23316
"837",10566
"838",3736
"839",6337
"840",420
"841",4256
"842",8437
"843",79785
"844",8909
"845",11211
"846",55801
"847",3458
"848",84519
"849",5777
"850",28234
"851",339
"852",79923
"853",2998
"854",57379
"855",5992
"856",3820
"857",345895
"858",4117
"859",84830
"860",79632
"861",2570
"862",4988
"863",7287
"864",116369
"865",6005
"866",3605
"867",112744
"868",221692
"869",2740
"870",79865
"871",222642
"872",9457
"873",202559
"874",59336
"875",6492
"876",154150
"877",1297
"878",2822
"879",135152
"880",55084
"881",7101
"882",10246
"883",57221
"884",117247
"885",81797
"886",1235
"887",54346
"888",6582
"889",135138
"890",168090
"891",4188
"892",64094
"893",3617
"894",8838
"895",53405
"896",59084
"897",9450
"898",10279
"899",4224
"900",9096
"901",8382
"902",83697
"903",3003
"904",1007
"905",9421
"906",26762
"907",2916
"908",3702
"909",3593
"910",79908
"911",2566
"912",50805
"913",64902
"914",3565
"915",3567
"916",7903
"917",735
"918",3274
"919",90249
"920",3827
"921",3273
"922",3081
"923",942
"924",5948
"925",131890
"926",590
"927",5276
"928",79782
"929",2257
"930",2779
"931",64595
"932",11148
"933",27136
"934",23150
"935",152015
"936",10675
"937",51555
"938",13
"939",100526760
"940",23007
"941",7433
"942",7535
"943",29842
"944",5443
"945",9381
"946",9595
"947",7781
"948",3694
"949",5136
"950",2641
"951",2888
"952",3196
"953",33
"954",5967
"955",1768
"956",80303
"957",3769
"958",4759
"959",5013
"960",10578
"961",7850
"962",53632
"963",150572
"964",7475
"965",9173
"966",8807
"967",6549
"968",60482
"969",7173
"970",5624
"971",3938
"972",5334
"973",5341
"974",84634
"975",50489
"976",4139
"977",7143
"978",25823
"979",7827
"980",26038
"981",4985
"982",58512
"983",10216
"984",5132
"985",65121
"986",390999
"987",6121
"988",270
"989",51086
"990",10878
"991",914
"992",2494
"993",23046
"994",51179
"995",84618
"996",51440
"997",656
"998",4610
"999",57829
"1000",8564
"1001",9132
"1002",9783
"1003",6504
"1004",962
"1005",11240
"1006",81569
"1007",84966
"1008",26279
"1009",1380
"1010",4352
"1011",57821
"1012",80133
"1013",356
"1014",3664
"1015",163404
"1016",462
"1017",5629
"1018",200010
"1019",1143
"1020",727897
"1021",51146
"1022",4317
"1023",84215
"1024",6543
"1025",1421
"1026",7141
"1027",7276
"1028",9331
"1029",23632
"1030",55259
"1031",4033
"1032",23120
"1033",1268
"1034",81833
"1035",153918
"1036",79747
"1037",4602
"1038",64577
"1039",383
"1040",83449
"1041",2691
"1042",845
"1043",118427
"1044",6696
"1045",27253
"1046",8074
"1047",140803
"1048",9615
"1049",84417
"1050",440730
"1051",54836
"1052",57864
"1053",9480
"1054",283571
"1055",338917
"1056",2103
"1057",29094
"1058",6975
"1059",159296
"1060",26507
"1061",2834
"1062",1369
"1063",79946
"1064",6425
"1065",104909134
"1066",3211
"1067",54586
"1068",79817
"1069",11172
"1070",3641
"1071",2315
"1072",3443
"1073",3445
"1074",2891
"1075",80231
"1076",4115
"1077",83884
"1078",63923
"1079",2853
"1080",83887
"1081",63970
"1082",56159
"1083",407
"1084",84569
"1085",8600
"1086",54937
"1087",9499
"1088",1135
"1089",148
"1090",2053
"1091",65122
"1092",83690
"1093",8288
"1094",9496
"1095",56155
"1096",9227
"1097",85320
"1098",50836
"1099",50839
"1100",653247
"1101",3375
"1102",50837
"1103",79370
"1104",50835
"1105",353299
"1106",55211
"1107",64091
"1108",941
"1109",2703
"1110",10804
"1111",3061
"1112",729230
"1113",2693
"1114",22865
"1115",119587
"1116",114784
"1117",3208
"1118",57413
"1119",22987
"1120",2322
"1121",7512
"1122",54440
"1123",5047
"1124",29991
"1125",50945
"1126",4656
"1127",54900
"1128",5340
"1129",51744
"1130",4063
"1131",9956
"1132",5620
"1133",94233
"1134",100505741
"1135",654231
"1136",9808
"1137",644150
"1138",30010
"1139",4852
"1140",10268
"1141",27290
"1142",138474
"1143",23349
"1144",27019
"1145",1271
"1146",6718
"1147",653509
"1148",50674
"1149",139741
"1150",83446
"1151",58158
"1152",64333
"1153",3071
"1154",5153
"1155",3229
"1156",3227
"1157",4778
"1158",3228
"1159",1621
"1160",1300
"1161",5354
"1162",6906
"1163",158983
"1164",51209
"1165",80712
"1166",728269
"1167",92552
"1168",7130
"1169",130399
"1170",722
"1171",725
"1172",10888
"1173",116255
"1174",79843
"1175",4159
"1176",140687
"1177",140690
"1178",5266
"1179",200232
"1180",6590
"1181",343578
"1182",6407
"1183",78997
"1184",149699
"1185",128611
"1186",1908
"1187",60437
"1188",140731
"1189",11317
"1190",6406
"1191",128602
"1192",60598
"1193",27296
"1194",5105
"1195",81030
"1196",4109
"1197",64377
"1198",3581
"1199",7499
"1200",79983
"1201",64344
"1202",56269
"1203",440533
"1204",1088
"1205",4693
"1206",7180
"1207",2162
"1208",2914
"1209",29993
"1210",696
"1211",10786
"1212",6568
"1213",3007
"1214",222643
"1215",3024
"1216",26212
"1217",10930
"1218",107080644
"1219",1769
