"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","observed.variant.required","observed.variant.requirement.met"
"sphingomyelin biosynthetic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"ether lipid biosynthetic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"embryonic body morphogenesis","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"amino sugar biosynthetic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"glycerol ether biosynthetic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"pigmentation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to ketone","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"nonribosomal peptide biosynthetic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"glial cell apoptotic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"lipoprotein catabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"suppression of viral release by host","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"chaperone-mediated autophagy","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of steroid hormone biosynthetic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"synaptic vesicle lumen acidification","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"semaphorin-plexin signaling pathway involved in neuron projection guidance","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of Golgi organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"Schwann cell differentiation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"neurotrophin signaling pathway","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of microtubule depolymerization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"basement membrane organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment or maintenance of epithelial cell apical/basal polarity","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"face development","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"osteoblast differentiation","C2_05_24",2,0,3.7e-24,1.58496250072116,0.1425,8,FALSE
"appendage development","C2_05_24",2,0,3.7e-24,1.58496250072116,0.0831,8,FALSE
"limb development","C2_05_24",2,0,3.7e-24,1.58496250072116,0.0831,8,FALSE
"regulation of ATP metabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"developmental growth involved in morphogenesis","C2_05_24",1,0,3.7e-24,1,0.4558,11,FALSE
"embryonic organ development","C2_05_24",2,1,3.7e-24,0.584962500721156,0.6387,22,FALSE
"negative regulation of growth","C2_05_24",3,0,3.7e-24,2,0.0236,NA,NA
"microtubule depolymerization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"heme metabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of neuron apoptotic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"plasma membrane tubulation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"exosomal secretion","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"vasculogenesis","C2_05_24",1,0,3.7e-24,1,0.2227,11,FALSE
"toxin transport","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"ncRNA processing","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"ribosome biogenesis","C3_05_24",1,0,3.7e-24,1,0.4145,11,FALSE
"rRNA metabolic process","C3_05_24",1,0,3.7e-24,1,0.4075,11,FALSE
"proteasome-mediated ubiquitin-dependent protein catabolic process","C3_05_24",0,1,3.7e-24,-1,0.4551,11,FALSE
"regulation of response to DNA damage stimulus","C3_05_24",0,1,3.7e-24,-1,0.4906,11,FALSE
"establishment of protein localization to organelle","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"macroautophagy","C3_05_24",0,1,3.7e-24,-1,0.4964,11,FALSE
"regulation of chromosome organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"Golgi vesicle transport","C3_05_24",0,1,3.7e-24,-1,0.5312,11,FALSE
"double-strand break repair","C3_05_24",1,0,3.7e-24,1,0.4894,11,FALSE
"histone modification","C3_05_24",2,1,3.7e-24,0.584962500721156,0.6391,22,FALSE
"sister chromatid segregation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"DNA replication","C3_05_24",0,1,3.7e-24,-1,0.5285,11,FALSE
"chromosome segregation","C3_05_24",2,1,3.7e-24,0.584962500721156,0.6354,22,FALSE
"mitochondrial gene expression","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"nucleocytoplasmic transport","C3_05_24",0,1,3.7e-24,-1,0.4795,11,FALSE
"nuclear transport","C3_05_24",0,1,3.7e-24,-1,0.4795,11,FALSE
"regulation of DNA repair","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"peptidyl-lysine modification","C3_05_24",3,1,3.7e-24,1,0.4648,11,FALSE
"protein targeting","C3_05_24",0,1,3.7e-24,-1,0.51,11,FALSE
"cytoplasmic translation","C3_05_24",1,0,3.7e-24,1,0.2896,11,FALSE
"regulation of autophagy","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"signal transduction in response to DNA damage","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of intracellular transport","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"protein localization to nucleus","C3_05_24",0,1,3.7e-24,-1,0.4927,11,FALSE
"microtubule cytoskeleton organization involved in mitosis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"telomere maintenance","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell cycle checkpoint signaling","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein modification by small protein conjugation or removal","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular respiration","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular component disassembly","C3_05_24",0,1,3.7e-24,-1,0.4084,11,FALSE
"nuclear chromosome segregation","C3_05_24",2,1,3.7e-24,0.584962500721156,0.6465,22,FALSE
"regulation of protein stability","C3_05_24",2,1,3.7e-24,0.584962500721156,0.6395,22,FALSE
"regulation of cell cycle phase transition","C3_05_24",0,1,3.7e-24,-1,0.436,11,FALSE
"regulation of protein catabolic process","C3_05_24",0,1,3.7e-24,-1,0.4552,11,FALSE
"response to endoplasmic reticulum stress","C3_05_24",1,0,3.7e-24,1,0.472,11,FALSE
"vesicle organization","C3_05_24",0,1,3.7e-24,-1,0.4871,11,FALSE
"mitochondrial respiratory chain complex assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"DNA-templated transcription elongation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of organelle localization","C3_05_24",3,1,3.7e-24,1,0.4421,11,FALSE
"regulation of intracellular protein transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to UV","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"RNA localization","C3_05_24",1,0,3.7e-24,1,0.3558,11,FALSE
"response to topologically incorrect protein","C3_05_24",1,0,3.7e-24,1,0.2971,11,FALSE
"organelle fission","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"non-membrane-bounded organelle assembly","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"protein polyubiquitination","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"methylation","C3_05_24",2,1,3.7e-24,0.584962500721156,0.6487,22,FALSE
"phospholipid biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"oxidative phosphorylation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of protein localization to membrane","C3_05_24",1,0,3.7e-24,1,0.4893,11,FALSE
"in utero embryonic development","C3_05_24",0,1,3.7e-24,-1,0.4229,11,FALSE
"vacuole organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"nuclear-transcribed mRNA catabolic process","C3_05_24",1,0,3.7e-24,1,0.2451,11,FALSE
"protein folding","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"DNA conformation change","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of chromosome segregation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of apoptotic signaling pathway","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"cell cycle G2/M phase transition","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"vacuolar transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to ionizing radiation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to UV","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of binding","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"nucleic acid transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"RNA transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribonucleoprotein complex subunit organization","C3_05_24",1,0,3.7e-24,1,0.3708,11,FALSE
"regulation of DNA replication","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribose phosphate metabolic process","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"proton motive force-driven ATP synthesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribonucleotide metabolic process","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"telomere organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to topologically incorrect protein","C3_05_24",1,0,3.7e-24,1,0.207,11,FALSE
"Golgi organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribonucleoprotein complex assembly","C3_05_24",1,0,3.7e-24,1,0.3474,11,FALSE
"cellular nitrogen compound catabolic process","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"negative regulation of phosphorus metabolic process","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"heterocycle catabolic process","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"mitochondrial membrane organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein-containing complex assembly","C3_05_24",2,1,3.7e-24,0.584962500721156,0.6391,22,FALSE
"positive regulation of cellular component biogenesis","C3_05_24",2,1,3.7e-24,0.584962500721156,0.6568,22,FALSE
"response to oxidative stress","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of supramolecular fiber organization","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"positive regulation of protein localization","C3_05_24",0,1,3.7e-24,-1,0.4215,11,FALSE
"positive regulation of cell projection organization","C3_05_24",0,1,3.7e-24,-1,0.4337,11,FALSE
"negative regulation of transferase activity","C3_05_24",0,1,3.7e-24,-1,0.4868,11,FALSE
"autophagy of mitochondrion","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of amide metabolic process","C3_05_24",1,0,3.7e-24,1,0.3702,11,FALSE
"chromatin remodeling","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"viral process","C3_05_24",0,1,3.7e-24,-1,0.4527,11,FALSE
"macromolecule deacylation","C3_05_24",1,0,3.7e-24,1,0.2801,11,FALSE
"mitotic cytokinesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"aromatic compound catabolic process","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"vesicle localization","C3_05_24",1,0,3.7e-24,1,0.3606,11,FALSE
"establishment or maintenance of cell polarity","C3_05_24",0,1,3.7e-24,-1,0.4984,11,FALSE
"Wnt signaling pathway","C3_05_24",0,1,3.7e-24,-1,0.4184,11,FALSE
"cell-cell signaling by wnt","C3_05_24",0,1,3.7e-24,-1,0.4184,11,FALSE
"ATP metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to chemical stress","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of vacuole organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to external stimulus","C3_05_24",0,1,3.7e-24,-1,0.472,11,FALSE
"negative regulation of protein phosphorylation","C3_05_24",0,1,3.7e-24,-1,0.4312,11,FALSE
"negative regulation of catabolic process","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of microtubule cytoskeleton organization","C3_05_24",1,0,3.7e-24,1,0.3296,11,FALSE
"chromosome localization","C3_05_24",2,0,3.7e-24,1.58496250072116,0.0169,8,FALSE
"negative regulation of mitotic nuclear division","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of actin filament organization","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"dephosphorylation","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"glycosylation","C3_05_24",1,0,3.7e-24,1,0.4129,11,FALSE
"positive regulation of establishment of protein localization","C3_05_24",0,1,3.7e-24,-1,0.4992,11,FALSE
"regulation of microtubule-based process","C3_05_24",1,0,3.7e-24,1,0.4299,11,FALSE
"cell-substrate junction organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein-containing complex localization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transmembrane transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"stem cell population maintenance","C3_05_24",1,0,3.7e-24,1,0.4051,11,FALSE
"ribosome assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"intraciliary transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"Golgi to plasma membrane protein transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to amino acid starvation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to extracellular stimulus","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell growth","C3_05_24",0,1,3.7e-24,-1,0.4295,11,FALSE
"protein glycosylation","C3_05_24",1,0,3.7e-24,1,0.3951,11,FALSE
"macromolecule glycosylation","C3_05_24",1,0,3.7e-24,1,0.3951,11,FALSE
"maintenance of cell number","C3_05_24",1,0,3.7e-24,1,0.4051,11,FALSE
"response to reactive oxygen species","C3_05_24",1,0,3.7e-24,1,0.48,11,FALSE
"regulation of cell morphogenesis","C3_05_24",0,1,3.7e-24,-1,0.4793,11,FALSE
"regulation of cellular component size","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"cell-substrate junction assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"membrane fission","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"membrane docking","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"fibroblast migration","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"nucleus organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell growth","C3_05_24",0,1,3.7e-24,-1,0.4229,11,FALSE
"fibroblast proliferation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell cycle G1/S phase transition","C3_05_24",0,1,3.7e-24,-1,0.5237,11,FALSE
"actin filament organization","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"response to oxygen levels","C3_05_24",0,1,3.7e-24,-1,0.4309,11,FALSE
"epigenetic regulation of gene expression","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle fusion","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"lipoprotein metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein lipidation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of plasma membrane bounded cell projection assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of actin filament-based process","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of GTPase activity","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"nuclear envelope organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein autophosphorylation","C3_05_24",0,1,3.7e-24,-1,0.5111,11,FALSE
"connective tissue development","C3_05_24",2,1,3.7e-24,0.584962500721156,0.6298,22,FALSE
"cellular response to heat","C3_05_24",1,0,3.7e-24,1,0.1771,11,FALSE
"myeloid cell homeostasis","C3_05_24",1,0,3.7e-24,1,0.4029,11,FALSE
"regulation of neuron projection development","C3_05_24",0,1,3.7e-24,-1,0.424,11,FALSE
"receptor metabolic process","C3_05_24",1,0,3.7e-24,1,0.1719,11,FALSE
"maintenance of protein location in cell","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"apoptotic mitochondrial changes","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to transforming growth factor beta","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"neural tube development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"maintenance of protein location","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ubiquitin-protein transferase activity","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cilium assembly","C3_05_24",0,1,3.7e-24,-1,0.5172,11,FALSE
"mRNA export from nucleus","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate junction organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"membrane biogenesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cilium organization","C3_05_24",0,1,3.7e-24,-1,0.4991,11,FALSE
"platelet-derived growth factor receptor signaling pathway","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"iron-sulfur cluster assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"metallo-sulfur cluster assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"centromere complex assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to oxygen levels","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"fatty acid beta-oxidation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle localization by membrane tethering","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"autophagosome maturation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to transforming growth factor beta stimulus","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"nucleotide catabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"tube closure","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of stem cell differentiation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"substrate adhesion-dependent cell spreading","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"chondrocyte differentiation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of fibroblast proliferation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"morphogenesis of an epithelial sheet","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"microtubule polymerization","C3_05_24",1,0,3.7e-24,1,0.2042,11,FALSE
"response to virus","C3_05_24",0,1,3.7e-24,-1,0.4534,11,FALSE
"membrane assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"COPII vesicle coating","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"erythrocyte differentiation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"organophosphate catabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of embryonic development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of focal adhesion assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate junction assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of extracellular matrix organization","C3_05_24",1,0,3.7e-24,1,0.2427,11,FALSE
"GPI anchor biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"lamellipodium organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of stem cell population maintenance","C3_05_24",1,0,3.7e-24,1,0.1335,11,FALSE
"monosaccharide metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"U2-type prespliceosome assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"heterochromatin formation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"peroxisome organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial fission","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular pigmentation","C3_05_24",1,0,3.7e-24,1,0.1676,11,FALSE
"regulation of fibroblast migration","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular carbohydrate metabolic process","C3_05_24",0,1,3.7e-24,-1,0.5196,11,FALSE
"positive regulation of axonogenesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"kinetochore organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"stem cell differentiation","C3_05_24",0,1,3.7e-24,-1,0.5037,11,FALSE
"proton transmembrane transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to insulin stimulus","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of mitotic spindle localization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell redox homeostasis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"stress granule assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein neddylation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial membrane potential","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"neuron death","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"defense response to virus","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"sulfur compound metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"NADP metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"vacuolar acidification","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"oligosaccharide-lipid intermediate biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"lysosomal lumen acidification","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"glycosyl compound biosynthetic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"heart valve development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"water-soluble vitamin metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"interferon-beta production","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of interferon-beta production","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"branched-chain amino acid metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial membrane permeability","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"respiratory tube development","C3_05_24",1,0,3.7e-24,1,0.4742,11,FALSE
"cellular senescence","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of neurogenesis","C3_05_24",0,1,3.7e-24,-1,0.5156,11,FALSE
"mitochondrial outer membrane permeabilization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"immune system development","C3_05_24",1,0,3.7e-24,1,0.3756,11,FALSE
"clathrin-dependent endocytosis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of viral process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"bone development","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"cell-substrate adhesion","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"positive regulation of microtubule polymerization","C3_05_24",1,0,3.7e-24,1,0.1084,11,FALSE
"pteridine-containing compound metabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to arsenic-containing substance","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to insulin","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"ubiquinone metabolic process","C3_05_24",1,0,3.7e-24,1,0.0486,11,FALSE
"cellular response to arsenic-containing substance","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"inositol phosphate catabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"telomerase RNA localization to Cajal body","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"respiratory system development","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of generation of precursor metabolites and energy","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial calcium ion homeostasis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"G0 to G1 transition","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial genome maintenance","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"release of cytochrome c from mitochondria","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cortical cytoskeleton organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to sterol depletion","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ncRNA transcription","C3_05_24",1,0,3.7e-24,1,0.0643,11,FALSE
"mesenchymal cell differentiation","C3_05_24",0,1,3.7e-24,-1,0.4648,11,FALSE
"protein-DNA complex subunit organization","C3_05_24",1,0,3.7e-24,1,0.3435,11,FALSE
"response to fluid shear stress","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"collagen fibril organization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"roof of mouth development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein dephosphorylation","C3_05_24",1,0,3.7e-24,1,0.2011,11,FALSE
"multicellular organism growth","C3_05_24",1,0,3.7e-24,1,0.3707,11,FALSE
"miRNA processing","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"small molecule catabolic process","C3_05_24",0,1,3.7e-24,-1,0.5233,11,FALSE
"regulation of G0 to G1 transition","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"circadian regulation of gene expression","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of translational fidelity","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"ubiquinone biosynthetic process","C3_05_24",1,0,3.7e-24,1,0.033,11,FALSE
"mitochondrial calcium ion transmembrane transport","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"quinone biosynthetic process","C3_05_24",1,0,3.7e-24,1,0.033,11,FALSE
"viral release from host cell","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"exit from host cell","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of GTPase activity","C3_05_24",0,1,3.7e-24,-1,0.5257,11,FALSE
"regulation of cytokinesis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrion localization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"renal system development","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of cysteine-type endopeptidase activity involved in apoptotic process","C3_05_24",1,0,3.7e-24,1,0.4178,11,FALSE
"regulation of cell-substrate adhesion","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"centrosome localization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"microtubule organizing center localization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"pinocytosis","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"lamellipodium assembly","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to sterol depletion","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"placenta development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"rhythmic process","C3_05_24",0,1,3.7e-24,-1,0.5194,11,FALSE
"spindle localization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"carbohydrate derivative catabolic process","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to amino acid","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of intracellular steroid hormone receptor signaling pathway","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of neuron death","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"ossification","C3_05_24",1,1,3.7e-24,0,1,747,FALSE
"mammary gland epithelial cell proliferation","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribosomal subunit export from nucleus","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribosome localization","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"seminiferous tubule development","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to acid chemical","C3_05_24",0,0,3.7e-24,0,1,747,FALSE
