"","condition","cycle","region","log2fc.norm.mean","obs.mut.mean","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id"
"113","control",1,"glycosyl compound biosynthetic process",0,0,0,1,1,NA,"GO:1901659"
"114","control",1,"glycosyl compound metabolic process",-0.333333333333333,0,0,1,1,NA,"GO:1901657"
"115","control",1,"glycosylation",0.610024999519229,0.666666666666667,0,0.773582102790747,1,NA,"GO:0070085"
"116","control",1,"heart valve development",0.471679166426281,0.333333333333333,0,0.779487079099365,1,NA,"GO:0003170"
"117","control",1,"heme metabolic process",-0.333333333333333,0,0,1,1,NA,"GO:0042168"
"118","control",1,"heterochromatin formation",0.471679166426281,0,0,1,1,NA,"GO:0031507"
"119","control",1,"heterocycle catabolic process",0.214618729924909,0.333333333333333,1,0.788640401242183,1,NA,"GO:0046700"
"120","control",1,"histone modification",0.604593730405679,0.666666666666667,1,0.64635769558163,1,NA,"GO:0016570"
"121","control",1,"immune system development",1.38997500048077,0.333333333333333,0,0.923478986813174,1,NA,"GO:0002520"
"122","control",1,"in utero embryonic development",-0.980368770315477,0,1,0.547040034097329,1,NA,"GO:0001701"
"123","control",1,"inner cell mass cell proliferation",0,0,0,1,1,NA,"GO:0001833"
"124","control",1,"inositol phosphate catabolic process",-0.333333333333333,0,0,1,1,NA,"GO:0071545"
"125","control",1,"interferon-beta production",0.666666666666667,0,0,1,1,NA,"GO:0032608"
"126","control",1,"intermembrane lipid transfer",0,0,0,1,1,NA,"GO:0120009"
"127","control",1,"intracellular lipid transport",0,0.666666666666667,0,0.130350564504871,1,NA,"GO:0032365"
"128","control",1,"intraciliary transport",-0.666666666666667,0,0,1,1,NA,"GO:0042073"
"129","control",1,"iron ion homeostasis",0,0,0,1,1,NA,"GO:0055072"
"130","control",1,"iron-sulfur cluster assembly",-0.333333333333333,0,0,1,1,NA,"GO:0016226"
"131","control",1,"kinetochore organization",0,0,0,1,1,NA,"GO:0051383"
"132","control",1,"lamellipodium assembly",0.138345833092948,0,0,1,1,NA,"GO:0030032"
"133","control",1,"lamellipodium morphogenesis",0,0,0,1,1,NA,"GO:0072673"
"134","control",1,"lamellipodium organization",0.471679166426281,0,0,1,1,NA,"GO:0097581"
"135","control",1,"limb development",-0.2456551980554,0.666666666666667,0,0.546969396648522,1,NA,"GO:0060173"
"136","control",1,"lipoprotein catabolic process",-0.666666666666667,0,0,1,1,NA,"GO:0042159"
"137","control",1,"lipoprotein metabolic process",0.333333333333333,0,0,1,1,NA,"GO:0042157"
"138","control",1,"lysosomal lumen acidification",0,0,0,1,1,NA,"GO:0007042"
"139","control",1,"lysosomal protein catabolic process",0,0,0,1,1,NA,"GO:1905146"
"140","control",1,"mRNA export from nucleus",0.666666666666667,0,0,1,1,NA,"GO:0006406"
"141","control",1,"macroautophagy",0.333333333333333,0,0.666666666666667,0.821787985693832,1,NA,"GO:0016236"
"142","control",1,"macromolecule deacylation",0.861654166907053,0.333333333333333,0,0.863373214233186,1,NA,"GO:0098732"
"143","control",1,"macromolecule glycosylation",0.805012499759615,0.333333333333333,0,0.932349304637276,1,NA,"GO:0043413"
"144","control",1,"magnesium ion transmembrane transport",0,0,0,1,1,NA,"GO:1903830"
"145","control",1,"magnesium ion transport",0,0,0,1,1,NA,"GO:0015693"
"146","control",1,"maintenance of cell number",0.389975000480771,0.666666666666667,0,0.70047232887285,1,NA,"GO:0098727"
"147","control",1,"maintenance of protein location",0.138345833092948,0,0,1,1,NA,"GO:0045185"
"148","control",1,"maintenance of protein location in cell",0,0,0,1,1,NA,"GO:0032507"
"149","control",1,"mammary gland epithelial cell proliferation",0,0,0,1,1,NA,"GO:0033598"
"150","control",1,"membrane assembly",0,0.333333333333333,0,0.755797501275086,1,NA,"GO:0071709"
"151","control",1,"membrane biogenesis",0,0.333333333333333,0,0.766168205982137,1,NA,"GO:0044091"
"152","control",1,"membrane docking",-0.333333333333333,0,0,1,1,NA,"GO:0022406"
"153","control",1,"membrane fission",0,0,0,1,1,NA,"GO:0090148"
"154","control",1,"mesenchymal cell differentiation",-0.138345833092948,0.666666666666667,1,0.957320443627839,1,NA,"GO:0048762"
"155","control",1,"metallo-sulfur cluster assembly",-0.333333333333333,0,0,1,1,NA,"GO:0031163"
"156","control",1,"methylation",-0.245655198055402,1,0.666666666666667,0.990199235411162,1,NA,"GO:0032259"
"157","control",1,"miRNA processing",-0.333333333333333,0.666666666666667,0,0.107204241224905,1,NA,"GO:0035196"
"158","control",1,"microtubule cytoskeleton organization involved in mitosis",0.52832083357372,0,0,1,1,NA,"GO:1902850"
"159","control",1,"microtubule depolymerization",0,0,0,1,1,NA,"GO:0007019"
"160","control",1,"microtubule organizing center localization",0,0,0,1,1,NA,"GO:0061842"
"161","control",1,"microtubule polymerization",1,0.333333333333333,0,0.786286051093498,1,NA,"GO:0046785"
"162","control",1,"mitochondrial calcium ion homeostasis",-0.333333333333333,0,0,1,1,NA,"GO:0051560"
"163","control",1,"mitochondrial calcium ion transmembrane transport",-0.333333333333333,0,0,1,1,NA,"GO:0006851"
"164","control",1,"mitochondrial gene expression",-0.333333333333333,0,0,1,1,NA,"GO:0140053"
"165","control",1,"mitochondrial genome maintenance",-0.333333333333333,0,0,1,1,NA,"GO:0000002"
"166","control",1,"mitochondrial membrane organization",0,0,0,1,1,NA,"GO:0007006"
"167","control",1,"mitochondrial outer membrane permeabilization",0,0,0,1,1,NA,"GO:0097345"
"168","control",1,"mitochondrial respiratory chain complex assembly",-0.333333333333333,0,0,1,1,NA,"GO:0033108"
"169","control",1,"mitochondrial transmembrane transport",-0.333333333333333,0,0,1,1,NA,"GO:1990542"
"170","control",1,"mitochondrial transport",0.138345833092948,0,0,1,1,NA,"GO:0006839"
"171","control",1,"mitochondrion distribution",0,0,0,1,1,NA,"GO:0048311"
"172","control",1,"mitochondrion localization",0,0,0,1,1,NA,"GO:0051646"
"173","control",1,"mitochondrion morphogenesis",-0.333333333333333,0,0,1,1,NA,"GO:0070584"
"174","control",1,"mitotic cytokinesis",1,0,0,1,1,NA,"GO:0000281"
"175","control",1,"monosaccharide biosynthetic process",-0.528320833573719,0,0,1,1,NA,"GO:0046364"
"176","control",1,"monosaccharide metabolic process",0.0566416671474373,0,0,1,1,NA,"GO:0005996"
"177","control",1,"morphogenesis of an epithelial sheet",0.333333333333333,0,0,1,1,NA,"GO:0002011"
"178","control",1,"movement in host",0,0.333333333333333,0,0.897180900775154,1,NA,"GO:0044000"
"179","control",1,"multicellular organism growth",0.138345833092948,0.666666666666667,0,0.715694603836171,1,NA,"GO:0035264"
"180","control",1,"myeloid cell homeostasis",0.61599896885165,1,0,0.461850975227429,1,NA,"GO:0002262"
"181","control",1,"ncRNA processing",0.214618729924909,1,0.666666666666667,0.498429895297932,1,NA,"GO:0034470"
"182","control",1,"negative regulation of GTPase activity",0,0,0,1,1,NA,"GO:0034260"
"183","control",1,"negative regulation of catabolic process",0.504857724276585,0.666666666666667,1,0.973520111207317,1,NA,"GO:0009895"
"184","control",1,"negative regulation of cell projection organization",0.138345833092948,0,0,1,1,NA,"GO:0031345"
"185","control",1,"negative regulation of defense response to virus",0,0,0,1,1,NA,"GO:0050687"
"186","control",1,"negative regulation of growth",0.0566416671474373,1,0.666666666666667,0.108972283865814,1,NA,"GO:0045926"
"187","control",1,"negative regulation of mitotic nuclear division",0.333333333333333,0.333333333333333,0,0.55491498041764,1,NA,"GO:0045839"
"188","control",1,"negative regulation of phosphorus metabolic process",0.296322895870419,1.66666666666667,1,0.950217047385755,1,NA,"GO:0010563"
"189","control",1,"negative regulation of protein phosphorylation",0.276691666185896,1.33333333333333,1,0.797678147398762,1,NA,"GO:0001933"
"190","control",1,"negative regulation of transferase activity",0.584962500721157,0.333333333333333,0.666666666666667,0.602931687958023,1,NA,"GO:0051348"
"191","control",1,"neural tube development",-0.194987500240385,0.666666666666667,0,0.514438597733284,1,NA,"GO:0021915"
"192","control",1,"neuron apoptotic process",0.918295834054491,0.333333333333333,0.333333333333333,0.78014161984988,1,NA,"GO:0051402"
"193","control",1,"neuron death",0.578988531388735,1,1,1,1,NA,"GO:0070997"
"194","control",1,"neuron projection organization",0.471679166426281,0,0,1,1,NA,"GO:0106027"
"195","control",1,"neurotrophin signaling pathway",-0.333333333333333,0,0,1,1,NA,"GO:0038179"
"196","control",1,"non-membrane-bounded organelle assembly",0.107309364962454,0.333333333333333,0.666666666666667,0.946155262874874,1,NA,"GO:0140694"
"197","control",1,"nonribosomal peptide biosynthetic process",0,0,0,1,1,NA,"GO:0019184"
"198","control",1,"nuclear chromosome segregation",0.528320833573719,1,0.666666666666667,0.672515720608563,1,NA,"GO:0098813"
"199","control",1,"nuclear envelope organization",0,0,0,1,1,NA,"GO:0006998"
"200","control",1,"nuclear transport",-0.333333333333333,0.333333333333333,0.666666666666667,0.591419516443095,1,NA,"GO:0051169"
"201","control",1,"nuclear-transcribed mRNA catabolic process",0.861654166907053,0.333333333333333,0,0.832024330201571,1,NA,"GO:0000956"
"202","control",1,"nucleic acid transport",0.723308333814105,0,0,1,1,NA,"GO:0050657"
"203","control",1,"nucleocytoplasmic transport",-0.333333333333333,0.333333333333333,0.666666666666667,0.591419516443095,1,NA,"GO:0006913"
"204","control",1,"nucleotide catabolic process",0,0,0,1,1,NA,"GO:0009166"
"205","control",1,"nucleus organization",0.333333333333333,0,0,1,1,NA,"GO:0006997"
"206","control",1,"oligosaccharide-lipid intermediate biosynthetic process",0,0,0,1,1,NA,"GO:0006490"
"207","control",1,"one-carbon metabolic process",0,0,0,1,1,NA,"GO:0006730"
"208","control",1,"organelle fission",0.528320833573719,1,1,1,1,NA,"GO:0048285"
"209","control",1,"organelle fusion",0.276691666185896,0.666666666666667,0,0.489482550335697,1,NA,"GO:0048284"
"210","control",1,"organelle inheritance",0,0,0,1,1,NA,"GO:0048308"
"211","control",1,"organelle localization by membrane tethering",0,0,0,1,1,NA,"GO:0140056"
"212","control",1,"organophosphate catabolic process",0.333333333333333,0,0,1,1,NA,"GO:0046434"
"213","control",1,"organophosphate ester transport",0.138345833092948,0,0,1,1,NA,"GO:0015748"
"214","control",1,"ossification",0.352964563017856,2,1,0.857346562686157,1,NA,"GO:0001503"
"215","control",1,"osteoblast differentiation",-0.132371863760526,1.33333333333333,0.666666666666667,0.389145714955569,1,NA,"GO:0001649"
"216","control",1,"oxidative phosphorylation",0.333333333333333,0,0,1,1,NA,"GO:0006119"
"217","control",1,"pentose-phosphate shunt",-0.333333333333333,0,0,1,1,NA,"GO:0006098"
"218","control",1,"peptidyl-lysine modification",0.686297896351189,1,1,0.609545639304433,1,NA,"GO:0018205"
"219","control",1,"pericardium development",-0.333333333333333,0,0,1,1,NA,"GO:0060039"
"220","control",1,"peroxisome organization",-0.333333333333333,0,0,1,1,NA,"GO:0007031"
"221","control",1,"phospholipid biosynthetic process",0.918295834054492,0.666666666666667,0.333333333333333,0.990245977783878,1,NA,"GO:0008654"
"222","control",1,"pigment accumulation",0,0,0,1,1,NA,"GO:0043476"
"223","control",1,"pigmentation",0,0.666666666666667,0,0.541437849504541,1,NA,"GO:0043473"
"224","control",1,"pinocytosis",0,0,0,1,1,NA,"GO:0006907"
"225","control",1,"placenta development",0.194987500240385,0,0,1,1,NA,"GO:0001890"
"226","control",1,"plasma membrane tubulation",0,0,0,1,1,NA,"GO:0097320"
"227","control",1,"platelet-derived growth factor receptor signaling pathway",0,0,0,1,1,NA,"GO:0048008"
"228","control",1,"polyamine biosynthetic process",0,0,0,1,1,NA,"GO:0006596"
"229","control",1,"polyamine metabolic process",0,0,0,1,1,NA,"GO:0006595"
"230","control",1,"polyol metabolic process",0.421011468611267,0.666666666666667,0,0.298679242844995,1,NA,"GO:0019751"
"231","control",1,"positive regulation by host of viral process",-0.333333333333333,0,0,1,1,NA,"GO:0044794"
"232","control",1,"positive regulation of GTPase activity",0.52832083357372,0.666666666666667,0.666666666666667,0.903521916473533,1,NA,"GO:0043547"
"233","control",1,"positive regulation of amide metabolic process",0.918295834054491,0.333333333333333,0,0.920851594035734,1,NA,"GO:0034250"
"234","control",1,"positive regulation of axonogenesis",0.666666666666667,0,0,1,1,NA,"GO:0050772"
"235","control",1,"positive regulation of cell projection organization",-0.723308333814104,0.333333333333333,1,0.794579364731792,1,NA,"GO:0031346"
"236","control",1,"positive regulation of cellular component biogenesis",-0.013547328165782,1.33333333333333,1,0.767163452914298,1,NA,"GO:0044089"
"237","control",1,"positive regulation of epithelial to mesenchymal transition",-0.194987500240387,0.666666666666667,0,0.400283389108241,1,NA,"GO:0010718"
"238","control",1,"positive regulation of establishment of protein localization",-0.245655198055402,0,0.666666666666667,0.824104663197165,1,NA,"GO:1904951"
"239","control",1,"positive regulation of kinase activity",0.787523359794904,3,1,0.107507978764001,1,NA,"GO:0033674"
"240","control",1,"positive regulation of microtubule polymerization",0,0.333333333333333,0,0.616840163109067,1,NA,"GO:0031116"
"241","control",1,"positive regulation of nervous system development",-0.0506676978150167,0.666666666666667,1,0.962739974746184,1,NA,"GO:0051962"
"242","control",1,"positive regulation of neurogenesis",0.251629167387823,0.666666666666667,0.666666666666667,0.821047177362984,1,NA,"GO:0050769"
"243","control",1,"positive regulation of neuron migration",0,0,0,1,1,NA,"GO:2001224"
"244","control",1,"positive regulation of protein localization",-0.387832910760959,0,1,0.539658175551613,1,NA,"GO:1903829"
"245","control",1,"positive regulation of stem cell population maintenance",-0.194987500240387,0.333333333333333,0,0.672980791311869,1,NA,"GO:1902459"
"246","control",1,"positive regulation of viral process",0,0,0,1,1,NA,"GO:0048524"
"247","control",1,"postsynapse organization",0.138345833092948,0,0,1,1,NA,"GO:0099173"
"248","control",1,"proteasome-mediated ubiquitin-dependent protein catabolic process",-0.633488108816363,0,1,0.587292380629677,1,NA,"GO:0043161"
"249","control",1,"protein autophosphorylation",0.52832083357372,0.666666666666667,0.666666666666667,0.809152188748598,1,NA,"GO:0046777"
"250","control",1,"protein folding",1.05664166714744,0,0,1,1,NA,"GO:0006457"
"251","control",1,"protein glycosylation",0.805012499759615,0.333333333333333,0,0.932349304637276,1,NA,"GO:0006486"
"252","control",1,"protein lipidation",0.666666666666667,0,0,1,1,NA,"GO:0006497"
"253","control",1,"protein localization to nucleus",0.0506676978150166,0.333333333333333,0.666666666666667,0.590992844253175,1,NA,"GO:0034504"
"254","control",1,"protein neddylation",-0.333333333333333,0,0,1,1,NA,"GO:0045116"
"255","control",1,"protein polyubiquitination",0.666666666666668,0,0,1,1,NA,"GO:0000209"
"256","control",1,"protein targeting",0.333333333333333,0.333333333333333,0.666666666666667,0.969020908454065,1,NA,"GO:0006605"
"257","control",1,"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",0,0,0,1,1,NA,"GO:0043328"
"258","control",1,"protein-DNA complex subunit organization",0.723308333814105,0.333333333333333,0,0.906663829644233,1,NA,"GO:0071824"
"259","control",1,"protein-containing complex localization",0.194987500240385,0.333333333333333,0,0.853666512934292,1,NA,"GO:0031503"
"260","control",1,"proton motive force-driven ATP synthesis",0,0,0,1,1,NA,"GO:0015986"
"261","control",1,"proton transmembrane transport",0.666666666666667,0,0,1,1,NA,"GO:1902600"
"262","control",1,"pteridine-containing compound metabolic process",0,0,0,1,1,NA,"GO:0042558"
"263","control",1,"quinone biosynthetic process",0,0.333333333333333,0,0.337575256017237,1,NA,"GO:1901663"
"264","control",1,"rRNA metabolic process",0.754344801944598,0.333333333333333,0,0.937518897057084,1,NA,"GO:0016072"
"265","control",1,"receptor metabolic process",0.138345833092947,0.666666666666667,0,0.335798068538151,1,NA,"GO:0043112"
"266","control",1,"regulation of ATP metabolic process",0,0,0,1,1,NA,"GO:1903578"
"267","control",1,"regulation of ATP-dependent activity",-0.333333333333333,0,0,1,1,NA,"GO:0043462"
"268","control",1,"regulation of DNA repair",0.861654166907052,0.666666666666667,0,0.739663714271474,1,NA,"GO:0006282"
"269","control",1,"regulation of DNA replication",0.861654166907053,0,0,1,1,NA,"GO:0006275"
