Name,Description,C9a,C9b,C9c,E9a,E9b,E9c
OR7E33P,na,0.00,0.00,0.00,0.00,0.00,0.00
AC012512.1,na,0.00,0.00,0.00,0.00,0.00,0.17
GAPDHP73,na,0.00,0.00,0.00,0.00,0.00,0.00
AL359633.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC114814.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MYL6P1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL7P22,na,0.00,0.00,0.00,0.00,0.00,0.00
AL357552.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
SSU72P1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC016722.1,na,0.23,0.00,0.00,0.00,0.00,0.20
SCDP1,na,0.00,0.00,0.00,0.00,0.00,0.00
BX284613.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC018735.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MTCL1P1,na,0.00,0.00,0.00,0.00,0.00,0.00
AGKP1,na,0.00,0.00,0.00,0.00,0.00,0.00
NPM1P49,na,0.00,0.00,0.00,0.00,0.00,0.00
TRAF6P1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL590383.1,na,0.00,0.00,0.00,0.00,0.00,0.00
CYP4F26P,na,0.00,0.83,0.00,0.00,0.00,0.41
FTH1P20,na,0.63,0.27,0.33,0.00,0.37,0.53
AL445493.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL390962.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00606,na,0.00,0.00,0.00,0.00,0.00,0.00
AL450304.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL158850.1,na,0.00,0.00,0.00,0.00,0.00,0.00
SNORD57,na,0.00,0.00,0.00,0.00,0.00,0.00
AC003071.2,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.12,0.25,0.07,0.00,0.20,0.22
AC060234.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MICC,na,0.00,0.00,0.00,0.00,0.00,0.00
AL132657.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MTCYBP31,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL39P40,na,0.00,0.00,0.00,0.00,0.00,0.00
AC092634.3,na,0.00,0.00,0.00,0.00,0.00,0.00
UBE2V1P5,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.02,0.00,0.00,0.02
AC006455.1,na,0.00,0.00,0.00,0.00,0.00,0.00
UBE2V1P10,na,0.00,0.00,0.00,0.00,0.00,0.00
AC004911.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL356421.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC245291.1,na,0.00,0.00,0.00,0.00,0.00,0.00
IFNWP9,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AL450344.2,na,0.00,0.00,0.00,0.00,0.00,0.00
CT47A9,na,0.00,0.00,0.00,0.00,0.00,0.00
AL359979.1,na,0.00,0.00,0.00,0.00,0.00,0.00
PAPPA-AS2,na,0.00,0.00,0.06,0.00,0.00,0.00
AC092567.1,na,0.00,0.00,0.00,0.00,0.00,0.00
FTLP3,na,2.74,1.76,0.35,0.42,7.06,0.57
AL390067.1,na,0.00,0.00,0.57,0.00,0.00,0.00
OFD1P2Y,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
OR52M2P,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL21P110,na,0.00,0.00,0.00,0.00,0.00,0.00
AL137001.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00343,na,0.00,0.00,0.00,0.00,0.00,0.00
AC083855.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC092155.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC005099.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RBM17P1,na,0.00,0.00,0.00,0.00,0.00,0.00
NOP56P2,na,0.00,0.00,0.00,0.00,0.00,0.00
SHANK2-AS1,na,0.00,0.00,0.00,0.00,0.00,0.04
LINC00974,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC9A3P3,na,0.00,0.00,0.00,0.00,0.00,0.00
UBE2V1P1,na,0.00,0.00,0.00,0.00,0.00,0.00
PPIAP28,na,0.00,0.00,0.00,0.00,0.00,0.00
AC006020.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AL357793.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL391647.1,na,0.00,0.00,0.00,0.00,0.00,0.30
ACTG1P12,na,0.00,0.00,0.00,0.00,0.00,0.00
AL513314.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL121899.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AP006216.1,na,0.63,0.00,0.00,0.00,0.00,0.46
RPL7P37,na,0.00,0.00,0.00,0.00,0.00,0.00
AL365356.1,na,0.00,0.16,0.14,0.00,0.15,0.16
PLCG1-AS1,na,0.14,0.00,0.08,0.00,0.08,0.07
AC019118.1,na,0.00,0.00,0.00,0.00,0.00,0.00
KIF4B,na,0.00,0.02,0.00,0.02,0.00,0.02
PSMD10P2,na,0.00,0.00,0.00,0.00,0.00,0.00
OR13Z1P,na,0.00,0.00,0.00,0.00,0.00,0.00
AC096732.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL23AP30,na,0.00,0.00,0.00,0.00,0.00,0.00
AC021028.1,na,0.00,0.00,0.00,0.00,0.00,0.00
TRBV2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC004973.1,na,0.00,0.00,0.00,0.00,0.00,0.00
CHMP1AP1,na,0.00,0.00,0.00,0.00,0.00,0.00
MTND4P10,na,0.00,0.00,0.00,0.00,0.00,0.00
AL020998.1,na,0.00,0.00,0.00,0.00,0.00,0.00
SSR1P2,na,0.00,0.00,0.00,0.00,0.00,0.00
HSPA9P1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AL136981.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL354977.1,na,0.00,0.00,0.00,0.00,0.00,0.00
BCAS2P3,na,0.00,0.00,0.00,0.00,0.00,0.00
AC005008.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01108,na,0.00,0.00,0.00,0.00,0.00,0.00
TEX41,na,0.00,0.00,0.11,0.02,0.00,0.00
,na,0.00,0.31,0.00,0.00,0.00,0.00
BX248123.1,na,0.00,0.00,0.00,0.00,0.00,0.00
IGBP1P1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL606748.1,na,0.22,0.00,0.00,0.00,0.00,0.00
AC073311.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC020595.1,na,0.00,0.00,0.00,0.00,0.00,0.00
PWWP2AP1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
CT47A12,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01535,na,0.61,0.27,11.44,0.87,0.37,1.86
ENTPD1-AS1,na,0.81,1.23,1.14,0.28,0.57,2.21
AC013470.2,na,0.00,0.00,0.00,0.00,0.00,0.00
NXNP1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL441943.1,na,0.00,0.00,0.00,0.00,0.00,0.00
ANKRD20A10P,na,0.00,0.06,0.00,0.00,0.08,0.00
LENG8-AS1,na,0.56,0.65,4.79,1.77,4.34,4.53
AL034380.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL360181.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MTND4P25,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL15P14,na,0.00,0.00,0.00,0.00,0.00,0.00
MIR217HG,na,0.13,0.00,0.00,0.00,0.00,0.00
NPM1P4,na,0.00,0.00,0.00,0.00,0.00,0.00
SDCBPP1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL161452.1,na,0.00,0.08,0.12,0.12,0.00,0.28
AL359458.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC073409.1,na,0.00,0.00,0.00,0.00,0.00,0.00
FGF12-AS3,na,0.00,0.00,0.00,0.00,0.00,0.00
FAM66C,na,4.55,2.90,3.26,3.53,1.54,1.63
LINC01709,na,0.00,0.00,0.00,0.00,0.00,0.00
AL589986.1,na,0.00,0.00,0.00,0.00,0.00,0.00
PTPRD-AS2,na,0.00,0.00,0.00,0.00,0.00,0.00
SNRPGP8,na,0.00,0.00,0.00,0.00,0.00,0.00
EEF1DP2,na,0.00,0.00,0.42,0.00,0.00,0.14
LINC00424,na,0.00,0.00,0.00,0.00,0.00,0.00
AL513175.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC109780.2,na,0.00,0.00,0.00,0.00,0.00,0.00
PABPC1L2B-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
TMEM256P2,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL35AP30,na,0.00,0.00,0.00,0.00,0.00,0.00
AL138826.1,na,0.00,0.00,0.00,0.00,0.00,0.00
SNRPGP12,na,0.00,0.00,0.00,0.00,0.00,0.00
U62317.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL358972.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC02554,na,0.00,0.00,0.00,0.00,0.00,0.00
HSBP1L1,na,29.52,41.18,27.79,29.63,36.34,23.68
AC005326.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL512599.1,na,0.00,0.00,0.00,0.00,0.00,0.00
SMCR5,na,0.00,0.00,0.00,0.00,0.00,0.00
AC007966.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL360271.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AF127936.1,na,0.00,0.00,0.00,0.00,0.00,0.00
CUTALP,na,5.71,6.70,10.20,5.23,5.09,11.22
AL451105.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL606760.1,na,0.18,0.37,0.23,0.26,0.11,0.17
VPS25P1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC007365.1,na,0.00,0.00,0.00,0.30,0.00,0.00
AC079341.1,na,0.19,0.15,0.37,0.27,0.11,0.17
DISC1-IT1,na,0.00,0.00,0.00,0.00,0.00,0.00
DAB1-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
TAS2R46,na,0.00,0.00,0.00,0.00,0.00,0.00
AL451164.1,na,0.00,0.00,0.00,0.00,0.00,0.00
SRRM5,na,0.12,0.04,0.29,0.25,0.11,0.21
AC010145.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPSAP33,na,0.00,0.00,0.00,0.00,0.00,0.00
FABP7P1,na,0.00,0.00,0.00,0.00,0.00,0.55
AC114501.1,na,0.00,0.00,0.00,0.00,0.00,0.00
GAPDHP54,na,0.00,0.00,0.00,0.00,0.00,0.00
AC000124.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AP001136.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL021393.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL663109.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC073910.1,na,0.00,0.00,0.00,0.00,0.00,0.00
KRTAP3-4P,na,0.00,0.00,0.00,0.00,0.00,0.00
FAM30A,na,0.00,0.00,0.00,0.00,0.00,0.00
NAALADL2-AS2,na,0.00,0.00,0.13,0.00,0.00,0.00
AC244035.1,na,0.00,0.00,0.00,0.00,0.00,0.00
TBCAP1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC117465.1,na,0.00,0.00,0.00,0.00,0.00,0.00
TLK1P1,na,0.00,0.00,0.00,0.00,0.00,0.00
PGAM4,na,0.00,0.05,0.00,0.00,0.00,0.11
AC068599.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AC110926.1,na,0.00,0.00,0.00,0.00,0.00,0.00
HNRNPA3P1,na,0.00,0.05,0.04,0.00,0.00,0.00
AC109826.1,na,0.00,0.00,0.00,0.00,0.00,0.00
C13orf42,na,0.00,0.00,0.00,0.00,0.00,0.00
MTND1P20,na,0.00,0.00,0.00,0.00,0.00,0.00
AC005828.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL138749.1,na,0.00,0.00,0.00,0.00,0.00,0.00
CACTIN-AS1,na,0.74,0.70,0.39,0.35,0.74,0.25
OSTCP8,na,0.00,0.00,0.00,0.00,0.00,0.00
AL442647.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL136311.1,na,0.52,0.00,0.37,1.05,0.00,0.91
AL359839.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC011893.1,na,0.00,0.00,0.13,0.00,0.00,0.05
MROH5,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00840,na,0.00,0.04,0.00,0.00,0.06,0.00
AC112198.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL117382.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01941,na,0.00,0.00,0.00,0.00,0.00,0.00
AL035407.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC005082.1,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC6A6P1,na,0.00,0.00,0.00,0.00,0.00,0.00
MEIS1-AS3,na,0.39,0.00,0.22,0.48,0.00,0.00
AL592049.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL390036.1,na,0.00,0.00,0.00,0.00,0.00,0.00
SUGT1P1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC006001.2,na,0.75,0.32,2.28,0.92,0.44,1.24
LINC01509,na,0.00,0.00,0.00,0.00,0.00,0.00
NPM1P11,na,0.00,0.00,0.00,0.00,0.00,0.00
AL591885.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC093655.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MED15P3,na,0.00,0.00,0.00,0.00,0.00,0.00
AC092164.1,na,0.00,0.00,0.21,0.00,0.22,0.51
AC097059.1,na,0.86,2.21,0.85,0.52,1.02,0.00
AC018437.1,na,0.00,0.00,0.00,0.00,0.00,0.00
HMGB1P32,na,0.00,0.00,0.00,0.00,0.00,0.00
AC096582.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MTND6P11,na,0.00,0.00,0.00,0.00,0.00,0.00
PAICSP3,na,0.00,0.00,0.00,0.00,0.00,0.00
AL158834.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL606753.1,na,0.00,0.00,0.00,0.00,0.00,0.00
EEF1GP3,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00348,na,0.00,0.00,0.00,0.00,0.00,0.00
PRPS1P1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL109811.1,na,0.00,0.06,0.00,0.09,0.00,0.24
AC004112.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.06,0.00,0.00,0.00,0.00,0.00
AC010894.2,na,2.33,2.02,1.06,0.00,3.74,0.54
AL451105.2,na,0.00,0.00,0.00,0.00,0.00,0.00
RPSAP17,na,0.00,0.00,0.00,0.00,0.00,0.00
AC093901.1,na,0.28,0.24,5.15,0.34,0.58,4.12
DUTP3,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC02051,na,0.00,0.35,0.00,0.00,0.24,0.00
AC109638.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL390835.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC104463.2,na,0.00,0.00,0.00,0.00,0.00,0.00
SHROOM2P1,na,0.00,0.00,0.00,0.00,0.00,0.00
ATE1-AS1,na,0.74,0.74,1.00,0.61,0.14,0.46
AC244505.4,na,0.00,0.00,0.00,0.00,0.00,0.00
AC096637.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LHFPL3-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
BX276092.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC135178.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC002472.1,na,0.00,0.00,0.00,0.00,0.00,0.00
CDY14P,na,0.00,0.00,0.00,0.00,0.00,0.00
AC005154.2,na,0.00,0.00,0.00,0.00,0.00,1.19
ZNF877P,na,0.00,0.00,0.00,0.00,0.00,0.00
AC092801.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL354733.1,na,0.00,0.00,0.00,0.00,0.00,0.00
GSTM3P2,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
H3F3AP5,na,0.00,0.00,0.00,0.00,0.00,0.00
AL035416.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPS29P10,na,0.00,0.00,0.00,0.00,0.00,0.00
E2F6P3,na,0.00,0.00,0.00,0.00,0.00,0.00
AC093787.1,na,0.00,0.00,0.00,0.00,0.00,0.00
ERVMER34-1,na,0.20,0.02,0.32,0.22,0.00,0.30
RPLP1P10,na,0.00,0.00,0.00,0.00,0.00,0.00
AL359541.1,na,0.00,0.00,0.00,0.00,0.00,0.00
Z97652.1,na,0.00,0.00,1.23,0.00,0.00,0.00
LINC01359,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AL731577.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL451069.1,na,0.00,0.00,0.00,0.00,0.00,0.00
CHCHD2P1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00354,na,0.00,0.00,0.00,0.00,0.00,0.00
AL353608.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC005040.1,na,0.00,0.00,0.00,0.00,0.00,0.00
TTTY4,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
HIST1H2BPS3,na,0.00,0.00,0.00,0.00,0.00,0.00
ISCA2P1,na,0.00,0.00,0.00,0.00,0.00,0.40
BSN-AS2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC068137.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01276,na,0.00,0.00,0.00,0.00,0.00,0.00
AC010086.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL365184.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL160004.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00454,na,0.00,0.00,0.00,0.00,0.00,0.00
AC007271.1,na,0.00,0.00,0.00,0.00,0.00,0.00
PDZPH1P,na,0.00,0.00,0.00,0.00,0.00,0.00
AL451081.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPS14P4,na,0.00,0.00,0.00,0.00,0.00,0.00
CT47A11,na,0.00,0.00,0.00,0.00,0.00,0.00
GTF2IP2,na,0.00,0.00,0.00,0.00,0.00,0.00
NRBF2P2,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00161,na,0.00,0.00,0.00,0.00,0.00,0.26
CEP164P1,na,2.25,1.09,1.04,1.53,1.66,1.47
AC119428.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC062021.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RBMY1J,na,0.00,0.00,0.00,0.00,0.00,0.00
IL9RP3,na,0.00,0.00,0.00,0.00,0.00,0.00
ALG1L5P,na,0.00,0.00,0.00,0.00,0.00,0.00
AL031847.1,na,0.00,0.78,0.00,1.09,1.09,0.00
AC098935.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC062022.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL139247.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPS4XP2,na,0.00,0.00,0.00,0.00,0.00,0.00
OR6K5P,na,0.00,0.00,0.00,0.00,0.00,0.00
DANCR,na,45.37,37.86,58.11,33.65,35.15,52.49
AC093019.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC010890.1,na,2.57,2.56,3.96,5.03,4.55,4.55
AL023802.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC104306.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AP000432.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL358075.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
MTCO1P21,na,0.00,0.00,0.00,0.00,0.00,0.00
PPIAP60,na,0.00,0.00,0.00,0.00,0.00,0.00
RAC1P6,na,0.00,0.00,0.00,0.00,0.00,0.00
AC078883.2,na,0.00,0.00,0.00,0.00,0.00,0.00
RHEBP2,na,0.26,0.00,0.00,0.65,0.00,0.23
AC092167.1,na,1.59,2.05,0.80,0.49,2.35,1.61
HAUS4P1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00423,na,0.00,0.00,0.00,0.00,0.00,0.00
AL391845.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL450063.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL606490.2,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL12P19,na,0.00,0.00,0.00,0.00,0.00,0.00
AL512638.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AC006987.1,na,0.00,0.00,0.00,0.00,0.00,0.00
COX6A1P2,na,0.29,0.74,0.31,0.00,0.00,0.50
HMGN1P24,na,0.00,0.00,0.00,0.00,0.00,0.00
MAGI2-AS2,na,0.00,0.00,0.00,0.00,0.00,0.00
LTA,na,0.00,0.00,0.00,0.00,0.00,0.00
ABHD17AP6,na,0.00,0.00,0.00,0.00,0.00,0.00
CENPCP1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01692,na,0.00,0.00,0.00,0.00,0.00,0.00
AL035410.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01203,na,0.00,0.00,0.00,0.00,0.00,0.00
AC092017.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL157938.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL049758.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC025946.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC140479.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC145625.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC012593.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00658,na,0.00,0.00,0.00,0.00,0.00,0.00
AP000477.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MTATP6P30,na,0.00,0.00,0.00,0.00,0.00,0.00
AC073325.2,na,0.00,0.00,0.00,0.00,0.00,0.00
HSPD1P14,na,0.00,0.00,0.00,0.00,0.00,0.00
NBPF2P,na,5.51,4.88,6.01,5.91,6.20,5.23
SNRPEP10,na,0.00,0.00,0.00,0.00,0.00,0.00
AC108032.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AL136988.2,na,0.00,0.00,0.16,0.00,0.00,0.26
LINC01247,na,0.00,0.00,0.00,0.00,0.00,0.00
AL009174.1,na,1.28,0.00,0.58,0.00,0.00,1.40
FUNDC2P4,na,0.00,0.00,0.00,0.00,0.00,0.00
C17orf112,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC02527,na,0.00,0.00,0.00,0.00,0.00,0.00
OR7E96P,na,0.00,0.00,0.00,0.00,0.00,0.00
AC007285.1,na,0.14,0.23,0.43,0.00,0.29,0.22
AC023141.4,na,0.00,0.00,0.00,0.00,0.00,0.00
AL583808.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC007036.1,na,0.00,0.00,0.00,0.00,0.00,0.19
IL6STP1,na,0.00,0.00,0.00,0.00,0.00,0.00
OR7E101P,na,0.00,0.00,0.00,0.00,0.00,0.00
AC007557.1,na,0.00,0.00,0.00,0.00,0.00,0.00
OR51A3P,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC8A1-AS1,na,27.82,13.47,3.96,21.18,18.60,1.77
AL139237.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPS2P36,na,0.00,0.00,0.00,0.00,0.00,0.00
AC019130.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL445433.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MTATP6P18,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00511,na,1.84,2.04,4.69,1.94,1.49,5.88
GTF2IP7,na,0.00,0.00,0.00,0.00,0.00,0.00
ITGB2-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC022483.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC003666.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01682,na,0.00,0.00,0.00,0.00,0.00,0.00
AL589765.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC012065.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC096677.3,na,0.00,0.00,0.00,0.00,0.00,0.00
AL512288.1,na,0.00,0.00,0.00,0.00,0.00,0.00
C14orf132,na,29.95,25.29,19.46,27.49,23.50,20.73
AC105446.1,na,2.86,3.25,9.88,3.50,4.64,4.99
FDX1P2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC009961.2,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL6P2,na,0.00,0.00,0.00,0.00,0.00,0.00
WDR46,na,43.93,41.65,56.68,35.95,35.74,56.28
BX510359.2,na,0.00,0.00,0.00,0.00,0.00,0.00
ANHX,na,0.00,0.00,0.00,0.21,0.00,0.00
LINC00629,na,0.19,0.32,0.42,0.23,0.22,0.62
AC079779.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL596276.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL41P1,na,314.11,306.11,140.96,390.60,350.13,142.67
Z82205.1,na,0.00,0.00,0.00,0.00,0.00,0.00
Z98257.1,na,0.00,0.00,0.00,0.00,0.00,0.00
DPPA3P1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL162584.1,na,0.00,0.00,0.00,0.00,0.00,0.00
CNN2P2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC104170.1,na,0.00,0.00,0.00,0.00,0.00,0.00
FOCAD-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL353706.1,na,0.00,0.00,0.00,0.00,0.00,0.00
SDHDP2,na,0.00,0.00,0.00,0.00,0.00,0.00
AP000472.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL158166.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC107983.1,na,0.00,0.00,0.00,0.00,0.00,0.63
LINC02094,na,0.00,0.00,0.00,0.00,0.00,0.00
AC012441.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC005912.1,na,31.47,21.32,9.78,18.18,27.99,9.92
AC244021.1,na,0.00,0.00,0.00,0.06,0.00,0.02
L29074.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
RBMX2P5,na,0.00,0.00,0.00,0.00,0.00,0.00
AC084149.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL031767.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AP000402.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL355990.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL512785.1,na,0.00,0.00,0.00,0.00,0.00,0.00
HMGB3P8,na,0.00,0.00,0.00,0.00,0.00,0.00
RPS28P7,na,5.60,4.89,3.05,34.25,3.40,0.61
AC073636.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC025822.1,na,0.00,0.00,0.00,0.00,0.00,0.00
OR2AS1P,na,0.00,0.00,0.00,0.00,0.00,0.00
PIGQP1,na,0.00,0.00,0.00,0.00,0.00,0.00
PARP1P1,na,0.00,0.00,0.00,0.00,0.00,0.00
