Name,Description,C9a,C9b,C9c,E9a,E9b,E9c
PSMB1,na,144.64,147.93,242.76,153.21,131.22,224.29
SYN1,na,1.96,2.21,0.83,2.23,3.16,0.81
JARID2,na,9.39,12.54,10.67,9.50,13.26,11.12
CDKL5,na,4.08,2.94,3.18,2.91,2.48,3.80
CAMK1G,na,0.00,0.00,0.00,0.00,0.09,0.07
CDK11A,na,7.72,10.17,18.46,27.45,17.13,19.02
NADK,na,31.12,26.56,42.28,30.01,27.05,40.68
TFAP2B,na,0.00,0.00,0.00,0.00,0.00,0.00
TFAP2D,na,0.00,0.00,0.00,0.00,0.00,0.00
DLEC1,na,0.05,0.07,0.07,0.00,0.00,0.00
CYTH3,na,42.14,67.84,37.25,39.32,53.76,48.87
ADAM22,na,0.05,0.02,0.06,0.04,0.00,0.31
SYPL1,na,55.64,56.85,51.32,53.90,54.43,63.71
CYB561,na,13.23,13.66,7.06,12.95,13.29,6.62
SPAG9,na,35.46,37.07,43.86,36.14,37.44,46.28
CELSR3,na,2.05,1.17,1.59,2.61,2.39,1.80
AASS,na,11.05,12.70,10.01,8.82,9.57,14.17
PLEKHG6,na,0.45,0.18,0.43,0.14,0.49,0.07
SS18L2,na,15.73,19.07,15.99,15.93,13.50,16.71
MPND,na,10.86,15.72,10.00,14.27,10.91,13.95
MGST1,na,323.36,299.72,350.28,323.11,314.23,365.07
CRY1,na,16.00,18.87,10.54,19.17,18.25,13.03
PGLYRP1,na,0.00,0.00,0.00,0.00,0.00,0.00
NFIX,na,59.29,58.08,83.31,61.62,59.34,77.91
ST3GAL1,na,55.53,47.90,64.54,43.86,44.30,72.64
MMP25,na,0.30,0.09,0.07,0.45,0.10,0.03
IL32,na,266.48,321.48,49.23,206.37,203.72,42.46
PKD1,na,72.17,55.00,85.52,71.52,71.52,101.57
MAPK8IP2,na,0.37,0.29,0.23,0.21,0.43,0.40
MED24,na,40.31,41.87,42.72,46.05,43.93,47.36
RHOBTB2,na,8.98,9.69,7.82,9.93,15.39,9.02
HEATR5B,na,5.77,6.24,8.02,6.32,6.40,8.17
SEC62,na,109.42,109.73,125.85,104.01,114.66,140.71
RPS20,na,1839.70,1817.57,1705.73,1813.39,1886.11,1521.37
CSDE1,na,393.96,409.68,380.68,395.05,446.88,381.42
UBE3C,na,56.99,55.96,55.98,43.12,39.62,60.43
REV3L,na,9.96,13.90,11.01,14.49,16.01,11.25
TENM1,na,6.35,8.33,0.07,6.23,5.63,0.50
PAX7,na,0.00,0.00,0.00,0.00,0.00,0.00
MASP2,na,0.04,0.16,0.37,0.43,0.13,0.33
IYD,na,0.00,0.00,0.00,0.00,0.00,0.00
FAM76A,na,3.55,2.07,4.29,3.20,3.26,3.98
TRAF3IP3,na,0.19,0.39,0.44,0.47,0.36,0.37
POMT2,na,8.36,10.35,14.17,9.21,8.57,16.85
VTA1,na,45.26,36.17,46.14,42.29,35.82,47.12
MLXIPL,na,0.00,0.00,0.00,0.00,0.00,0.00
BAZ1B,na,31.59,32.66,39.92,30.05,30.21,41.69
RANBP9,na,36.60,33.47,41.26,33.91,40.51,41.50
ETV7,na,0.28,1.16,0.32,0.45,0.79,0.15
SPRTN,na,6.17,11.24,5.14,6.20,4.76,8.98
METTL13,na,14.07,12.73,18.60,14.23,13.60,16.86
DYRK4,na,36.86,40.43,36.52,30.61,39.40,39.52
ZNF207,na,104.95,100.24,122.00,89.28,87.58,138.31
UQCRC1,na,358.83,373.22,321.07,341.62,380.24,347.60
STARD3NL,na,51.75,58.38,46.85,50.37,49.35,44.14
CD9,na,173.86,195.84,110.27,203.70,239.04,149.53
HHATL,na,0.00,0.00,0.22,0.00,0.00,0.41
NCAPD2,na,26.42,37.97,33.77,28.78,33.44,48.68
IFFO1,na,28.52,27.15,24.18,23.72,30.07,23.02
GIPR,na,1.13,1.47,1.46,1.52,0.90,2.00
PHF7,na,2.41,2.62,3.19,1.78,4.02,4.18
SEMA3G,na,0.15,0.02,0.02,0.02,0.17,0.03
NISCH,na,52.76,55.19,61.36,55.66,58.44,64.57
STAB1,na,0.07,0.00,0.24,0.00,0.00,0.04
FUZ,na,12.05,14.65,12.52,12.18,14.03,12.55
