Name,Description,C1a,C1b,C1c,C9a,C9b,C9c
AL162615.1,na,0.00,0.00,0.00,0.00,0.05,0.00
LINC01318,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.19
RPL18AP16,na,0.00,0.00,0.00,0.00,0.00,0.00
AL161935.3,na,0.00,0.00,0.00,0.00,0.00,0.00
AC010894.4,na,0.00,0.00,0.00,0.00,0.00,0.00
CICP11,na,0.00,0.00,0.00,0.00,0.00,0.00
AMD1P2,na,0.00,0.00,0.00,0.00,0.00,0.00
FAM197Y6,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00211,na,0.11,0.00,0.05,0.10,0.19,0.30
HNRNPA1P39,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
FAUP2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC022034.2,na,0.17,0.31,0.95,0.16,0.20,1.34
AC104852.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC002066.1,na,0.67,0.21,0.00,0.40,0.17,0.69
,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL21P109,na,0.00,0.00,0.00,0.00,0.00,0.00
RPS3AP29,na,0.00,0.00,0.00,0.00,0.00,0.00
AC002454.1,na,2.50,0.85,0.31,1.14,1.09,1.22
AC083873.1,na,0.00,0.10,0.18,0.00,0.00,0.12
CDY19P,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL23AP33,na,0.00,0.00,0.00,0.00,0.00,0.00
RPS15AP29,na,0.00,0.00,0.00,0.00,0.00,0.00
PA2G4P1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AL138808.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL391380.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC007064.3,na,0.00,0.00,0.00,0.00,0.00,0.00
PHKA2-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC159540.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC092422.1,na,0.00,0.00,0.00,0.00,0.00,0.00
FAM21FP,na,0.00,0.10,0.00,0.00,0.00,0.00
KRTAP19-9P,na,0.00,0.00,0.00,0.00,0.00,0.00
AL157713.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC016903.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC016766.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL139161.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL773545.3,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AL606489.2,na,0.00,0.00,0.00,0.00,0.00,0.00
NFYAP1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC091304.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL023584.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC119800.1,na,0.00,0.74,0.00,0.00,0.00,0.00
NFIA-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00674,na,0.95,0.22,1.35,1.26,0.90,2.79
AC062020.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.24,0.07,0.07,0.00,0.06,0.26
EEF1A1P31,na,0.00,0.00,0.00,0.00,0.00,0.00
BX119904.4,na,0.00,0.00,0.00,0.00,0.00,0.00
AL513325.1,na,0.00,0.00,0.00,0.00,0.00,0.00
Z94160.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL035425.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00322,na,0.00,0.00,0.00,0.00,0.00,0.00
AC097533.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AC073130.1,na,0.00,0.10,0.09,0.00,0.22,0.36
POU5F1P4,na,0.00,0.00,0.09,0.00,0.00,0.00
AL158053.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL136972.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL353691.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AKR1B1P4,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01473,na,0.62,0.00,0.00,0.00,0.09,0.00
LINC00398,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01885,na,0.00,0.00,0.00,0.00,0.00,0.00
PPIAP13,na,0.00,0.00,0.00,0.00,0.00,0.00
DGUOK-AS1,na,0.34,0.33,0.00,0.93,0.00,0.00
AL359672.1,na,0.00,0.00,0.00,0.00,0.00,0.00
NALT1,na,0.20,0.66,0.17,0.37,1.09,0.61
RPL23AP32,na,0.00,0.00,0.00,0.00,0.00,0.00
AC087650.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL441985.1,na,0.00,0.00,0.00,0.00,0.00,0.00
KLF7-IT1,na,0.25,0.00,0.00,0.00,0.00,0.74
AC005008.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL512844.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL031289.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC009161.1,na,0.00,0.00,0.00,0.00,0.00,0.00
TSPY21P,na,0.00,0.00,0.00,0.00,0.00,0.00
AC004000.1,na,0.00,0.00,0.00,0.00,0.00,0.00
BX284632.2,na,0.00,0.00,0.00,0.00,0.00,0.00
MUPP,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
MTCO1P18,na,0.00,0.00,0.00,0.00,0.00,0.00
SRP68P3,na,0.00,0.00,0.00,0.00,0.00,0.00
FTLP19,na,0.00,0.00,0.00,0.00,0.00,0.00
SIRPG-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC011753.4,na,2.59,0.00,0.00,0.00,0.00,1.39
PARP4P1,na,0.04,0.04,0.00,0.00,0.00,0.05
AL158840.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL162591.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC004543.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL450309.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC02570,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL21P112,na,0.00,0.00,0.00,0.00,0.00,0.00
AC239367.3,na,0.00,0.00,0.00,0.00,0.00,0.00
AL078604.2,na,0.00,0.00,0.00,0.00,0.04,0.00
NFIA-AS2,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL31P3,na,0.00,0.00,0.00,0.00,0.00,0.00
AC007563.3,na,0.00,0.00,0.00,0.00,0.00,0.00
CLIC4P3,na,0.00,0.00,0.00,0.00,0.00,0.00
AL590729.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL353093.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AP000770.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL450998.3,na,0.00,0.00,0.00,0.00,0.00,0.00
AC097523.2,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01238,na,0.05,0.04,0.12,0.09,0.07,0.05
KCNQ1DN,na,0.00,0.00,0.00,0.00,0.00,0.00
PRKCQ-AS1,na,0.00,0.10,0.74,0.00,0.00,0.00
LINC00649,na,0.14,0.44,0.55,0.27,1.18,0.02
AL583854.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MTATP6P20,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00844,na,0.00,0.00,0.00,0.00,0.00,0.00
AL357079.1,na,0.00,0.00,0.00,0.00,0.00,0.00
PPIL1P1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL7AP73,na,0.00,0.00,0.00,0.00,0.00,0.00
AC013267.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL445218.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC245884.4,na,0.00,0.00,0.00,0.00,0.00,0.00
TRIAP1P1,na,0.00,0.00,0.00,0.00,0.00,0.00
CT47A5,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL36AP10,na,0.00,0.00,0.00,0.00,0.00,0.00
AC118282.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL441964.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC068042.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC007322.3,na,0.00,0.00,0.00,0.00,0.00,0.00
TMEM161BP1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL445523.1,na,0.00,0.00,0.00,0.00,0.00,0.00
TUBG1P,na,0.00,0.00,0.00,0.00,0.00,0.00
MTCO1P12,na,5.88,6.58,8.43,9.36,8.53,34.96
AC000111.2,na,0.00,0.00,0.00,0.00,0.00,0.00
FLG-AS1,na,0.47,0.00,0.12,0.03,0.00,0.21
AL391069.3,na,0.00,0.27,0.91,0.25,0.21,1.35
EIF4HP2,na,0.00,0.00,0.00,0.00,0.00,0.00
KCNMB2-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC007389.4,na,0.00,0.00,0.00,0.00,0.14,0.00
AL590648.3,na,0.00,0.00,0.00,0.00,0.00,0.00
AP006193.1,na,0.00,0.00,0.00,0.00,0.00,0.00
PTENP1,na,0.10,0.43,0.24,0.04,0.23,0.63
CELF2-AS2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL606970.4,na,0.00,0.00,0.00,0.00,0.00,0.00
OR2I1P,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01679,na,0.86,0.91,0.63,0.72,0.55,0.87
CNTN4-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL35P1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01808,na,0.00,0.00,0.00,0.00,0.00,0.00
AL365318.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC003659.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RCC2P2,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.14,0.25,0.00,0.00,0.00
ACTG1P19,na,0.00,0.00,0.00,0.00,0.00,0.00
AC116347.1,na,0.00,0.20,0.35,0.38,0.49,1.49
SNRPCP1,na,0.00,0.00,0.00,0.00,0.00,0.00
NPAP1P6,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL10P4,na,0.00,0.00,0.00,0.00,0.00,0.00
AC009227.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL391832.2,na,0.00,0.00,0.00,0.00,0.00,1.29
AC024619.1,na,0.00,0.00,0.00,0.00,0.00,0.00
COX6CP10,na,0.00,0.00,0.00,0.00,0.00,0.00
AL627309.1,na,0.00,0.00,0.00,0.00,0.00,0.08
AL161908.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC114752.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC109583.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC104837.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC093110.1,na,0.00,0.00,1.90,0.29,0.00,0.00
AL360169.1,na,0.00,0.00,0.00,0.00,0.00,0.00
HTR3E-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
ARMC4P1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL390730.2,na,0.00,0.00,0.00,0.00,0.00,0.00
DDX39BP2,na,0.00,0.00,0.00,0.00,0.00,0.00
ZDHHC4P1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC117434.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC012493.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC090505.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC245047.7,na,0.00,0.00,0.00,0.00,0.00,0.00
AC002480.4,na,0.00,0.00,0.00,0.00,0.00,0.00
AL109807.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC138035.1,na,0.00,0.00,0.00,0.00,0.10,0.39
OOSP1P1,na,0.00,0.00,0.00,0.00,0.00,0.00
ATP6V0E1P3,na,0.00,0.00,0.00,0.00,0.00,0.00
AC244197.2,na,0.25,0.24,0.20,0.00,0.00,0.00
SALL4P2,na,0.00,0.00,0.00,0.00,0.00,0.00
AP004245.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC02257,na,0.00,0.00,0.00,0.00,0.00,0.00
AC024559.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC009133.1,na,0.84,1.34,1.58,1.78,1.18,1.73
MTND5P22,na,0.00,0.00,0.00,0.00,0.00,0.00
MTND1P30,na,0.00,0.00,0.00,0.00,0.00,0.00
ART2P,na,0.00,0.00,0.00,0.00,0.00,0.00
Z92846.1,na,0.00,0.00,0.00,0.00,0.00,0.00
ISCUP1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL691515.2,na,0.00,0.00,0.00,0.00,0.00,0.00
Z98742.3,na,0.00,0.00,0.00,0.00,0.00,0.00
ZEB2-AS1,na,0.06,0.00,0.00,0.05,0.00,0.00
AL355574.1,na,0.00,0.00,0.00,0.00,0.00,0.00
HSPE1P21,na,0.00,0.00,0.00,0.00,0.00,0.00
AL356273.2,na,0.00,0.00,0.00,0.00,0.10,0.00
SPATA3-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01685,na,0.00,0.00,0.00,0.00,0.00,0.00
AC010740.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC005002.2,na,0.00,0.00,0.00,0.00,0.00,0.00
XKRYP1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
RPLP0P7,na,0.00,0.00,0.00,0.00,0.00,0.00
AC009244.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RBMY2HP,na,0.00,0.00,0.00,0.00,0.00,0.00
TSPY9P,na,0.00,0.00,0.00,0.00,0.00,0.00
RPSAP32,na,0.00,0.00,0.00,0.00,0.00,0.00
MRPL48P1,na,0.00,0.00,0.00,0.00,0.00,0.00
NMNAT1P3,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01352,na,0.00,0.00,0.00,0.00,0.00,0.00
AL356121.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC099063.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC009948.2,na,0.00,0.00,0.00,0.00,0.00,0.00
LRRC37A2,na,1.17,1.36,1.19,1.71,1.55,1.29
AL031284.1,na,0.67,0.50,0.53,0.00,0.37,0.00
AL590682.1,na,0.00,0.00,0.00,0.00,0.00,0.00
PPP1R26P1,na,0.00,0.00,0.00,0.00,0.00,0.00
FMO8P,na,0.00,0.00,0.00,0.00,0.00,0.00
OFD1P7Y,na,0.00,0.00,0.00,0.00,0.00,0.00
AC006195.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
CEACAMP6,na,0.00,0.00,0.00,0.00,0.00,0.00
AC245036.4,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC02037,na,0.00,0.00,0.00,0.00,0.00,0.00
ABCA17P,na,0.05,0.08,0.02,0.00,0.00,0.00
LINC01625,na,0.00,0.00,0.00,0.00,0.00,0.00
AL080248.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL9P7,na,0.00,0.31,0.00,0.00,0.00,0.30
GOLGA2P5,na,0.27,0.11,0.00,0.08,0.14,0.05
,na,0.00,0.00,0.00,0.00,0.00,0.00
AC245100.6,na,0.00,0.00,0.00,0.00,0.00,0.00
AL139135.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC004893.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL353572.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC066692.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01410,na,0.03,2.96,7.61,0.23,0.00,0.23
Z95327.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AP000844.2,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC25A24P2,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01589,na,0.00,0.70,0.00,0.63,0.00,0.00
LINC00426,na,0.00,0.00,0.00,0.00,0.00,0.08
AL359258.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MID1IP1-AS1,na,0.00,0.00,0.00,0.00,0.00,0.75
AC114501.3,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC9A3P2,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
AL121904.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC073521.1,na,0.00,0.00,0.00,0.00,0.00,0.00
CASC4P1,na,0.00,0.00,0.00,0.00,0.00,0.00
MAP3K20-AS1,na,0.00,0.00,0.03,0.04,0.00,0.00
USP9YP10,na,0.00,0.00,0.00,0.00,0.00,0.00
ARPC3P2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC027124.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL590559.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC104170.2,na,0.00,0.00,0.00,0.00,0.00,0.00
BRWD1-AS1,na,0.00,0.00,0.00,0.00,0.00,0.00
BX284668.5,na,9.79,8.21,2.51,14.11,13.33,5.59
AL161631.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL731892.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC104978.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC008753.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MLLT10P1,na,0.00,0.00,0.00,0.00,0.00,0.00
OR7E140P,na,0.00,0.00,0.00,0.00,0.00,0.00
Z99755.1,na,0.00,0.00,0.00,0.00,0.00,0.00
USP9YP4,na,0.00,0.00,0.00,0.00,0.00,0.00
AL445465.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL391422.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC116366.2,na,0.00,0.00,0.00,0.00,0.15,0.00
OR7E117P,na,0.00,0.00,0.00,0.00,0.00,0.00
AC009237.11,na,0.00,0.00,0.00,0.00,0.00,0.00
TNFRSF14-AS1,na,0.00,0.00,0.00,0.00,0.02,0.00
AC007560.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC022748.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC137055.1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01053,na,0.00,0.00,0.00,0.00,0.00,0.00
AC068196.1,na,0.00,0.00,0.00,0.00,0.00,0.00
RPS2P35,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL39P6,na,0.00,0.00,0.00,0.00,0.00,0.00
AL390061.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC078993.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC017079.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AHCYP2,na,0.00,0.00,0.00,0.00,0.00,0.00
RPS27P5,na,0.00,0.00,0.00,0.00,0.00,0.00
CD81-AS1,na,0.10,0.09,0.45,0.28,0.69,0.00
AL353680.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL603839.2,na,0.00,0.05,0.00,0.00,0.00,0.00
AL049733.1,na,0.00,0.00,0.00,0.00,0.00,0.00
ENOX1-AS2,na,0.00,0.00,0.00,0.00,0.00,0.00
HMGB1P15,na,0.00,0.00,0.00,0.00,0.00,0.00
CLUHP1,na,0.00,0.00,0.00,0.00,0.00,0.00
BX284656.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC112656.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL121908.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL021153.1,na,0.00,0.00,0.00,0.00,0.00,0.00
PAXBP1-AS1,na,0.96,0.06,0.21,0.11,1.10,0.82
AL357055.3,na,0.04,0.04,0.00,0.04,0.00,0.14
UBE2V2P3,na,0.00,0.00,0.00,0.00,0.00,0.00
MGAT2P2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC114752.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC002465.1,na,0.00,0.00,0.00,0.00,1.10,0.00
MPC1L,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,1.16,1.11,0.94,2.06,2.41,5.54
AC009312.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
ETDA,na,0.00,0.00,0.00,0.00,0.00,0.00
POLR2LP1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC02096,na,0.00,0.00,0.00,0.00,0.00,0.00
TARDBPP2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL513185.3,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01877,na,0.00,0.00,0.00,0.00,0.00,0.00
AP000275.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL139095.4,na,0.00,0.00,0.00,0.00,0.00,0.00
MKRN4P,na,0.00,0.00,0.00,0.00,0.00,0.00
AL121878.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC104462.2,na,0.00,0.00,0.00,0.00,0.00,0.00
CRIP1P2,na,0.00,0.00,0.00,0.00,0.00,0.00
TMEM250,na,23.01,24.89,34.88,21.46,21.22,23.15
OR7E7P,na,0.25,0.12,0.21,0.68,0.48,0.13
LINC00391,na,0.00,0.00,0.00,0.00,0.00,0.00
AL512288.2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL356364.1,na,0.00,0.00,0.00,0.00,0.00,0.00
TSPY11P,na,0.00,0.00,0.00,0.00,0.00,0.00
MTCYBP14,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
CCR12P,na,0.00,0.00,0.00,0.00,0.00,0.00
AC097066.1,na,0.00,0.00,0.00,0.00,0.00,0.00
OR2W3,na,0.00,0.13,1.38,0.88,0.88,3.53
GABARAPL3,na,0.00,0.00,0.00,0.00,0.00,0.00
MYO5BP2,na,0.00,0.00,0.00,0.00,0.00,0.00
AC069549.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC006210.2,na,0.07,0.00,0.00,0.00,0.00,0.00
HMGN2P17,na,0.00,0.00,0.00,0.00,0.00,0.00
ST6GAL2-IT1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL133477.1,na,0.00,0.00,0.00,0.00,0.31,0.00
AC008496.1,na,0.00,0.00,0.00,0.00,0.00,0.00
MTND5P20,na,0.00,0.00,0.00,0.00,0.00,0.00
AP000244.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL121748.2,na,0.39,0.38,0.00,0.73,0.32,1.04
AC067940.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL513320.1,na,0.00,0.00,0.00,0.00,0.00,0.53
,na,0.00,0.00,0.00,0.15,0.11,0.06
NTM-IT,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL21P88,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00317,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC00707,na,0.45,0.23,0.59,0.15,0.30,0.50
AC104850.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
PAGE2B,na,0.00,0.00,0.00,0.00,0.00,0.00
AL591504.1,na,0.00,0.00,0.00,0.00,0.00,0.00
IFNWP19,na,5.56,4.97,3.50,9.56,4.90,2.39
AL139142.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC108058.1,na,0.41,0.37,0.09,0.23,0.84,1.77
HOMER2P2,na,0.00,0.00,0.00,0.00,0.00,0.00
AL354863.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AC068483.1,na,0.00,0.00,0.00,0.00,0.00,0.00
ALG1L6P,na,0.00,0.00,0.00,0.00,0.00,0.00
BX470102.1,na,0.00,0.00,0.00,0.00,0.58,0.00
AL133417.1,na,0.00,0.00,0.00,0.00,0.00,0.00
AL121781.1,na,0.00,0.00,0.00,0.00,0.00,0.00
TBC1D3P1,na,0.00,0.00,0.00,0.00,0.00,0.00
LINC01448,na,0.00,0.00,0.00,0.00,0.00,0.00
MRPL50P2,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC35E1P1,na,0.00,0.29,0.26,0.43,0.12,0.33
AL603839.3,na,0.00,0.00,0.00,0.00,0.00,0.28
MTND3P23,na,0.00,0.00,0.00,0.00,0.00,0.00
AL034417.2,na,0.00,0.05,0.00,0.00,0.04,0.06
AL391704.3,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
RF01210,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
RF00012,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
SNORD121B,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
RNU7-120P,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
RNU7-50P,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
SNORD13E,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
RF01210,na,0.00,0.00,0.00,0.00,0.00,0.00
SNORD11,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
RN7SKP198,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
RF01210,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
SNORD126,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
RNU7-148P,na,0.00,0.00,0.00,0.00,0.00,0.00
AC004969.1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
SNORA13,na,0.00,0.00,0.00,0.00,0.00,0.00
RNU7-140P,na,0.00,0.00,0.00,0.00,0.00,0.00
RNU7-57P,na,0.00,0.00,0.00,0.00,0.00,0.00
RF00019,na,0.00,0.00,0.00,0.00,0.00,0.00
