Name,Description,C1a,C1b,C1c,C9a,C9b,C9c
KIAA0100,na,52.63,47.01,62.43,53.38,52.38,61.98
SLC13A2,na,0.00,0.00,0.00,0.00,0.00,0.00
GAS7,na,20.21,14.52,10.72,8.32,3.97,16.32
TRAPPC6A,na,20.83,22.27,9.29,16.10,22.07,11.07
MATK,na,0.00,0.00,0.00,0.00,0.00,0.00
CEACAM7,na,0.00,0.00,0.00,0.00,0.00,0.00
CD79B,na,0.00,0.00,0.00,0.00,0.00,0.00
SCN4A,na,0.00,0.01,0.00,0.00,0.01,0.00
ST7L,na,10.10,8.87,9.25,11.77,10.77,17.10
TKTL1,na,0.00,0.00,0.00,0.00,0.00,0.00
PAX6,na,0.05,0.01,0.05,0.05,0.09,0.03
RPUSD1,na,23.09,22.79,22.38,17.73,13.62,19.33
RHBDF1,na,73.51,84.37,59.02,72.91,79.45,81.35
LUC7L,na,37.47,32.43,42.15,24.36,34.58,55.95
CACNA2D2,na,0.12,0.15,0.03,0.18,0.28,0.40
BAIAP3,na,1.13,0.84,0.55,0.41,1.44,3.02
TSR3,na,49.38,60.10,70.55,58.64,53.63,62.74
PIGQ,na,22.18,21.99,26.33,19.77,19.19,20.50
CRAMP1,na,10.04,8.29,12.69,9.00,11.11,8.70
TEAD3,na,50.46,62.45,56.04,47.26,59.99,50.86
SELE,na,0.00,0.00,0.00,0.00,0.00,0.00
DNAJC11,na,19.82,20.09,39.00,24.04,22.70,48.75
FMO3,na,7.90,10.19,0.13,7.59,7.57,2.20
MYLIP,na,0.97,1.56,1.91,2.62,4.23,1.42
NOX1,na,0.00,0.00,0.00,0.00,0.03,0.08
E2F2,na,0.18,0.27,0.38,0.05,0.08,0.14
PSMB1,na,127.83,143.93,173.20,144.64,147.93,242.76
SYN1,na,1.73,1.35,1.35,1.96,2.21,0.83
JARID2,na,8.53,6.54,12.52,9.39,12.54,10.67
CDKL5,na,3.43,3.62,2.97,4.08,2.94,3.18
CAMK1G,na,1.28,0.48,0.90,0.00,0.00,0.00
CDK11A,na,11.19,10.76,13.34,7.72,10.17,18.46
NADK,na,30.17,27.52,37.60,31.12,26.56,42.28
TFAP2B,na,0.00,0.00,0.00,0.00,0.00,0.00
TFAP2D,na,0.00,0.00,0.00,0.00,0.00,0.00
DLEC1,na,0.00,0.00,0.04,0.05,0.07,0.07
CYTH3,na,25.01,31.82,44.83,42.14,67.84,37.25
ADAM22,na,0.01,0.00,0.00,0.05,0.02,0.06
SYPL1,na,64.55,48.22,53.93,55.64,56.85,51.32
CYB561,na,3.56,8.19,12.64,13.23,13.66,7.06
SPAG9,na,34.01,28.35,33.86,35.46,37.07,43.86
CELSR3,na,2.43,2.18,1.14,2.05,1.17,1.59
AASS,na,10.70,9.11,6.45,11.05,12.70,10.01
PLEKHG6,na,0.00,0.15,0.56,0.45,0.18,0.43
SS18L2,na,18.47,17.52,19.86,15.73,19.07,15.99
MPND,na,10.18,9.69,13.36,10.86,15.72,10.00
MGST1,na,450.55,328.09,272.74,323.36,299.72,350.28
CRY1,na,15.18,21.24,26.10,16.00,18.87,10.54
PGLYRP1,na,0.00,0.20,0.00,0.00,0.00,0.00
NFIX,na,75.24,66.08,78.97,59.29,58.08,83.31
ST3GAL1,na,112.64,85.28,51.24,55.53,47.90,64.54
MMP25,na,0.25,0.03,0.05,0.30,0.09,0.07
IL32,na,187.43,261.17,141.81,266.48,321.48,49.23
PKD1,na,80.72,76.80,70.37,72.17,55.00,85.52
MAPK8IP2,na,0.50,0.13,0.24,0.37,0.29,0.23
MED24,na,45.63,47.48,53.33,40.31,41.87,42.72
RHOBTB2,na,16.81,11.21,10.71,8.98,9.69,7.82
HEATR5B,na,4.78,4.63,7.26,5.77,6.24,8.02
SEC62,na,96.38,94.60,71.16,109.42,109.73,125.85
RPS20,na,1953.86,1886.79,1586.51,1839.70,1817.57,1705.73
CSDE1,na,409.85,340.26,393.35,393.96,409.68,380.68
UBE3C,na,52.21,52.72,70.54,56.99,55.96,55.98
REV3L,na,17.36,8.53,7.24,9.96,13.90,11.01
TENM1,na,0.04,0.06,0.13,6.35,8.33,0.07
PAX7,na,0.00,0.00,0.00,0.00,0.00,0.00
MASP2,na,0.21,0.15,0.31,0.04,0.16,0.37
IYD,na,0.00,0.00,0.00,0.00,0.00,0.00
FAM76A,na,4.56,2.49,3.87,3.55,2.07,4.29
TRAF3IP3,na,0.04,0.35,0.33,0.19,0.39,0.44
POMT2,na,8.72,8.12,10.95,8.36,10.35,14.17
VTA1,na,49.07,38.99,44.30,45.26,36.17,46.14
MLXIPL,na,0.00,0.00,0.00,0.00,0.00,0.00
BAZ1B,na,39.04,28.78,36.74,31.59,32.66,39.92
RANBP9,na,46.94,32.20,37.44,36.60,33.47,41.26
ETV7,na,0.40,0.28,0.11,0.28,1.16,0.32
SPRTN,na,4.03,4.04,7.93,6.17,11.24,5.14
METTL13,na,15.99,14.85,17.09,14.07,12.73,18.60
DYRK4,na,37.14,41.70,41.93,36.86,40.43,36.52
ZNF207,na,136.43,109.84,131.52,104.95,100.24,122.00
UQCRC1,na,407.59,363.74,440.32,358.83,373.22,321.07
STARD3NL,na,58.63,53.01,47.96,51.75,58.38,46.85
CD9,na,137.27,143.88,180.03,173.86,195.84,110.27
HHATL,na,0.00,0.00,0.00,0.00,0.00,0.22
NCAPD2,na,39.09,27.00,66.56,26.42,37.97,33.77
IFFO1,na,21.87,23.58,23.62,28.52,27.15,24.18
GIPR,na,2.01,1.39,0.45,1.13,1.47,1.46
PHF7,na,1.93,3.39,4.20,2.41,2.62,3.19
SEMA3G,na,0.16,0.00,0.02,0.15,0.02,0.02
NISCH,na,62.93,50.79,57.45,52.76,55.19,61.36
STAB1,na,0.00,0.01,0.00,0.07,0.00,0.24
FUZ,na,12.29,17.71,12.45,12.05,14.65,12.52
SLC6A13,na,0.00,0.00,0.00,0.00,0.00,0.00
IDS,na,63.47,61.34,52.96,84.28,89.97,57.94
PRSS3,na,7.78,3.76,4.70,6.83,3.08,7.82
ZNF200,na,5.89,3.02,5.18,3.21,4.27,2.75
CD4,na,23.18,13.66,19.26,10.00,6.14,15.12
LRRC23,na,17.36,13.51,8.53,15.22,18.54,9.92
BTK,na,0.00,0.00,0.00,0.00,0.00,0.10
HFE,na,13.63,10.99,12.90,14.04,17.21,20.27
SCMH1,na,31.39,30.99,19.39,24.18,24.07,20.60
FYN,na,62.76,37.98,46.48,49.88,41.56,88.03
HIVEP2,na,8.59,8.28,9.60,9.04,10.05,6.23
FMO1,na,0.05,0.00,0.00,0.04,0.00,0.00
ELOA,na,6.96,6.56,8.21,8.11,6.78,13.28
LYPLA2,na,39.06,40.35,52.89,38.29,33.46,31.69
CLCN6,na,7.29,6.59,7.34,7.80,9.16,8.72
MRC2,na,532.04,541.69,466.97,573.65,518.47,400.43
NME1-NME2,na,253.00,314.10,397.78,250.09,250.09,442.20
SLC6A7,na,0.00,0.00,0.00,0.00,0.02,0.00
TSPAN9,na,41.97,35.09,27.06,54.40,49.41,33.85
BTBD7,na,18.06,14.88,20.79,16.41,15.32,12.78
APBA3,na,32.42,34.00,24.74,21.17,25.27,13.28
MKS1,na,5.04,5.38,9.13,4.75,6.99,9.77
ABHD5,na,50.15,32.47,15.42,19.47,13.28,31.01
ANOS1,na,0.00,0.01,0.02,0.00,0.00,0.40
