"","condition","cycle","region","log2fc.mean.norm","obs.mut.mean","sim.mut.mean","combined_pvalue","combined_pvalue_adjusted","go.id"
"105","control",1,"face development",-0.0418436273612863,0,0,1,1,"GO:0060324"
"106","control",1,"fat cell differentiation",0.698363256173241,0.555555555555556,0.111111111111111,0.545455304682376,1,"GO:0045444"
"107","control",1,"fatty acid beta-oxidation",0.170405019534663,0.111111111111111,0,0.996233830734277,1,"GO:0006635"
"108","control",1,"fibroblast migration",-0.153405263066413,0.111111111111111,0,0.98320385248954,1,"GO:0010761"
"109","control",1,"fibroblast proliferation",0.62172027343525,0.222222222222222,0,0.99086233087542,1,"GO:0048144"
"110","control",1,"folic acid metabolic process",0,0,0,1,1,"GO:0046655"
"111","control",1,"glial cell apoptotic process",-0.101335395630033,0,0,1,1,"GO:0034349"
"112","control",1,"glycerol ether biosynthetic process",-0.101335395630033,0,0,1,1,"GO:0046504"
"113","control",1,"glycosyl compound biosynthetic process",-0.147169903546678,0,0,1,1,"GO:1901659"
"114","control",1,"glycosyl compound metabolic process",0.334845435141017,0.222222222222222,0,0.973147499943525,1,"GO:1901657"
"115","control",1,"glycosylation",0.961554916326661,0.666666666666667,0.111111111111111,0.662371784728851,1,"GO:0070085"
"116","control",1,"heart valve development",-0.00218094862225734,0,0,1,1,"GO:0003170"
"117","control",1,"heme metabolic process",-0.0272347219818368,0.111111111111111,0,0.992745612222988,1,"GO:0042168"
"118","control",1,"heterochromatin formation",0.345538758805657,0.222222222222222,0,0.98726220742136,1,"GO:0031507"
"119","control",1,"heterocycle catabolic process",-0.243048696568969,0.666666666666667,1,0.994907094860077,1,"GO:0046700"
"120","control",1,"histone modification",0.149959585539311,1.11111111111111,1,0.975991499354372,1,"GO:0016570"
"121","control",1,"immune system development",-0.0189616878472167,0,0,1,1,"GO:0002520"
"122","control",1,"in utero embryonic development",-0.332809302131235,0.444444444444444,1,0.982656854754047,1,"GO:0001701"
"123","control",1,"inner cell mass cell proliferation",-0.0360587924355672,0.111111111111111,0,0.897510948951006,1,"GO:0001833"
"124","control",1,"inositol phosphate catabolic process",-0.01689746693875,0.222222222222222,0,0.368877251220626,1,"GO:0071545"
"125","control",1,"interferon-beta production",9.24734102949095e-18,0,0,1,1,"GO:0032608"
"126","control",1,"intermembrane lipid transfer",-0.624381240149858,0,0,1,1,"GO:0120009"
"127","control",1,"intracellular lipid transport",0.125720016490561,0.222222222222222,0,0.936711600255246,1,"GO:0032365"
"128","control",1,"intraciliary transport",0.129710897045919,0.222222222222222,0,0.945621450245214,1,"GO:0042073"
"129","control",1,"iron ion homeostasis",-0.129269097890397,0.111111111111111,0,0.99609944039643,1,"GO:0055072"
"130","control",1,"iron-sulfur cluster assembly",0.0604434132960944,0.111111111111111,0,0.95307014336184,1,"GO:0016226"
"131","control",1,"kinetochore organization",-0.147169903546678,0,0,1,1,"GO:0051383"
"132","control",1,"lamellipodium assembly",0.280232022147239,0.222222222222222,0,0.973598180104831,1,"GO:0030032"
"133","control",1,"lamellipodium morphogenesis",-0.331350244556271,0,0,1,1,"GO:0072673"
"134","control",1,"lamellipodium organization",0.350977265176484,0.111111111111111,0,0.999145261406199,1,"GO:0097581"
"135","control",1,"limb development",0.581556392889313,0.222222222222222,0,0.998543976959906,1,"GO:0060173"
"136","control",1,"lipoprotein catabolic process",0.0604434132960944,0.111111111111111,0,0.923162241422568,1,"GO:0042159"
"137","control",1,"lipoprotein metabolic process",0.250490416385543,0.333333333333333,0,0.964689662549249,1,"GO:0042157"
"138","control",1,"lysosomal lumen acidification",-0.0506676978150167,0,0,1,1,"GO:0007042"
"139","control",1,"lysosomal protein catabolic process",-0.197837601361695,0,0,1,1,"GO:1905146"
"140","control",1,"mRNA export from nucleus",-0.154466840280081,0,0,1,1,"GO:0006406"
"141","control",1,"macroautophagy",-0.832198201498212,0.222222222222222,1,0.944970969580524,1,"GO:0016236"
"142","control",1,"macromolecule deacylation",0.773835965978848,0.444444444444444,0,0.950867884763194,1,"GO:0098732"
"143","control",1,"macromolecule glycosylation",0.361727765035445,0.333333333333333,0,0.973159550351122,1,"GO:0043413"
"144","control",1,"magnesium ion transmembrane transport",0.171554524407206,0.222222222222222,0,0.734543415755117,1,"GO:1903830"
"145","control",1,"magnesium ion transport",-0.0506676978150167,0,0,1,1,"GO:0015693"
"146","control",1,"maintenance of cell number",1.142636863023,0.444444444444444,0,0.899767743487688,1,"GO:0098727"
"147","control",1,"maintenance of protein location",0.425205945159015,0.111111111111111,0,0.99912931021195,1,"GO:0045185"
"148","control",1,"maintenance of protein location in cell",-0.270009685451976,0,0,1,1,"GO:0032507"
"149","control",1,"mammary gland epithelial cell proliferation",-0.040891982333939,0.111111111111111,0,0.948316203351323,1,"GO:0033598"
"150","control",1,"membrane assembly",0.115944301009483,0.111111111111111,0,0.997397651500538,1,"GO:0071709"
"151","control",1,"membrane biogenesis",0.0593517026184741,0.111111111111111,0,0.994390321687008,1,"GO:0044091"
"152","control",1,"membrane docking",0.288356806637964,0,0,1,1,"GO:0022406"
"153","control",1,"membrane fission",-0.145098581426263,0.222222222222222,0,0.934533203087178,1,"GO:0090148"
"154","control",1,"mesenchymal cell differentiation",0.794062366960829,0.222222222222222,0.111111111111111,0.999992627245525,1,"GO:0048762"
"155","control",1,"metallo-sulfur cluster assembly",-0.634970077160093,0,0,1,1,"GO:0031163"
"156","control",1,"methylation",-0.739295138308378,0.444444444444444,1,0.964656810679541,1,"GO:0032259"
"157","control",1,"miRNA processing",-0.57379389964925,0,0,1,1,"GO:0035196"
"158","control",1,"microtubule cytoskeleton organization involved in mitosis",0.70019063278276,0.444444444444444,0,0.908229532847109,1,"GO:1902850"
"159","control",1,"microtubule depolymerization",-0.331350244556271,0,0,1,1,"GO:0007019"
"160","control",1,"microtubule organizing center localization",-0.511539705010505,0,0,1,1,"GO:0061842"
"161","control",1,"microtubule polymerization",0.423441178602511,0.111111111111111,0,0.994184148922138,1,"GO:0046785"
"162","control",1,"mitochondrial calcium ion homeostasis",-0.0779024197968535,0.111111111111111,0,0.950766086188112,1,"GO:0051560"
"163","control",1,"mitochondrial calcium ion transmembrane transport",-0.0867264902505839,0.111111111111111,0,0.96265803998832,1,"GO:0006851"
"164","control",1,"mitochondrial gene expression",0.438958289053692,0.333333333333333,0,0.990771464082366,1,"GO:0140053"
"165","control",1,"mitochondrial genome maintenance",-0.285515736639626,0,0,1,1,"GO:0000002"
"166","control",1,"mitochondrial membrane organization",0.106515460534419,0.111111111111111,0,0.999757275047747,1,"GO:0007006"
"167","control",1,"mitochondrial outer membrane permeabilization",-0.342157403787064,0,0,1,1,"GO:0097345"
"168","control",1,"mitochondrial respiratory chain complex assembly",0.458244437359047,0.222222222222222,0,0.991755984231941,1,"GO:0033108"
"169","control",1,"mitochondrial transmembrane transport",0.182109018889177,0.111111111111111,0,0.998860994157535,1,"GO:1990542"
"170","control",1,"mitochondrial transport",0.0679062014626775,0.222222222222222,0,0.989525106887079,1,"GO:0006839"
"171","control",1,"mitochondrion distribution",-0.138345833092948,0,0,1,1,"GO:0048311"
"172","control",1,"mitochondrion localization",-0.354813353853404,0,0,1,1,"GO:0051646"
"173","control",1,"mitochondrion morphogenesis",-0.278173634529627,0,0,1,1,"GO:0070584"
"174","control",1,"mitotic cytokinesis",0.807290001764175,0.333333333333333,0,0.806040970314664,1,"GO:0000281"
"175","control",1,"monosaccharide biosynthetic process",0.91184666868838,0.444444444444444,0,0.312197119565297,1,"GO:0046364"
"176","control",1,"monosaccharide metabolic process",0.816050161629912,0.666666666666667,0.111111111111111,0.717178865342836,1,"GO:0005996"
"177","control",1,"morphogenesis of an epithelial sheet",-0.0380418812126292,0.111111111111111,0,0.996398434340346,1,"GO:0002011"
"178","control",1,"movement in host",0.156945619027756,0.111111111111111,0,0.999887501675955,1,"GO:0044000"
"179","control",1,"multicellular organism growth",0.28035043876656,0.222222222222222,0,0.997177072291338,1,"GO:0035264"
"180","control",1,"myeloid cell homeostasis",0.208396676896836,0.222222222222222,0,0.9965698990746,1,"GO:0002262"
"181","control",1,"ncRNA processing",0.00223416809650177,0.888888888888889,1,0.953970298854772,1,"GO:0034470"
"182","control",1,"negative regulation of GTPase activity",-0.197837601361695,0,0,1,1,"GO:0034260"
"183","control",1,"negative regulation of catabolic process",0.368922221581194,0.777777777777778,0.666666666666667,0.610064440649627,1,"GO:0009895"
"184","control",1,"negative regulation of cell projection organization",0.698483942229824,0.444444444444444,0,0.714967918909654,1,"GO:0031345"
"185","control",1,"negative regulation of defense response to virus",-0.659522424401862,0,0,1,1,"GO:0050687"
"186","control",1,"negative regulation of growth",1.11267272597644,0.666666666666667,0,0.856738382797657,1,"GO:0045926"
"187","control",1,"negative regulation of mitotic nuclear division",-0.222672746816238,0,0,1,1,"GO:0045839"
"188","control",1,"negative regulation of phosphorus metabolic process",0.514512158511666,1.22222222222222,1,0.999065553173912,1,"GO:0010563"
"189","control",1,"negative regulation of protein phosphorylation",0.00221738355411098,0.555555555555556,0.666666666666667,0.98815058104681,1,"GO:0001933"
"190","control",1,"negative regulation of transferase activity",-0.239711362186934,0.222222222222222,0.444444444444444,0.968191903138928,1,"GO:0051348"
"191","control",1,"neural tube development",0.700626031949635,0.444444444444444,0,0.846735981787297,1,"GO:0021915"
"192","control",1,"neuron apoptotic process",0.303244606850355,0.111111111111111,0,0.999915773164405,1,"GO:0051402"
"193","control",1,"neuron death",-0.00757335883336079,0.777777777777778,0.777777777777778,0.874980281185578,1,"GO:0070997"
"194","control",1,"neuron projection organization",0.0439610456414245,0.111111111111111,0,0.996270281616188,1,"GO:0106027"
"195","control",1,"neurotrophin signaling pathway",-0.23484803882461,0,0,1,1,"GO:0038179"
"196","control",1,"non-membrane-bounded organelle assembly",0.135609340692104,1,0.888888888888889,0.999376465633038,1,"GO:0140694"
"197","control",1,"nonribosomal peptide biosynthetic process",-0.0506676978150167,0,0,1,1,"GO:0019184"
"198","control",1,"nuclear chromosome segregation",-0.597049828883121,0.555555555555556,0.888888888888889,0.999729823019098,1,"GO:0098813"
"199","control",1,"nuclear envelope organization",-0.389975000480771,0,0,1,1,"GO:0006998"
"200","control",1,"nuclear transport",-0.47838871508567,0.444444444444444,0.777777777777778,0.989190567969377,1,"GO:0051169"
"201","control",1,"nuclear-transcribed mRNA catabolic process",0.841792391291982,0.444444444444444,0,0.917729681680964,1,"GO:0000956"
"202","control",1,"nucleic acid transport",0.522303633781974,0.333333333333333,0,0.962793297616553,1,"GO:0050657"
"203","control",1,"nucleocytoplasmic transport",-0.858388173238671,0.111111111111111,0.777777777777778,0.907127708809801,1,"GO:0006913"
"204","control",1,"nucleotide catabolic process",0.36056805531517,0.222222222222222,0,0.976891246709612,1,"GO:0009166"
"205","control",1,"nucleus organization",0.0352648880075324,0,0,1,1,"GO:0006997"
"206","control",1,"oligosaccharide-lipid intermediate biosynthetic process",-0.289506617194985,0,0,1,1,"GO:0006490"
"207","control",1,"one-carbon metabolic process",-0.324008142446272,0,0,1,1,"GO:0006730"
"208","control",1,"organelle fission",-0.542288997170778,0.444444444444444,1,0.916041823552791,1,"GO:0048285"
"209","control",1,"organelle fusion",0.137111948444869,0.111111111111111,0,0.999019835843267,1,"GO:0048284"
"210","control",1,"organelle inheritance",-0.101335395630033,0,0,1,1,"GO:0048308"
"211","control",1,"organelle localization by membrane tethering",0.161586411105213,0.111111111111111,0,0.998197166015475,1,"GO:0140056"
"212","control",1,"organophosphate catabolic process",0.302469172637251,0.111111111111111,0,0.999276190451948,1,"GO:0046434"
"213","control",1,"organophosphate ester transport",0.741408082097254,0.333333333333333,0,0.876587183259056,1,"GO:0015748"
"214","control",1,"ossification",0.0140172323534879,0.888888888888889,1,0.989304721124339,1,"GO:0001503"
"215","control",1,"osteoblast differentiation",0.808308910210061,0.444444444444444,0,0.859889061371124,1,"GO:0001649"
"216","control",1,"oxidative phosphorylation",0.606185654283471,0.444444444444444,0,0.384799630400702,1,"GO:0006119"
"217","control",1,"pentose-phosphate shunt",-0.189013530907965,0,0,1,1,"GO:0006098"
"218","control",1,"peptidyl-lysine modification",-0.437361857573697,0.666666666666667,1,0.939444223764299,1,"GO:0018205"
"219","control",1,"pericardium development",-0.289506617194985,0,0,1,1,"GO:0060039"
"220","control",1,"peroxisome organization",-0.485817084836352,0,0,1,1,"GO:0007031"
"221","control",1,"phospholipid biosynthetic process",0.724191394588735,0.777777777777778,0.222222222222222,0.874145105811595,1,"GO:0008654"
"222","control",1,"pigment accumulation",0.111111111111111,0.111111111111111,0,0.934822052864622,1,"GO:0043476"
"223","control",1,"pigmentation",1.20526122494135,0.555555555555556,0,0.363696100928092,1,"GO:0043473"
"224","control",1,"pinocytosis",-0.0506676978150167,0,0,1,1,"GO:0006907"
"225","control",1,"placenta development",0.487711090860512,0.222222222222222,0,0.994931891588341,1,"GO:0001890"
"226","control",1,"plasma membrane tubulation",-0.116394825603499,0.111111111111111,0,0.942759172816755,1,"GO:0097320"
"227","control",1,"platelet-derived growth factor receptor signaling pathway",0.123736927713499,0.222222222222222,0,0.964996166778454,1,"GO:0048008"
"228","control",1,"polyamine biosynthetic process",-0.23484803882461,0,0,1,1,"GO:0006596"
"229","control",1,"polyamine metabolic process",-0.147169903546678,0,0,1,1,"GO:0006595"
"230","control",1,"polyol metabolic process",0.224205310999284,0.222222222222222,0,0.98755378322624,1,"GO:0019751"
