"region","control","enu","group_diff","group","p_value","significant_p_adjusted","significant_p_adjusted_both_groups","GO.ID","p_value.adjust"
"fibroblast proliferation",0,0.222222222222222,0.222222222222222,"downsampled",0.16902020301917,NA,NA,"GO:0048144",0.668597242556415
"glycogen metabolic process",0.111111111111111,0.287218055635684,0.176106944524573,"downsampled",0.449025703095065,NA,NA,"GO:0005977",0.751908759411973
"glycosaminoglycan biosynthetic process",0,0.398329166746796,0.398329166746796,"downsampled",0.0904695547337827,NA,NA,"GO:0006024",0.668597242556415
"glycosyl compound biosynthetic process",0.111111111111111,0,-0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:1901659",0.668597242556415
"glycosylation",0.222222222222222,0.398329166746796,0.176106944524573,"downsampled",0.572291632421487,NA,NA,"GO:0070085",0.797739851254194
"hematopoietic progenitor cell differentiation",0.509440277857907,0.176106944524573,-0.333333333333333,"downsampled",0.316600100050528,NA,NA,"GO:0002244",0.668597242556415
"hepatocyte apoptotic process",0.111111111111111,0,-0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0097284",0.668597242556415
"heterochromatin formation",0.111111111111111,0,-0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0031507",0.668597242556415
"heterocycle catabolic process",-0.555555555555556,-0.555555555555556,0,"downsampled",1,NA,NA,"GO:0046700",1
"histone modification",-0.490559722142094,-0.15722638880876,0.333333333333333,"downsampled",0.310856272149795,NA,NA,"GO:0016570",0.668597242556415
"in utero embryonic development",-0.888888888888889,0.146880899431929,1.03576978832082,"downsampled",0.00567849677738828,"**","**","GO:0001701",0.609491987439675
"inositol phosphate catabolic process",0,0,0,"downsampled",NA,NA,NA,"GO:0071545",NA
"intracellular lipid transport",0.222222222222222,0.398329166746796,0.176106944524573,"downsampled",0.570084535978206,NA,NA,"GO:0032365",0.797739851254194
"intraciliary transport",0,0,0,"downsampled",NA,NA,NA,"GO:0042073",NA
"iron-sulfur cluster assembly",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0016226",0.668597242556415
"kidney development",-0.268337499919872,-0.268337499919872,0,"downsampled",1,NA,NA,"GO:0001822",1
"kinetochore organization",0.111111111111111,0.111111111111111,0,"downsampled",1,NA,NA,"GO:0051383",1
"lamellipodium assembly",0.111111111111111,0.111111111111111,0,"downsampled",1,NA,NA,"GO:0030032",1
"lamellipodium morphogenesis",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0072673",0.668597242556415
"lamellipodium organization",0.111111111111111,0.222222222222222,0.111111111111111,"downsampled",0.555566605249039,NA,NA,"GO:0097581",0.797739851254194
"limb development",0.480214232765262,0.333333333333333,-0.146880899431929,"downsampled",0.688545486077038,NA,NA,"GO:0060173",0.856029523230912
"lung morphogenesis",0.333333333333333,0.287218055635684,-0.0461152776976488,"downsampled",0.882395667026382,NA,NA,"GO:0060425",0.965158962432821
"lysosomal lumen acidification",0.111111111111111,0,-0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0007042",0.668597242556415
"lysosomal protein catabolic process",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:1905146",0.668597242556415
"mRNA export from nucleus",0,0.287218055635684,0.287218055635684,"downsampled",0.181238737519234,NA,NA,"GO:0006406",0.668597242556415
"macroautophagy",0.111111111111111,0.666666666666667,0.555555555555556,"downsampled",0.0918837181015571,NA,NA,"GO:0016236",0.668597242556415
"macromolecule deacylation",0.333333333333333,0,-0.333333333333333,"downsampled",0.0805162379572626,NA,NA,"GO:0098732",0.668597242556415
"macromolecule glycosylation",0.222222222222222,0.398329166746796,0.176106944524573,"downsampled",0.572291632421487,NA,NA,"GO:0043413",0.797739851254194
"maintenance of cell number",0.398329166746796,0.574436111271369,0.176106944524573,"downsampled",0.58384896931354,NA,NA,"GO:0098727",0.806864240853904
"maintenance of protein location",0.111111111111111,0.111111111111111,0,"downsampled",1,NA,NA,"GO:0045185",1
"maintenance of protein location in cell",0,0,0,"downsampled",NA,NA,NA,"GO:0032507",NA
"mammary gland epithelial cell proliferation",0,0.287218055635684,0.287218055635684,"downsampled",0.181238737519234,NA,NA,"GO:0033598",0.668597242556415
"melanosome localization",0.111111111111111,0.111111111111111,0,"downsampled",1,NA,NA,"GO:0032400",1
"membrane assembly",0.287218055635684,0,-0.287218055635684,"downsampled",0.181238737519234,NA,NA,"GO:0071709",0.668597242556415
"membrane biogenesis",0.287218055635684,0,-0.287218055635684,"downsampled",0.181238737519234,NA,NA,"GO:0044091",0.668597242556415
"membrane docking",0.287218055635684,0.111111111111111,-0.176106944524573,"downsampled",0.449025703095065,NA,NA,"GO:0022406",0.751908759411973
"membrane fission",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0090148",0.668597242556415
"membrane protein proteolysis",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0033619",0.668597242556415
"mesenchymal cell differentiation",0.222222222222222,0.593316666987182,0.37109444476496,"downsampled",0.341704424927218,NA,NA,"GO:0048762",0.668597242556415
