"region","condition.x","average_log2fc","group","condition.y","pvalue","pvalue_symbol","GO.ID","pvalue.adjust","average_log2fc_shuffle_norm"
"branched-chain amino acid catabolic process","enu",0.26416041678686,"observed","enu",0.982886114558432,NA,"GO:0009083",0.999999999996455,0.25
"carbohydrate derivative catabolic process","enu",-0.125024197539707,"observed","enu",0.30039478832349,NA,"GO:1901136",0.591336471560081,0.243811941491607
"cardiac chamber development","enu",-0.276867091476301,"observed","enu",0.415006699200739,NA,"GO:0003205",0.716549930223801,0.137642295558802
"cell communication by electrical coupling involved in cardiac conduction","enu",-0.0960002577870873,"observed","enu",0.905883692393197,NA,"GO:0086064",0.999999999996455,-0.228080466180517
"cell cycle G1/S phase transition","enu",-0.444829146414367,"observed","enu",0.132949168808346,NA,"GO:0044843",0.362761303462773,-0.0320001947752596
"cell cycle G2/M phase transition","enu",-0.239126978595336,"observed","enu",0.729894699154301,NA,"GO:0044839",0.988722606655826,0.121648656842411
"cell cycle checkpoint signaling","enu",-0.448918593592437,"observed","enu",0.304626172741562,NA,"GO:0000075",0.591336471560081,-0.248965471750081
"cell growth","enu",-0.310892030760433,"observed","enu",0.0699801979633525,NA,"GO:0016049",0.259538209922336,0.0401378461519644
"cell redox homeostasis","enu",-0.257759117032623,"observed","enu",0.897418170499043,NA,"GO:0045454",0.999999999996455,0.0755742163007102
"cell-cell signaling by wnt","enu",-0.347698796925112,"observed","enu",0,"****","GO:0198738",0,0.109823680922147
"cell-substrate adhesion","enu",-0.111326375314067,"observed","enu",0.801176359688448,NA,"GO:0031589",0.999999999996455,0.763709562334702
"cell-substrate junction assembly","enu",-0.175576266993043,"observed","enu",0.534409146576227,NA,"GO:0007044",0.819856602377987,-0.0296483197178461
"cell-substrate junction organization","enu",-0.19529992927995,"observed","enu",0.219713535170806,NA,"GO:0150115",0.514905784270298,-0.133886129766099
"cellular carbohydrate metabolic process","enu",-0.281665067291797,"observed","enu",0.149079339641733,NA,"GO:0044262",0.392746949952703,-0.0267689999797271
"cellular component disassembly","enu",-0.433592758000268,"observed","enu",0.0170005160623338,"*","GO:0022411",0.10308249421923,-0.015259556755252
"cellular metabolic compound salvage","enu",0.110160674573947,"observed","enu",0.990929972624246,NA,"GO:0043094",0.999999999996455,0.228080466180517
"cellular modified amino acid biosynthetic process","enu",0.0487468750600963,"observed","enu",0.780742407250123,NA,"GO:0042398",0.999999999996455,-0.0472533827269912
"cellular nitrogen compound catabolic process","enu",-0.333421184697667,"observed","enu",0,"****","GO:0044270",0,0.00592023598135777
"cellular pigmentation","enu",-0.075946580629365,"observed","enu",0.940084415081764,NA,"GO:0033059",0.999999999996455,0.35925278781534
"cellular respiration","enu",-0.296882890641059,"observed","enu",0.346425452424877,NA,"GO:0045333",0.630164394410968,0.127513537768929
"cellular response to UV","enu",-0.542881097735814,"observed","enu",0.015101491399068,"*","GO:0034644",0.103013744900785,-0.238005850590887
"cellular response to acid chemical","enu",-0.556476636803418,"observed","enu",0.0176842238252657,"*","GO:0071229",0.105552710957054,-0.193837016946634
"cellular response to amino acid starvation","enu",-0.360160674573947,"observed","enu",0.124796114215025,NA,"GO:0034198",0.346282772268884,-0.0910924503659574
"cellular response to arsenic-containing substance","enu",0.069172916546474,"observed","enu",0.961202110460933,NA,"GO:0071243",0.999999999996455,-0.0629072918469556
"cellular response to chemical stress","enu",-0.520379810150779,"observed","enu",0,"****","GO:0062197",0,-0.0182506160607425
"cellular response to dsRNA","enu",0.13208020839343,"observed","enu",0.971361069870935,NA,"GO:0071359",0.999999999996455,0.347493750120193
"cellular response to environmental stimulus","enu",-0.366073527390828,"observed","enu",0.239424793537656,NA,"GO:0104004",0.519345412308096,-0.164959914776452
"cellular response to epidermal growth factor stimulus","enu",-0.432720423161866,"observed","enu",0.400570326677905,NA,"GO:0071364",0.708416040698888,-0.0993870898285327
"cellular response to external stimulus","enu",-0.314349873053666,"observed","enu",0.279671076005323,NA,"GO:0071496",0.559342152010646,0.125950792047727
"cellular response to extracellular stimulus","enu",-0.431569939868114,"observed","enu",0.0163799901188559,"*","GO:0031668",0.10308249421923,-0.338914891644062
"cellular response to heat","enu",-0.0657860845050294,"observed","enu",0.00461649248077101,"**","GO:0034605",0.0518676508133685,0.343121465129014
"cellular response to insulin stimulus","enu",-0.387581970608599,"observed","enu",0.307390004131689,NA,"GO:0032869",0.591336471560081,-0.0480162196739961
"cellular response to ketone","enu",-0.513887489117455,"observed","enu",0.0250106396472951,"*","GO:1901655",0.134564286553052,-0.489003570729726
"cellular response to leukemia inhibitory factor","enu",-0.222750211286186,"observed","enu",0.185494036489615,NA,"GO:1990830",0.46088661483615,0.407163729729498
"cellular response to oxygen levels","enu",-0.591366785235565,"observed","enu",0.0600650323647881,NA,"GO:0071453",0.23869102559582,-0.280638027955462
"cellular response to topologically incorrect protein","enu",-0.532693118564897,"observed","enu",0.175564649515981,NA,"GO:0035967",0.447104640767366,-0.357174665752694
"cellular senescence","enu",-0.710545484541319,"observed","enu",0.0116817940574285,"*","GO:0090398",0.0932947486496485,-0.418064234180742
"centrosome localization","enu",-0.166666666666666,"observed","enu",0.237490469538776,NA,"GO:0051642",0.519345412308096,0.0691729165464742
"ceramide biosynthetic process","enu",-0.575038693870757,"observed","enu",0.221059027801908,NA,"GO:0046513",0.514905784270298,0.00829463946257591
"cerebellum development","enu",-0.00586577732428317,"observed","enu",0.998471571684102,NA,"GO:0021549",0.999999999996455,0.68816375301295
"cerebral cortex development","enu",-0.237110231021386,"observed","enu",0.228466811436021,NA,"GO:0021987",0.517927569314465,0.375541656024507
"chaperone-mediated autophagy","enu",-0.11791979160657,"observed","enu",0.99999996028254,NA,"GO:0061684",0.999999999996455,-0.0487468750600963
"chondrocyte differentiation","enu",-0.286896521403108,"observed","enu",0.199437981501681,NA,"GO:0002062",0.488367364959246,-0.174706832066103
"chromatin remodeling","enu",-0.484649737151818,"observed","enu",0.00635559318264126,"**","GO:0006338",0.0622522204043323,-0.297668204515522
"chromosome localization","enu",-0.500535522429953,"observed","enu",0.00773991544078292,"**","GO:0050000",0.0693036122828648,-0.244134222675717
"chromosome segregation","enu",-0.319110584364463,"observed","enu",0.0381861284998798,"*","GO:0007059",0.172769020542457,-0.0392105543748191
"cilium assembly","enu",-0.374263012003336,"observed","enu",0.109116979744924,NA,"GO:0060271",0.325645986426258,0.156284603455571
"cilium organization","enu",-0.42119720218034,"observed","enu",0,"****","GO:0044782",0,0.128377911405913
"circadian regulation of gene expression","enu",-0.760773584745413,"observed","enu",0.426763260526705,NA,"GO:0032922",0.721343210270802,-0.337705618324511
"clathrin-dependent endocytosis","enu",-0.171574474087797,"observed","enu",0.813831208436464,NA,"GO:0072583",0.999999999996455,0.0784255259122032
"connective tissue development","enu",-0.427589771215875,"observed","enu",0.0371312182546333,"*","GO:0061448",0.172769020542457,0.077438200719748
"cortical cytoskeleton organization","enu",-0.449359785231564,"observed","enu",0.022993571555808,"*","GO:0030865",0.125479204775981,-0.287600925986028
"cytoplasmic translation","enu",-0.649627457221735,"observed","enu",0.0468983940249837,"*","GO:0002181",0.2012942305342,-0.171051218846952
"cytoskeleton-dependent cytokinesis","enu",-0.635779718339968,"observed","enu",0.0154870389117905,"*","GO:0061640",0.10308249421923,-0.687940908488089
"dephosphorylation","enu",-0.332201508789356,"observed","enu",0.254230589066376,NA,"GO:0016311",0.530688989198666,0.118725093496379
"developmental cell growth","enu",-0.334876290627737,"observed","enu",0.24319386895508,NA,"GO:0048588",0.521237488932407,0.347471768205475
"developmental growth involved in morphogenesis","enu",-0.250788360770756,"observed","enu",0.124983862846251,NA,"GO:0060560",0.346282772268884,0.0983946286988429
"dicarboxylic acid metabolic process","enu",-0.184663846014751,"observed","enu",0.893881347663761,NA,"GO:0043648",0.999999999996455,-0.126264514213691
"diol biosynthetic process","enu",-0.0833333333333333,"observed","enu",0.997413937994099,NA,"GO:0034312",0.999999999996455,-0.470321349147893
"double-strand break repair","enu",-0.222736271395541,"observed","enu",0.0819429466681192,NA,"GO:0006302",0.282001852497491,0.204597427853831
"endoplasmic reticulum calcium ion homeostasis","enu",-0.266053756495199,"observed","enu",0.967847738569724,NA,"GO:0032469",0.999999999996455,-0.112054014282287
"epigenetic regulation of gene expression","enu",-0.435199368444704,"observed","enu",0.142926450346098,NA,"GO:0040029",0.381803524700766,0.145927947275196
"establishment of epithelial cell apical/basal polarity","enu",0.244134222675717,"observed","enu",0.854880722373677,NA,"GO:0045198",0.999999999996455,0.160800889342383
"establishment of mitotic spindle localization","enu",0.0326931185648967,"observed","enu",0.513387037617781,NA,"GO:0040001",0.800464687224459,0.331439993624994
"establishment of organelle localization","enu",-0.194080340461208,"observed","enu",0.213458401041156,NA,"GO:0051656",0.512837164765546,0.302581863761767
"establishment of protein localization to organelle","enu",-0.344791960312495,"observed","enu",0.0628982110810031,NA,"GO:0072594",0.244778403202901,0.0908906476360322
"establishment of tissue polarity","enu",-0.552075892920702,"observed","enu",0.0147708117341654,"*","GO:0007164",0.102590001499113,-0.576424288878478
"establishment or maintenance of cell polarity","enu",-0.255646533812253,"observed","enu",0.093737979132322,NA,"GO:0007163",0.293507442856943,0.265365113248621
"establishment or maintenance of epithelial cell apical/basal polarity","enu",-0.117919791606571,"observed","enu",0.329340925246085,NA,"GO:0045197",0.610719579825264,-0.0833333333333338
"execution phase of apoptosis","enu",-0.0935713956487945,"observed","enu",0.499847156713578,NA,"GO:0097194",0.798918886462706,-0.593571395648794
"exit from host cell","enu",-0.0141604167868593,"observed","enu",0.997708022344504,NA,"GO:0035891",0.999999999996455,0.257759117032624
"face development","enu",-0.335812278616171,"observed","enu",0.0887740157098564,NA,"GO:0060324",0.292342017251424,0.0370153204115298
"fat cell differentiation","enu",-0.548365736125613,"observed","enu",0.0314279427291783,"*","GO:0045444",0.158890442872511,-0.419945287443034
"fatty acid beta-oxidation","enu",-0.351866035111371,"observed","enu",0.464920801369094,NA,"GO:0006635",0.761488684012102,-0.0633071392221903
"fibroblast apoptotic process","enu",-0.235839583213141,"observed","enu",0.934284362428383,NA,"GO:0044346",0.999999999996455,-0.284586458273237
"fibroblast migration","enu",-0.240297460114492,"observed","enu",0.016556209078004,"*","GO:0010761",0.10308249421923,0.11834223907977
"fibroblast proliferation","enu",-0.397569087169374,"observed","enu",0.267940415303678,NA,"GO:0048144",0.544432120457473,0.00171536101300801
"glycogen metabolic process","enu",-0.317279576838134,"observed","enu",0.238210200969333,NA,"GO:0005977",0.519345412308096,-0.153999742212912
"glycosaminoglycan biosynthetic process","enu",-0.102401557541323,"observed","enu",0.985763325495323,NA,"GO:0006024",0.999999999996455,0.044734687208466
"glycosyl compound biosynthetic process","enu",-0.201253124939904,"observed","enu",0.999997433171889,NA,"GO:1901659",0.999999999996455,-0.728080466180517
"glycosylation","enu",-0.393388339723838,"observed","enu",0.00843442124635652,"**","GO:0070085",0.0732261117297316,0.0223203570396764
"hematopoietic progenitor cell differentiation","enu",-0.712299637354723,"observed","enu",0.00350282422537182,"**","GO:0002244",0.0405478440633951,-0.303079409815587
"hepatocyte apoptotic process","enu",-0.333333333333333,"observed","enu",0.998250240060087,NA,"GO:0097284",0.999999999996455,-0.76416041678686
"heterochromatin formation","enu",-0.55952045980551,"observed","enu",0.0753026845356392,NA,"GO:0031507",0.268837621426301,-0.400612910171467
"heterocycle catabolic process","enu",-0.336699592333681,"observed","enu",0,"****","GO:0046700",0,0.219827485275993
"histone modification","enu",-0.526209132074359,"observed","enu",0.0015741305275554,"**","GO:0016570",0.0250549108969235,-0.190997380457218
"in utero embryonic development","enu",-0.426940920161524,"observed","enu",0.0666970700748118,NA,"GO:0001701",0.249787066358609,-0.141498598740031
"inositol phosphate catabolic process","enu",0.0833333333333333,"observed","enu",0.999694597122834,NA,"GO:0071545",0.999999999996455,0.0219195338194828
"intracellular lipid transport","enu",-0.372827599027701,"observed","enu",0.113216775125557,NA,"GO:0032365",0.335262078278782,-0.213920049393658
"intraciliary transport","enu",-0.11301198418544,"observed","enu",0.327203960384861,NA,"GO:0042073",0.610471404229426,0.442136190628893
"iron-sulfur cluster assembly","enu",0.132080208393429,"observed","enu",0.592191490389182,NA,"GO:0016226",0.87672057846441,0.23583958321314
"kidney development","enu",-0.254380173291292,"observed","enu",0.127480093984173,NA,"GO:0001822",0.350340977711899,0.0041929250954002
"kinetochore organization","enu",0.26416041678686,"observed","enu",0.529294593919392,NA,"GO:0051383",0.815284414827451,0.237333075546246
"lamellipodium assembly","enu",-0.539494265694368,"observed","enu",0.182128685550672,NA,"GO:0030032",0.460749389936137,0.147198595083441
"lamellipodium morphogenesis","enu",0.0629072918469563,"observed","enu",0.724908045392675,NA,"GO:0072673",0.985462182704633,0.0629072918469563
"lamellipodium organization","enu",-0.312684447322095,"observed","enu",0.78330446117122,NA,"GO:0097581",0.999999999996455,0.746836012483415
"limb development","enu",-0.193603481851203,"observed","enu",0.511550178592406,NA,"GO:0060173",0.800464687224459,-0.0992236361030504
"lung morphogenesis","enu",-0.372827599027702,"observed","enu",0.380704658427162,NA,"GO:0060425",0.679575605229794,-0.0818398410002285
"lysosomal lumen acidification","enu",0.38208020839343,"observed","enu",0.981369750545196,NA,"GO:0007042",0.999999999996455,0.284586458273237
"lysosomal protein catabolic process","enu",0.0141604167868592,"observed","enu",0,"****","GO:1905146",0,-0.187092708153045
"mRNA export from nucleus","enu",-0.540987758027473,"observed","enu",0.120473776412823,NA,"GO:0006406",0.344535897567424,-0.447416362378679
"macroautophagy","enu",0.176996762143945,"observed","enu",0.863000311793439,NA,"GO:0016236",0.999999999996455,0.634459254242105
"macromolecule deacylation","enu",-0.803939877339741,"observed","enu",0.000516242255854806,"***","GO:0098732",0.00986022708682679,-0.0280479059043144
"macromolecule glycosylation","enu",-0.331319829110501,"observed","enu",0.0927690971156254,NA,"GO:0043413",0.293507442856943,-0.0301323518030514
"maintenance of cell number","enu",-0.41894223857,"observed","enu",0.223150343680567,NA,"GO:0098727",0.516626856278646,-0.373571974089085
"maintenance of protein location","enu",-0.716907034059869,"observed","enu",0.000765502571244582,"***","GO:0045185",0.0132919082825196,-0.309492976758931
"maintenance of protein location in cell","enu",-0.677440251412081,"observed","enu",0.0493377489254553,"*","GO:0032507",0.202656129994881,-0.480559411463355
"mammary gland epithelial cell proliferation","enu",-0.149091934791782,"observed","enu",0.981311994035004,NA,"GO:0033598",0.999999999996455,0.122827599027701
"melanosome localization","enu",-0.416666666666667,"observed","enu",0.91001817208728,NA,"GO:0032400",0.999999999996455,-0.347493750120193
"membrane assembly","enu",-0.54346670331031,"observed","enu",0.240639104655845,NA,"GO:0071709",0.519345412308096,-0.323680876592369
"membrane biogenesis","enu",-0.524934001532273,"observed","enu",0.30856783729768,NA,"GO:0044091",0.591336471560081,-0.323680876592369
"membrane docking","enu",0.176904728982128,"observed","enu",0.120858142078625,NA,"GO:0022406",0.344535897567424,0.224158111709119
"membrane fission","enu",0.146240625180289,"observed","enu",0.359368755469723,NA,"GO:0090148",0.650610732651347,0.307999484425825
"membrane protein proteolysis","enu",-0.069172916546474,"observed","enu",0.999587835898067,NA,"GO:0033619",0.999999999996455,0.106746359485921
"mesenchymal cell differentiation","enu",-0.157337498954171,"observed","enu",0.147606168660919,NA,"GO:0048762",0.391566364086605,0.367020339483655
"metallo-sulfur cluster assembly","enu",0.132080208393429,"observed","enu",0.592191490389182,NA,"GO:0031163",0.87672057846441,0.286079950606342
"methylation","enu",-0.748225459300082,"observed","enu",0.00115383725242643,"**","GO:0032259",0.0191637317576911,-0.575280547738173
"miRNA processing","enu",-0.302133707101542,"observed","enu",0.520405395537686,NA,"GO:0035196",0.804837494313344,-0.0944792824074031
"microtubule cytoskeleton organization involved in mitosis","enu",-0.222772811384152,"observed","enu",0.0204528113687,"*","GO:1902850",0.118378393073385,0.00705147470091144
"microtubule depolymerization","enu",-0.259252609365729,"observed","enu",0.994335662024892,NA,"GO:0007019",0.999999999996455,-0.084291303236486
"microtubule organizing center localization","enu",-0.166666666666666,"observed","enu",0.237490469538776,NA,"GO:0061842",0.519345412308096,-0.284586458273236
"microtubule polymerization","enu",-0.307041514522673,"observed","enu",0.327608999651917,NA,"GO:0046785",0.610471404229426,0.194987500240385
"microvillus assembly","enu",0.146240625180289,"observed","enu",0.99832441184544,NA,"GO:0030033",0.999999999996455,0.180827083453526
"mitochondrial gene expression","enu",-0.383350856201675,"observed","enu",0.0380299128026897,"*","GO:0140053",0.172769020542457,0.0598304738005134
"mitochondrial genome maintenance","enu",-0.0487468750600963,"observed","enu",0.999593280990369,NA,"GO:0000002",0.999999999996455,0.25
"mitochondrial membrane organization","enu",-0.366561974328182,"observed","enu",0.0102292513406764,"*","GO:0007006",0.0849472611334429,-0.0413297912218674
"mitochondrial respiratory chain complex assembly","enu",-0.166666666666667,"observed","enu",0.991843525334184,NA,"GO:0033108",0.999999999996455,-0.201253124939904
