"gene_name","n_syn","n_mis","n_non","n_spl","wmis_cv","wnon_cv","wspl_cv","pmis_cv","ptrunc_cv","pallsubs_cv","qmis_cv","qtrunc_cv","qallsubs_cv","list_name"
"CLP1",1,0,0,0,0,0,0,0.903638984715366,0.973631904831801,0.992156269991643,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"CDC73",0,0,1,0,0,840.440235118132,840.440235118132,0.899837583581946,0.00098073850652014,0.0043152324561655,0.995924888744262,0.839075999936991,0.999999483708411,"enu_9"
"CREB3L2",0,0,1,0,0,788.63724529181,788.63724529181,0.876062199000686,0.00105036285185778,0.00456418398331881,0.995924888744262,0.839075999936991,0.999999483708411,"enu_9"
"CSF1R",0,2,0,0,59.7486178557423,0,0,0.00124236771316144,0.933396538887056,0.00539862189586926,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"ABL1",0,0,1,0,0,501.179731872037,501.179731872037,0.822335878191087,0.00171458183631834,0.00701173870274086,0.995924888744262,0.881267739848966,0.999999483708411,"enu_9"
"ECT2L",0,0,1,0,0,300.991753155388,300.991753155388,0.820678017779787,0.00298383441651495,0.0116390015094407,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"CEBPA",0,1,0,0,290.778164209386,0,0,0.00309824721443375,0.986150256307517,0.0125930933533153,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"SPEN",0,2,0,0,34.5906593709095,0,0,0.00384142678642174,0.931549267018493,0.0151848758989303,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"MAP2K1",0,1,0,0,145.209716065646,0,0,0.00662503753503496,0.968738894333622,0.0250397531656735,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"SUFU",0,1,0,0,114.951569893414,0,0,0.00856733295363798,0.964992610063459,0.0315208871299846,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"MYCL",0,1,0,0,93.4678291234502,0,0,0.0107631353659466,0.966545629114058,0.0386376153895081,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"CALR",0,1,0,0,80.0947397505074,0,0,0.0127650740541878,0.95977243328452,0.0449192058134291,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"TP63",0,1,0,0,67.0881020600336,0,0,0.0155298800672949,0.954201639520696,0.0533695145856797,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"LZTR1",0,1,0,0,64.3417434222382,0,0,0.0162655522671533,0.953818311458176,0.0555838787658595,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"CACNA1D",0,2,0,0,16.3731518911355,0,0,0.0172977326977896,0.867729280296357,0.0570042443258739,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"MSH2",0,1,0,0,62.5412928459527,0,0,0.0167849830322718,0.952316392260081,0.057129034042433,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"CD74",0,1,0,0,61.2162943192864,0,0,0.0171879074125187,0.949931244144238,0.058312322922194,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"FBXO11",0,1,0,0,58.9002295988944,0,0,0.0179383245462786,0.946905972865343,0.0605126475204535,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"ETV1",0,1,0,0,57.4360168020924,0,0,0.0184458020417665,0.946454500947862,0.0620050477157696,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"EPAS1",0,1,0,0,52.8901212748365,0,0,0.0202112973799088,0.952451747403738,0.0672165732915402,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"XPC",0,1,0,0,48.8068987019093,0,0,0.0220948135162148,0.949013638780365,0.0726089954616904,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"PALB2",0,1,0,0,46.1218045009164,0,0,0.0235261492928551,0.949969995543894,0.0766890322726875,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"SYK",0,1,0,0,44.0402037823354,0,0,0.0247629949935162,0.941499297073454,0.0800732124446566,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"STIL",0,1,0,0,43.7976333128407,0,0,0.024915210911886,0.946973451705033,0.0805658409700467,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"FANCD2",0,1,0,0,39.8483970826429,0,0,0.0276696238386182,0.933884607434349,0.088022453736871,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"AFF3",0,1,0,0,36.9678892458857,0,0,0.0300721027043275,0.939475931415734,0.0946551724237676,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"CTNNA1",0,1,0,0,36.6144999350075,0,0,0.030394348300569,0.940016994196591,0.0955345632165607,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"BRIP1",0,1,0,0,36.1364646853952,0,0,0.0308408358570043,0.937179756552209,0.0966932371479654,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"ATP1A1",0,1,0,0,32.0584307099141,0,0,0.0352228297893871,0.93626773642533,0.108324554853772,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"KDM5C",0,1,0,0,31.7197758823005,0,0,0.0356402237706436,0.93696463878716,0.109432058040726,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
