"","condition","cycle","region","log2fc.mean","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met"
"1066","enu","3","regulation of DNA repair",-0.110520599165146,42.4444444444444,14.1481481481481,1.87357627702841,0.132425548376353,14.9583333333333,0.55861231355228,0.999999617096231,NA,"GO:0006282",163,"FALSE"
"1067","enu","3","regulation of DNA replication",-0.0978054232459299,24.9027777777778,8.30092592592593,1.76734860469998,0.212909815178581,8.53240740740741,0.931333319734917,0.999999617096231,NA,"GO:0006275",193,"FALSE"
"1068","enu","3","regulation of G0 to G1 transition",-0.174189021272856,6.27777777777778,2.09259259259259,0.352825164504771,0.168606715781041,2.02777777777778,0.461968007905048,0.999999617096231,NA,"GO:0070316",105,"FALSE"
"1069","enu","3","regulation of GTPase activity",-0.10807256881108,54.3194444444444,18.1064814814815,3.03199035865542,0.167453315640391,19.087962962963,0.21503948055484,0.999999617096231,NA,"GO:0043087",180,"FALSE"
"1070","enu","3","regulation of Golgi organization",-0.280182003453469,2.84722222222222,0.949074074074074,0.525641387556913,0.553846535181919,1.10648148148148,0.997297101424728,0.999999617096231,NA,"GO:1903358",57,"FALSE"
"1071","enu","3","regulation of actin filament organization",-0.238008677331108,39.3194444444444,13.1064814814815,1.9325196510375,0.147447631446167,15.1388888888889,0.147956583517851,0.999999617096231,NA,"GO:0110053",74,"FALSE"
"1072","enu","3","regulation of actin filament-based process",-0.132421203443804,54.4027777777778,18.1342592592593,2.64050876208237,0.145608856933825,19.4722222222222,0.241565714116004,0.999999617096231,NA,"GO:0032970",137,"FALSE"
"1073","enu","3","regulation of anatomical structure size",-0.189399555999616,64.4444444444444,21.4814814814815,3.08787619956959,0.143745961014446,24.2731481481481,0.554368796366665,0.999999617096231,NA,"GO:0090066",99,"FALSE"
"1074","enu","3","regulation of apoptotic signaling pathway",-0.163722376849839,61.6805555555556,20.5601851851852,3.61603119239341,0.175875419400355,22.662037037037,0.118585409492202,0.94631156774777,NA,"GO:2001233",112,"FALSE"
"1075","enu","3","regulation of autophagosome maturation",0.207741609046698,3.125,1.04166666666667,0.233647275573066,0.224301384550143,0.648148148148148,0.999237396181258,0.999999617096231,NA,"GO:1901096",85,"FALSE"
"1076","enu","3","regulation of autophagy",-0.17351288698824,54.8472222222222,18.2824074074074,2.74706399574306,0.150257235523044,20.2314814814815,0.205153158305931,0.999999617096231,NA,"GO:0010506",105,"FALSE"
"1077","enu","3","regulation of binding",-0.10674390156115,62.3055555555556,20.7685185185185,4.38891819024443,0.211325530337226,21.7037037037037,0.15769061160187,0.999999617096231,NA,"GO:0051098",180,"FALSE"
"1078","enu","3","regulation of carbohydrate metabolic process",-0.108612018535345,26.0138888888889,8.6712962962963,1.54861630127016,0.178591095074402,9.12962962962963,0.891201547593068,0.999999617096231,NA,"GO:0006109",180,"FALSE"
"1079","enu","3","regulation of cell cycle phase transition",-0.209718306663977,71.4444444444444,23.8148148148148,4.22270952353635,0.17731439678924,26.662037037037,0.0297762442754456,0.562079860380237,NA,"GO:1901987",85,"FALSE"
"1080","enu","3","regulation of cell division",-0.208926822551658,25.0833333333333,8.36111111111111,2.27218147206056,0.271755923568705,9.20833333333333,0.620468911964496,0.999999617096231,NA,"GO:0051302",85,"FALSE"
"1081","enu","3","regulation of cell growth",-0.195381346653814,58.9166666666667,19.6388888888889,1.24814677437005,0.063554856969338,22.099537037037,0.113809817180977,0.936396793429028,NA,"GO:0001558",93,"FALSE"
"1082","enu","3","regulation of cell morphogenesis",-0.0699339800462235,38.5277777777778,12.8425925925926,1.50214181792275,0.116965621006242,13.1851851851852,0.846885021452037,0.999999617096231,NA,"GO:0022604",265,"FALSE"
"1083","enu","3","regulation of cell-substrate adhesion",-0.210573935259669,28.3888888888889,9.46296296296296,1.73234777299027,0.183066105169227,10.5787037037037,0.759030996183846,0.999999617096231,NA,"GO:0010810",82,"FALSE"
"1084","enu","3","regulation of cell-substrate junction assembly",-0.145804238789444,11.7083333333333,3.90277777777778,0.486507774670472,0.124656796356847,3.97685185185185,0.375305927566765,0.999999617096231,NA,"GO:0090109",129,"FALSE"
"1085","enu","3","regulation of cell-substrate junction organization",-0.0823241114521555,12.2916666666667,4.09722222222222,0.689845885454869,0.168369165263561,3.97222222222222,0.56904419205602,0.999999617096231,NA,"GO:0150116",220,"FALSE"
"1086","enu","3","regulation of cellular component size",-0.258056878047683,50.6527777777778,16.8842592592593,3.47389774388646,0.205747713923629,19.5416666666667,0.224226775133855,0.999999617096231,NA,"GO:0032535",66,"FALSE"
"1087","enu","3","regulation of chromosome organization",-0.281701757302595,42.0694444444444,14.0231481481481,2.94759832835985,0.210195192778385,16.7777777777778,0.022471181145501,0.541213972827218,NA,"GO:0033044",57,"FALSE"
"1088","enu","3","regulation of chromosome segregation",-0.192466560875553,23.4305555555556,7.81018518518519,0.826865331066773,0.105870131304341,8.5,0.245138525187026,0.999999617096231,NA,"GO:0051983",93,"FALSE"
"1089","enu","3","regulation of circadian rhythm",-0.252466359995472,18.1944444444444,6.06481481481481,1.55265934087506,0.256011005823674,6.96296296296296,0.310842527380753,0.999999617096231,NA,"GO:0042752",66,"FALSE"
"1090","enu","3","regulation of cysteine-type endopeptidase activity involved in apoptotic process",-0.358066305461704,24.75,8.25,0.661437827766148,0.0801742821534724,10.1018518518519,0.0499450414491606,0.642841017361777,NA,"GO:0043281",42,"FALSE"
"1091","enu","3","regulation of cytokinesis",-0.175106018589871,15.1805555555556,5.06018518518519,0.717980779113867,0.141888241801093,5.54166666666667,0.697666605908099,0.999999617096231,NA,"GO:0032465",105,"FALSE"
"1092","enu","3","regulation of embryonic development",-0.322928350711951,13.4444444444444,4.48148148148148,1.32559482727209,0.295793887077244,5.27314814814815,0.775905750742175,0.999999617096231,NA,"GO:0045995",48,"FALSE"
"1093","enu","3","regulation of establishment of cell polarity",-0.199299248883936,4.05555555555556,1.35185185185185,0.13981174880131,0.103422389524257,1.4537037037037,0.928208253034188,0.999999617096231,NA,"GO:2000114",93,"FALSE"
"1094","enu","3","regulation of extracellular matrix organization",-0.521994526376498,6.08333333333333,2.02777777777778,0.292657048690354,0.144324024011681,2.87037037037037,0.65031486407293,0.999999617096231,NA,"GO:1903053",26,"FALSE"
"1095","enu","3","regulation of fibroblast migration",0.0946684801976075,9.55555555555556,3.18518518518519,0.420659877466687,0.132067635948844,2.68055555555556,0.994605124284364,0.999999617096231,NA,"GO:0010762",193,"FALSE"
"1096","enu","3","regulation of fibroblast proliferation",-0.382609734773986,11.9861111111111,3.99537037037037,0.118123618723825,0.0295651235739816,4.81944444444444,0.436936626643253,0.999999617096231,NA,"GO:0048145",38,"FALSE"
"1097","enu","3","regulation of focal adhesion assembly",-0.044804137445981,11.9305555555556,3.97685185185185,0.650310546265676,0.163523955754815,3.74537037037037,0.897124558080806,0.999999617096231,NA,"GO:0051893",347,"FALSE"
"1098","enu","3","regulation of generation of precursor metabolites and energy",-0.0287401334389424,21.75,7.25,1.37296426180638,0.189374380938811,7.08796296296296,0.984665782107533,0.999999617096231,NA,"GO:0043467",451,"FALSE"
