"","condition","cycle","region","log2fc.mean","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met"
"54","control","1","cellular response to UV",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.997352587400794,1,NA,"GO:0034644",163,"FALSE"
"55","control","1","cellular response to acid chemical",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.988881185264691,1,NA,"GO:0071229",81,"FALSE"
"56","control","1","cellular response to arsenic-containing substance",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.93620818464392,1,NA,"GO:0071243",163,"FALSE"
"57","control","1","cellular response to chemical stress",-0.0461152776976493,0.911193125515563,2.33333333333333,0.777777777777778,0.509175077217316,0.654653670707977,2,0.666666666666667,0.566398273119264,1,NA,"GO:0062197",347,"FALSE"
"58","control","1","cellular response to dsRNA",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.97621040003656,1,NA,"GO:0071359",163,"FALSE"
"59","control","1","cellular response to external stimulus",-0.222222222222222,0.192450089729875,2,0.666666666666667,0.577350269189626,0.866025403784439,2,0.666666666666667,0.940103325101621,1,NA,"GO:0071496",81,"FALSE"
"60","control","1","cellular response to extracellular stimulus",0.509440277857907,0.776196653939741,2.66666666666667,0.888888888888889,0.509175077217316,0.57282196186948,0.666666666666667,0.222222222222222,0.490362313908405,1,NA,"GO:0031668",26,"FALSE"
"61","control","1","cellular response to fluid shear stress",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071498",747,"FALSE"
"62","control","1","cellular response to heat",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.993920938305819,1,NA,"GO:0034605",163,"FALSE"
"63","control","1","cellular response to insulin stimulus",0.620551388969018,0.0798740039774757,2,0.666666666666667,0,0,0,0,0.89225649466714,1,NA,"GO:0032869",21,"FALSE"
"64","control","1","cellular response to ketone",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.997593016155145,1,NA,"GO:1901655",163,"FALSE"
"65","control","1","cellular response to oxygen levels",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.989988057425739,1,NA,"GO:0071453",81,"FALSE"
"66","control","1","cellular response to sterol depletion",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071501",747,"FALSE"
"67","control","1","cellular response to topologically incorrect protein",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.995914344779196,1,NA,"GO:0035967",81,"FALSE"
"68","control","1","cellular response to transforming growth factor beta stimulus",0.287218055635684,0.541846760760898,1.66666666666667,0.555555555555556,0.192450089729875,0.346410161513775,0.666666666666667,0.222222222222222,0.873053059252502,1,NA,"GO:0071560",57,"FALSE"
"69","control","1","cellular senescence",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0090398",747,"FALSE"
"70","control","1","centromere complex assembly",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0034508",747,"FALSE"
"71","control","1","centrosome localization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0051642",747,"FALSE"
"72","control","1","chaperone-mediated autophagy",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0061684",747,"FALSE"
"73","control","1","chondrocyte differentiation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.99893063320337,1,NA,"GO:0002062",163,"FALSE"
"74","control","1","chromatin remodeling",-0.0461152776976493,0.342769554690181,2.33333333333333,0.777777777777778,0.192450089729875,0.247435829652697,2.33333333333333,0.777777777777778,0.978288948935003,1,NA,"GO:0006338",347,"FALSE"
"75","control","1","chromosome localization",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999385825810986,1,NA,"GO:0050000",163,"FALSE"
"76","control","1","chromosome segregation",-0.268337499919872,0.112576085752399,2.33333333333333,0.777777777777778,0.192450089729875,0.247435829652697,3,1,0.997616408847218,1,NA,"GO:0007059",63,"FALSE"
"77","control","1","cilium assembly",0.0649958334134618,0.434488572471019,2.66666666666667,0.888888888888889,0.192450089729875,0.21650635094611,2.33333333333333,0.777777777777778,0.999408408557687,1,NA,"GO:0060271",265,"FALSE"
"78","control","1","cilium organization",0.129991666826924,0.464774183437227,3.33333333333333,1.11111111111111,0.192450089729875,0.173205080756888,2.33333333333333,0.777777777777778,0.822893100882376,1,NA,"GO:0044782",156,"FALSE"
"79","control","1","circadian regulation of gene expression",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0032922",747,"FALSE"
"80","control","1","clathrin-dependent endocytosis",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.977486074227574,1,NA,"GO:0072583",163,"FALSE"
"81","control","1","collagen fibril organization",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.995999212119145,1,NA,"GO:0030199",163,"FALSE"
"82","control","1","connective tissue development",0.463325000160257,0.851736649116174,2.66666666666667,0.888888888888889,0.384900179459751,0.433012701892219,1,0.333333333333333,0.760619798921567,1,NA,"GO:0061448",28,"FALSE"
"83","control","1","cortical cytoskeleton organization",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.992804784701561,1,NA,"GO:0030865",163,"FALSE"
"84","control","1","cytoplasmic translation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.99987633713,1,NA,"GO:0002181",163,"FALSE"
"85","control","1","defense response to virus",-0.111111111111111,0.693888666488711,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,1.66666666666667,0.555555555555556,0.986617010938879,1,NA,"GO:0051607",163,"FALSE"
"86","control","1","dephosphorylation",0,0.577350269189626,2,0.666666666666667,0,0,2,0.666666666666667,0.995754841019439,1,NA,"GO:0016311",747,"FALSE"
"87","control","1","developmental growth involved in morphogenesis",0.287218055635684,0.267162291360244,1,0.333333333333333,0.333333333333333,1,0,0,0.922323056133838,1,NA,"GO:0060560",57,"FALSE"
"88","control","1","dicarboxylic acid metabolic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.998162960813896,1,NA,"GO:0043648",163,"FALSE"
"89","control","1","double-strand break repair",0.230757288561204,0.669539302590963,3.66666666666667,1.22222222222222,0.693888666488711,0.567727090763491,2,0.666666666666667,0.291643065779486,1,NA,"GO:0006302",74,"FALSE"
"90","control","1","embryonic body morphogenesis",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.931501264055797,1,NA,"GO:0010172",163,"FALSE"
"91","control","1","embryonic organ development",-0.20334166650641,0.225152171504797,2.66666666666667,0.888888888888889,0.384900179459751,0.433012701892219,3,1,0.994268308629884,1,NA,"GO:0048568",85,"FALSE"
"92","control","1","epigenetic regulation of gene expression",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.999366973519853,1,NA,"GO:0040029",81,"FALSE"
"93","control","1","erythrocyte differentiation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999427408191644,1,NA,"GO:0030218",163,"FALSE"
"94","control","1","establishment of mitotic spindle localization",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.920104544216637,1,NA,"GO:0040001",81,"FALSE"
"95","control","1","establishment of organelle localization",-0.490559722142094,0.305026175482274,1.66666666666667,0.555555555555556,0.384900179459751,0.692820323027551,3,1,0.973479222838029,1,NA,"GO:0051656",27,"FALSE"
"96","control","1","establishment of protein localization to membrane",0.0357697883208178,0.942828497665286,2.66666666666667,0.888888888888889,0.693888666488711,0.7806247497998,2,0.666666666666667,0.331735385838431,1,NA,"GO:0090150",385,"FALSE"
"97","control","1","establishment of protein localization to organelle",-0.425563888728632,0.725675917774221,2,0.666666666666667,0.881917103688197,1.3228756555323,3,1,0.94416182346293,1,NA,"GO:0072594",33,"FALSE"
"98","control","1","establishment or maintenance of cell polarity",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.984456736159317,1,NA,"GO:0007163",47,"FALSE"
"99","control","1","establishment or maintenance of epithelial cell apical/basal polarity",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.967886594303923,1,NA,"GO:0045197",163,"FALSE"
"100","control","1","ether lipid biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0008611",747,"FALSE"
"101","control","1","exit from host cell",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0035891",747,"FALSE"
"102","control","1","exosomal secretion",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1990182",747,"FALSE"
"103","control","1","extracellular matrix assembly",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0085029",747,"FALSE"
"104","control","1","extracellular vesicle biogenesis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0140112",747,"FALSE"
"105","control","1","face development",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0060324",747,"FALSE"
"106","control","1","fat cell differentiation",0.333333333333333,0.666666666666667,1.66666666666667,0.555555555555556,0.693888666488711,1.24899959967968,0.333333333333333,0.111111111111111,0.545455304682376,1,NA,"GO:0045444",47,"FALSE"
"107","control","1","fatty acid beta-oxidation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.996233830734277,1,NA,"GO:0006635",163,"FALSE"
"108","control","1","fibroblast migration",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.98320385248954,1,NA,"GO:0010761",163,"FALSE"
"109","control","1","fibroblast proliferation",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.99086233087542,1,NA,"GO:0048144",81,"FALSE"
"110","control","1","folic acid metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046655",747,"FALSE"
"111","control","1","glial cell apoptotic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0034349",747,"FALSE"
"112","control","1","glycerol ether biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046504",747,"FALSE"
"113","control","1","glycosyl compound biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901659",747,"FALSE"
"114","control","1","glycosyl compound metabolic process",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.973147499943525,1,NA,"GO:1901657",81,"FALSE"
"115","control","1","glycosylation",0.463325000160258,0.43448857247102,2,0.666666666666667,0.577350269189626,0.866025403784439,0.333333333333333,0.111111111111111,0.662371784728851,1,NA,"GO:0070085",28,"FALSE"
"116","control","1","heart valve development",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0003170",747,"FALSE"
"117","control","1","heme metabolic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.992745612222988,1,NA,"GO:0042168",163,"FALSE"
"118","control","1","heterochromatin formation",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.98726220742136,1,NA,"GO:0031507",81,"FALSE"
"119","control","1","heterocycle catabolic process",-0.333333333333333,0.333333333333333,2,0.666666666666667,0.333333333333333,0.5,3,1,0.994907094860077,1,NA,"GO:0046700",47,"FALSE"
"120","control","1","histone modification",-0.0922305553952987,0.267162291360244,3.33333333333333,1.11111111111111,0.509175077217316,0.458257569495584,3,1,0.975991499354372,1,NA,"GO:0016570",193,"FALSE"
"121","control","1","immune system development",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0002520",747,"FALSE"
"122","control","1","in utero embryonic development",-0.555555555555556,0.192450089729875,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,3,1,0.982656854754047,1,NA,"GO:0001701",25,"FALSE"
"123","control","1","inner cell mass cell proliferation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.897510948951006,1,NA,"GO:0001833",163,"FALSE"
"124","control","1","inositol phosphate catabolic process",0.176106944524573,0.305026175482275,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.368877251220626,1,NA,"GO:0071545",105,"FALSE"
"125","control","1","interferon-beta production",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0032608",747,"FALSE"
"126","control","1","intermembrane lipid transfer",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0120009",747,"FALSE"
"127","control","1","intracellular lipid transport",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.936711600255246,1,NA,"GO:0032365",81,"FALSE"
"128","control","1","intraciliary transport",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.945621450245214,1,NA,"GO:0042073",81,"FALSE"
"129","control","1","iron ion homeostasis",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.99609944039643,1,NA,"GO:0055072",163,"FALSE"
"130","control","1","iron-sulfur cluster assembly",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.95307014336184,1,NA,"GO:0016226",163,"FALSE"
"131","control","1","kinetochore organization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0051383",747,"FALSE"
"132","control","1","lamellipodium assembly",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.973598180104831,1,NA,"GO:0030032",81,"FALSE"
"133","control","1","lamellipodium morphogenesis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0072673",747,"FALSE"
"134","control","1","lamellipodium organization",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999145261406199,1,NA,"GO:0097581",163,"FALSE"
"135","control","1","limb development",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.998543976959906,1,NA,"GO:0060173",81,"FALSE"
