"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"chondrocyte differentiation3","chondrocyte differentiation","E1_06_14",2,3,-0.415037499278844,0.496,1,2.09267028578266e-20
"regulation of G0 to G1 transition3","regulation of G0 to G1 transition","E1_06_14",0,0,0,1,1,1.38934786767937e-37
"regulation of focal adhesion assembly3","regulation of focal adhesion assembly","E1_06_14",1,1,0,1,1,9.697713757203e-28
"regulation of cell-substrate junction assembly3","regulation of cell-substrate junction assembly","E1_06_14",1,1,0,1,1,9.697713757203e-28
"regulation of mitochondrial membrane potential3","regulation of mitochondrial membrane potential","E1_06_14",2,1,0.584962500721156,0.706,1,3.13600939576097e-35
"regulation of membrane permeability3","regulation of membrane permeability","E1_06_14",0,1,-1,0.545,1,2.37383327282721e-32
"mitochondrial genome maintenance3","mitochondrial genome maintenance","E1_06_14",0,0,0,1,1,1.02366323281368e-41
"regulation of microtubule depolymerization3","regulation of microtubule depolymerization","E1_06_14",0,0,0,1,1,3.47852016066178e-37
"Wnt signaling pathway, planar cell polarity pathway3","Wnt signaling pathway, planar cell polarity pathway","E1_06_14",0,1,-1,0.532,1,7.34798541410632e-29
"response to insulin3","response to insulin","E1_06_14",5,4,0.263034405833794,0.833,1,2.1173146616713e-18
"kinetochore organization3","kinetochore organization","E1_06_14",0,0,0,1,1,2.02049696882323e-46
"lung morphogenesis3","lung morphogenesis","E1_06_14",1,1,0,1,1,7.807194822147e-33
"regulation of chromatin organization3","regulation of chromatin organization","E1_06_14",0,0,0,1,1,3.03846865982484e-38
"release of cytochrome c from mitochondria3","release of cytochrome c from mitochondria","E1_06_14",0,1,-1,0.597,1,6.54803464156969e-35
"regulation of neuron death3","regulation of neuron death","E1_06_14",5,5,0,1,1,4.25589296324741e-16
