"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"RIG-I-like receptor signaling pathway6","RIG-I-like receptor signaling pathway","E3_06_14",3,3,0,1,1,7.43144900280287e-20
"Amoebiasis6","Amoebiasis","E3_06_14",4,4,0,1,1,2.84551604938914e-16
"ECM-receptor interaction6","ECM-receptor interaction","E3_06_14",6,4,0.485426827170242,0.536,0.93225,2.78455563062398e-17
"Renin secretion6","Renin secretion","E3_06_14",6,2,1.22239242133645,0.168,0.93225,7.5428166084147e-21
"Collecting duct acid secretion6","Collecting duct acid secretion","E3_06_14",0,1,-1,0.464,0.93225,4.20181394661971e-29
"Viral myocarditis6","Viral myocarditis","E3_06_14",6,3,0.807354922057604,0.396,0.93225,1.96603522286141e-24
"B cell receptor signaling pathway6","B cell receptor signaling pathway","E3_06_14",3,3,0,1,1,5.36381019040386e-19
"Glutamatergic synapse6","Glutamatergic synapse","E3_06_14",7,4,0.678071905112638,0.334,0.93225,2.04452609565521e-18
"Cytosolic DNA-sensing pathway6","Cytosolic DNA-sensing pathway","E3_06_14",1,3,-1,0.273,0.93225,6.67959195458474e-20
"Glycosphingolipid biosynthesis - globo and isoglobo series6","Glycosphingolipid biosynthesis - globo and isoglobo series","E3_06_14",0,0,0,1,1,4.15147617780108e-41
"Galactose metabolism6","Galactose metabolism","E3_06_14",1,1,0,1,1,4.3317047236078e-28
"Arginine biosynthesis6","Arginine biosynthesis","E3_06_14",0,1,-1,0.579,0.952820388349514,1.17357995013562e-33
"Toll-like receptor signaling pathway6","Toll-like receptor signaling pathway","E3_06_14",0,3,-2,0.032,0.660157894736842,3.0945866133416e-17
"Thiamine metabolism6","Thiamine metabolism","E3_06_14",0,0,0,1,1,2.51292402141899e-45
"Circadian entrainment6","Circadian entrainment","E3_06_14",1,3,-1,0.332,0.93225,1.74430260134749e-20
"Morphine addiction6","Morphine addiction","E3_06_14",4,3,0.321928094887362,0.64,1,3.11848245982941e-17
"Ether lipid metabolism6","Ether lipid metabolism","E3_06_14",1,2,-0.584962500721156,0.336,0.93225,2.09874174199385e-25
"Ribosome biogenesis in eukaryotes6","Ribosome biogenesis in eukaryotes","E3_06_14",8,5,0.584962500721156,0.449,0.93225,4.2603989711347e-16
"Synaptic vesicle cycle6","Synaptic vesicle cycle","E3_06_14",2,2,0,1,1,8.52064691016378e-23
"Tryptophan metabolism6","Tryptophan metabolism","E3_06_14",2,2,0,1,1,6.34052345932806e-24
"Proximal tubule bicarbonate reclamation6","Proximal tubule bicarbonate reclamation","E3_06_14",1,1,0,1,1,4.50908174289646e-32
"Chemical carcinogenesis - receptor activation6","Chemical carcinogenesis - receptor activation","E3_06_14",7,7,0,1,1,6.2148091931118e-13
"Leishmaniasis6","Leishmaniasis","E3_06_14",6,3,0.807354922057604,0.355,0.93225,5.1468904972418e-18
"Glycosphingolipid biosynthesis - lacto and neolacto series6","Glycosphingolipid biosynthesis - lacto and neolacto series","E3_06_14",0,1,-1,0.523,0.93225,1.98676595973814e-31
"Amphetamine addiction6","Amphetamine addiction","E3_06_14",4,2,0.736965594166206,0.383,0.93225,1.3289858859036e-22
"Thyroid hormone synthesis6","Thyroid hormone synthesis","E3_06_14",3,2,0.415037499278844,0.766,1,2.74782775490604e-22
"Butanoate metabolism6","Butanoate metabolism","E3_06_14",2,1,0.584962500721156,0.684,1,1.56527678486682e-32
"ABC transporters6","ABC transporters","E3_06_14",0,1,-1,0.55,0.93225,1.05715794067177e-26
"Antigen processing and presentation6","Antigen processing and presentation","E3_06_14",1,3,-1,0.324,0.93225,5.15578540405029e-21
"Ovarian steroidogenesis6","Ovarian steroidogenesis","E3_06_14",5,2,1,0.262,0.93225,7.72813668549859e-23
"Rheumatoid arthritis6","Rheumatoid arthritis","E3_06_14",4,3,0.321928094887362,0.671,1,3.81941330408768e-20
"IL-17 signaling pathway6","IL-17 signaling pathway","E3_06_14",1,3,-1,0.275,0.93225,2.27259400520377e-18
"Renin-angiotensin system6","Renin-angiotensin system","E3_06_14",3,0,2,0.037,0.660157894736842,1.58454194502302e-38
"Nitrogen metabolism6","Nitrogen metabolism","E3_06_14",0,0,0,1,1,7.66823554298334e-43
"Tuberculosis6","Tuberculosis","E3_06_14",8,5,0.584962500721156,0.453,0.93225,9.98533462538751e-15
"Drug metabolism - other enzymes6","Drug metabolism - other enzymes","E3_06_14",4,3,0.321928094887362,0.683,1,5.03472915273733e-21
"Glycolysis / Gluconeogenesis6","Glycolysis / Gluconeogenesis","E3_06_14",5,3,0.584962500721156,0.476,0.93225,3.67629693255245e-20
"Gastric acid secretion6","Gastric acid secretion","E3_06_14",6,3,0.807354922057604,0.357,0.93225,3.58611280923645e-20
