"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"Thyroid hormone signaling pathway","Thyroid hormone signaling pathway","C1_05_24",0,0,0,1,1,6.73899082845821e-41
"Amino sugar and nucleotide sugar metabolism","Amino sugar and nucleotide sugar metabolism","C1_05_24",0,0,0,1,1,5.29448273520164e-48
"Nucleotide metabolism","Nucleotide metabolism","C1_05_24",0,0,0,1,1,3.42478256980624e-46
"ErbB signaling pathway","ErbB signaling pathway","C1_05_24",0,0,0,1,1,2.10550867677668e-45
"Thyroid cancer","Thyroid cancer","C1_05_24",0,0,0,1,1,2.16449379626493e-50
"Various types of N-glycan biosynthesis","Various types of N-glycan biosynthesis","C1_05_24",0,0,0,1,1,9.40489303815017e-50
"Spinocerebellar ataxia","Spinocerebellar ataxia","C1_05_24",0,0,0,1,1,2.32579541746771e-41
"Basal transcription factors","Basal transcription factors","C1_05_24",0,0,0,1,1,1.06294355521475e-50
"Regulation of actin cytoskeleton","Regulation of actin cytoskeleton","C1_05_24",4,1,1.32192809488736,0.023,1,1.74153135707642e-33
"Melanoma","Melanoma","C1_05_24",2,0,1.58496250072116,0.074,1,5.54804369596167e-45
"Tight junction","Tight junction","C1_05_24",0,0,0,1,1,6.80662033128201e-39
"Apoptosis - multiple species","Apoptosis - multiple species","C1_05_24",0,0,0,1,1,2.12885639691386e-49
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","C1_05_24",0,0,0,1,1,1.59919533705259e-53
"Biosynthesis of nucleotide sugars","Biosynthesis of nucleotide sugars","C1_05_24",0,0,0,1,1,5.37841867503445e-49
"Epithelial cell signaling in Helicobacter pylori infection","Epithelial cell signaling in Helicobacter pylori infection","C1_05_24",0,0,0,1,1,1.08609388909698e-46
"Epstein-Barr virus infection","Epstein-Barr virus infection","C1_05_24",0,0,0,1,1,5.69675807070347e-44
"Selenocompound metabolism","Selenocompound metabolism","C1_05_24",0,0,0,1,1,1.09260895716198e-51
"Other types of O-glycan biosynthesis","Other types of O-glycan biosynthesis","C1_05_24",0,0,0,1,1,1.11178308787105e-48
"Notch signaling pathway","Notch signaling pathway","C1_05_24",1,0,1,0.163,1,1.44603940163901e-47
"Fc gamma R-mediated phagocytosis","Fc gamma R-mediated phagocytosis","C1_05_24",1,0,1,0.273,1,3.0505263766595e-43
"Citrate cycle (TCA cycle)","Citrate cycle (TCA cycle)","C1_05_24",0,0,0,1,1,1.29408443232812e-52
"Apelin signaling pathway","Apelin signaling pathway","C1_05_24",0,0,0,1,1,1.87816854840196e-36
"Mismatch repair","Mismatch repair","C1_05_24",0,0,0,1,1,2.25516378020213e-53
"Carbon metabolism","Carbon metabolism","C1_05_24",0,0,0,1,1,1.50942318577366e-44
"Hedgehog signaling pathway","Hedgehog signaling pathway","C1_05_24",0,0,0,1,1,7.80748701051944e-46
"Chagas disease","Chagas disease","C1_05_24",0,0,0,1,1,2.84469385215797e-43
"Growth hormone synthesis, secretion and action","Growth hormone synthesis, secretion and action","C1_05_24",0,0,0,1,1,2.88887023461788e-43
"Kaposi sarcoma-associated herpesvirus infection","Kaposi sarcoma-associated herpesvirus infection","C1_05_24",2,0,1.58496250072116,0.182,1,1.35320503545956e-37
"Hippo signaling pathway - multiple species","Hippo signaling pathway - multiple species","C1_05_24",1,0,1,0.155,1,5.80186907655235e-48
"VEGF signaling pathway","VEGF signaling pathway","C1_05_24",0,0,0,1,1,3.30175924332431e-47
