"","condition","cycle","region","log2fc.mean.x","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met","log2fc.mean.y","log2fc.norm","log2fc.norm.sd"
"68","control","1","cytoplasmic translation",0.666666666666667,0.577350269189626,2,0.666666666666667,0.577350269189626,0.866025403784439,0,0,0.484893338542926,1,NA,"GO:0002181",20,"FALSE",0,0.666666666666667,0.397073346477591
"69","control","1","defense response to virus",-0.333333333333333,0.577350269189626,0,0,0,NA,1,0.333333333333333,0.964086721239571,1,NA,"GO:0051607",47,"FALSE",-0.471679166426281,0.138345833092948,0.397073346477591
"70","control","1","dephosphorylation",-0.333333333333333,0.577350269189626,2,0.666666666666667,0.577350269189626,0.866025403784439,3,1,0.971180130351301,1,NA,"GO:0016311",47,"FALSE",0,-0.333333333333333,0.397073346477591
"71","control","1","developmental growth involved in morphogenesis",0.528320833573719,0.502400446698578,4,1.33333333333333,0.577350269189626,0.433012701892219,2,0.666666666666667,0.869575804050505,1,NA,"GO:0060560",26,"FALSE",0.0817041659455107,0.446616667628208,0.397073346477591
"72","control","1","dicarboxylic acid metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0043648",747,"FALSE",0,0,0.397073346477591
"73","control","1","DNA conformation change",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.797693502902129,1,NA,"GO:0071103",47,"FALSE",-0.333333333333333,0.666666666666667,0.397073346477591
"74","control","1","DNA replication",-0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,2,0.666666666666667,0.972995492191578,1,NA,"GO:0006260",47,"FALSE",-0.861654166907053,0.52832083357372,0.397073346477591
"75","control","1","DNA-templated transcription elongation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0006354",747,"FALSE",0.0566416671474373,-0.0566416671474373,0.397073346477591
"76","control","1","double-strand break repair",0.666666666666667,0.577350269189626,3,1,0,0,1,0.333333333333333,0.777295592183928,1,NA,"GO:0006302",20,"FALSE",-0.471679166426281,1.13834583309295,0.397073346477591
"77","control","1","embryonic body morphogenesis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0010172",747,"FALSE",0,0,0.397073346477591
"78","control","1","embryonic organ development",-0.138345833092948,0.801486874080731,3,1,1,1,3,1,0.852009326771923,1,NA,"GO:0048568",137,"FALSE",0.269118307352535,-0.407464140445483,0.397073346477591
"79","control","1","epigenetic regulation of gene expression",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0040029",747,"FALSE",-0.389975000480772,0.389975000480772,0.397073346477591
"80","control","1","erythrocyte differentiation",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.832714907157167,1,NA,"GO:0030218",47,"FALSE",0.528320833573719,-0.194987500240385,0.397073346477591
"81","control","1","establishment of mitotic spindle localization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0040001",747,"FALSE",0,0,0.397073346477591
"82","control","1","establishment of organelle localization",-0.333333333333333,1.15470053837925,3,1,1.73205080756888,1.73205080756888,3,1,0.575885985448705,1,NA,"GO:0051656",47,"FALSE",-1.2456551980554,0.912321864722068,0.397073346477591
"83","control","1","establishment of protein localization to membrane",0,1,1,0.333333333333333,0.577350269189626,1.73205080756888,1,0.333333333333333,0.841420630504881,1,NA,"GO:0090150",747,"FALSE",-0.584962500721157,0.584962500721157,0.397073346477591
