CTL_A ENU_A CTL_B ENU_B CTL_C ENU_C
ENSG00000011021 448 434 663 653 405 680
ENSG00000011028 19762 16939 21094 15685 13634 16528
ENSG00000011052 1685 1377 1938 1395 2407 2400
ENSG00000011105 2336 1884 2761 1879 1250 1863
ENSG00000011114 1112 868 1291 725 779 960
ENSG00000011132 293 224 378 228 183 247
ENSG00000011143 67 83 132 112 126 156
ENSG00000011198 282 242 220 207 403 405
ENSG00000011243 820 705 1147 821 704 940
ENSG00000011258 235 217 285 180 206 279
ENSG00000011260 293 300 350 311 328 470
ENSG00000011275 1271 1070 1522 1004 1236 1538
ENSG00000011295 380 277 411 312 481 626
ENSG00000011304 4689 3717 5815 4062 4741 6606
ENSG00000011332 20 16 17 10 28 35
ENSG00000011376 420 375 584 322 602 752
ENSG00000011405 1077 834 1215 855 912 1348
ENSG00000011422 1226 1131 1190 1084 1168 1665
ENSG00000011426 1670 1501 2549 1699 1513 3077
ENSG00000011451 1022 910 1301 895 1202 1362
ENSG00000011454 1363 909 1535 1094 1621 1997
ENSG00000011465 45626 33846 46821 33427 43432 65984
ENSG00000011478 268 211 339 309 190 257
ENSG00000011485 540 469 681 427 858 1193
ENSG00000011523 332 246 406 291 247 324
ENSG00000011566 1584 1244 2020 1720 1147 1749
ENSG00000011638 830 666 1193 890 753 854
ENSG00000012048 95 99 105 74 95 231
ENSG00000012061 928 705 1113 666 725 1052
ENSG00000012171 1863 1622 2502 1913 1067 1445
ENSG00000012174 691 608 791 574 776 1063
ENSG00000012211 260 192 349 232 136 182
ENSG00000012223 48 37 58 92 0 7
ENSG00000012232 2456 2043 3254 2197 1333 1760
ENSG00000012660 1477 1189 1652 1120 1636 2177
ENSG00000012822 2213 1998 2895 2168 2352 2908
ENSG00000012963 330 321 444 305 407 579
ENSG00000012983 1635 1238 1660 1173 1453 1866
ENSG00000013016 905 695 1155 716 827 962
ENSG00000013275 1055 802 1099 742 1241 1566
ENSG00000013288 3854 3467 4600 3483 2509 3290
ENSG00000013297 5374 3814 9089 4698 7833 12088
ENSG00000013306 859 756 1022 813 747 764
ENSG00000013364 6511 5073 9472 6233 6286 8433
ENSG00000013374 1020 768 1256 948 913 1211
ENSG00000013375 3060 2492 3505 2827 2117 2959
ENSG00000013392 227 194 227 196 228 239
ENSG00000013441 791 564 881 911 716 1084
ENSG00000013503 227 176 224 161 311 434
ENSG00000013523 251 208 293 185 252 290
ENSG00000013561 733 607 851 676 777 1022
ENSG00000013563 1715 1605 2483 2100 709 866
ENSG00000013573 105 71 85 59 109 240
ENSG00000013583 1204 943 1295 1083 808 1029
ENSG00000013588 3723 2937 3832 2725 6085 6571
ENSG00000013619 443 321 396 242 362 499
ENSG00000013810 268 273 328 250 395 650
ENSG00000014123 667 544 770 658 704 881
ENSG00000014138 192 203 251 147 184 305
ENSG00000014164 299 240 324 283 267 342
ENSG00000014216 3716 2938 4617 3104 3862 4585
ENSG00000014257 168 126 149 98 56 75
ENSG00000014641 1540 1225 1865 1270 1330 1743
ENSG00000014824 1391 1111 1566 1226 1176 1503
ENSG00000014914 366 297 574 479 204 246
ENSG00000014919 308 318 424 353 382 469
ENSG00000015153 253 260 269 231 186 259
