CTL_A ENU_A CTL_B ENU_B CTL_C ENU_C
ENSG00000004700 51 46 47 49 70 77
ENSG00000004766 8 8 9 8 11 12
ENSG00000004776 300 369 272 401 157 119
ENSG00000004777 2 2 3 2 5 5
ENSG00000004779 110 125 110 101 101 80
ENSG00000004838 1 1 0 0 1 1
ENSG00000004864 11 9 11 6 13 17
ENSG00000004866 23 32 25 28 30 30
ENSG00000004897 47 47 44 45 59 64
ENSG00000004961 26 29 31 26 34 37
ENSG00000004975 50 47 55 62 56 49
ENSG00000005007 85 87 92 93 78 79
ENSG00000005020 25 25 25 29 38 34
ENSG00000005022 174 164 168 166 220 204
ENSG00000005059 12 12 13 13 17 19
ENSG00000005075 39 39 40 33 57 44
ENSG00000005100 10 11 11 11 16 16
ENSG00000005156 6 5 7 6 9 11
ENSG00000005175 14 13 14 12 21 21
ENSG00000005189 3 3 4 4 2 4
ENSG00000005194 42 34 39 35 51 51
ENSG00000005206 28 34 33 30 35 39
ENSG00000005238 18 17 18 15 21 19
ENSG00000005243 82 85 72 66 164 149
ENSG00000005249 5 4 4 5 7 8
ENSG00000005302 7 7 7 7 9 11
ENSG00000005339 31 32 34 38 30 33
ENSG00000005379 1 1 2 2 1 1
ENSG00000005436 7 7 5 7 10 10
ENSG00000005448 30 34 33 41 25 27
ENSG00000005469 27 22 25 20 40 33
ENSG00000005483 38 36 40 42 33 39
ENSG00000005486 60 80 69 73 65 63
ENSG00000005700 47 42 45 38 52 58
ENSG00000005801 1 1 1 1 2 2
ENSG00000005810 15 17 18 18 16 18
ENSG00000005812 38 38 39 37 36 39
ENSG00000005882 19 20 22 15 23 19
ENSG00000005884 156 160 191 195 166 180
ENSG00000005889 17 17 19 19 18 18
ENSG00000005893 74 74 72 82 78 88
ENSG00000005955 108 99 105 114 122 132
ENSG00000005961 1 1 1 1 0 0
ENSG00000006007 139 137 154 177 104 123
ENSG00000006015 20 20 22 19 34 25
ENSG00000006016 8 8 6 5 12 9
ENSG00000006025 5 7 6 4 9 8
ENSG00000006042 92 78 94 77 63 65
ENSG00000006062 19 17 21 23 14 14
ENSG00000006114 78 82 78 78 86 95
ENSG00000006118 148 116 169 113 120 103
ENSG00000006125 202 192 219 216 177 195
ENSG00000006194 15 14 14 16 16 16
ENSG00000006282 41 50 44 44 52 52
ENSG00000006327 268 256 264 196 282 288
ENSG00000006451 63 62 65 70 76 79
ENSG00000006453 15 19 21 29 10 11
ENSG00000006459 3 3 2 3 6 5
ENSG00000006468 5 4 4 4 3 4
ENSG00000006530 13 12 15 10 19 20
ENSG00000006534 29 31 42 46 24 23
ENSG00000006576 83 83 88 74 62 73
ENSG00000006607 6 7 9 7 7 8
ENSG00000006625 30 23 26 31 47 45
ENSG00000006634 4 6 5 4 5 7
ENSG00000006638 4 4 9 8 2 3
ENSG00000006652 26 30 26 32 29 30
ENSG00000006695 7 7 5 6 7 8
ENSG00000006704 21 20 23 26 19 18
ENSG00000006712 50 57 62 56 82 80
ENSG00000006715 25 27 23 21 36 37
ENSG00000006740 1 1 1 1 1 1
ENSG00000006744 38 38 40 37 47 51
ENSG00000006756 11 9 10 7 11 13
ENSG00000006757 2 3 1 3 9 9
ENSG00000006788 0 0 0 0 0 1
ENSG00000006831 38 38 38 39 46 47
ENSG00000006837 2 2 2 2 2 1
ENSG00000007047 36 36 36 44 28 27
ENSG00000007080 125 124 145 117 193 166
ENSG00000007168 57 56 53 51 69 73
ENSG00000007202 86 88 91 86 91 94
ENSG00000007237 12 13 5 6 26 29
ENSG00000007255 20 23 26 26 13 10
ENSG00000007341 9 7 9 7 10 10
ENSG00000007376 26 21 21 25 28 28
ENSG00000007384 113 107 126 112 103 112
ENSG00000007392 30 35 32 27 55 61
ENSG00000007516 0 1 1 1 1 0
ENSG00000007520 95 90 84 90 103 90
ENSG00000007541 34 36 35 38 30 32
ENSG00000007545 16 21 18 17 14 16
ENSG00000007866 85 77 96 78 95 110
ENSG00000007923 25 25 22 19 43 45
ENSG00000007933 14 8 13 8 4 4
ENSG00000007944 4 4 6 7 2 3
ENSG00000008018 112 118 118 103 188 176
ENSG00000008056 4 4 4 6 2 2
ENSG00000008083 16 15 20 21 17 18
ENSG00000008086 1 1 1 1 1 2
ENSG00000008128 7 11 10 9 16 16
ENSG00000008130 47 42 43 39 47 44
ENSG00000008256 58 60 77 70 50 66
ENSG00000008282 105 101 106 106 94 116
ENSG00000008283 19 17 22 23 9 10
ENSG00000008294 43 43 44 44 45 48
ENSG00000008300 4 4 2 4 3 3
ENSG00000008311 8 6 9 7 7 9
ENSG00000008324 8 8 9 7 8 8
ENSG00000008382 18 20 20 14 15 16
ENSG00000008394 201 197 187 199 224 232
ENSG00000008405 21 25 23 21 17 18
ENSG00000008441 77 78 75 82 108 97
ENSG00000008513 84 70 75 68 108 117
ENSG00000008517 245 188 284 180 41 39
ENSG00000008710 76 82 75 78 62 77
ENSG00000008735 0 0 0 1 0 0
ENSG00000008838 50 54 54 52 42 47
ENSG00000008853 17 18 18 17 15 16
ENSG00000008869 12 12 13 13 15 16
ENSG00000008952 88 87 89 101 95 102
ENSG00000008988 313 304 314 322 305 274
ENSG00000009307 455 464 492 550 397 403
ENSG00000009335 87 81 77 68 91 92
ENSG00000009413 21 21 24 33 17 19
ENSG00000009694 13 13 17 12 0 1
ENSG00000009724 0 1 0 0 1 1
ENSG00000009780 4 4 4 4 5 5
ENSG00000009830 13 13 11 11 11 13
ENSG00000009844 23 22 20 19 28 28
ENSG00000009954 61 58 64 60 74 76
ENSG00000010017 47 46 46 53 56 53
ENSG00000010030 1 1 2 1 0 0
ENSG00000010072 8 7 7 6 7 9
ENSG00000010165 22 24 23 22 29 27
ENSG00000010219 13 12 14 15 13 14
ENSG00000010244 33 28 31 28 37 42
ENSG00000010256 378 383 410 397 380 376
ENSG00000010270 43 42 49 42 35 35
ENSG00000010278 85 96 97 116 56 76
ENSG00000010292 39 44 49 49 55 66
ENSG00000010295 44 36 42 44 36 35
ENSG00000010310 1 2 1 1 2 2
ENSG00000010318 3 2 2 4 3 3
ENSG00000010322 87 94 93 99 82 82
ENSG00000010361 19 16 20 19 17 17
ENSG00000010404 56 61 55 58 47 42
ENSG00000010438 9 7 5 6 12 9
ENSG00000010539 4 5 5 4 4 5
ENSG00000010610 14 13 8 5 26 24
ENSG00000010626 16 15 19 25 12 13
ENSG00000010704 11 14 13 16 15 18
ENSG00000010803 44 41 42 39 35 33
ENSG00000010810 37 42 37 44 55 51
ENSG00000010818 19 20 21 20 12 15
ENSG00000011007 16 18 15 15 25 29
ENSG00000011009 66 61 57 53 55 59
ENSG00000011021 14 17 18 25 15 21
ENSG00000011028 625 653 571 584 508 491
ENSG00000011052 256 254 252 249 430 342
ENSG00000011105 98 96 99 93 62 73
ENSG00000011114 24 23 24 18 20 19
ENSG00000011132 12 12 14 11 9 10
ENSG00000011143 3 4 5 6 7 6
ENSG00000011198 10 10 6 8 16 13
ENSG00000011243 31 32 37 36 31 33
ENSG00000011258 8 9 8 7 8 9
ENSG00000011260 28 35 29 35 37 43
ENSG00000011275 40 41 41 37 46 45
ENSG00000011295 22 20 21 22 33 35
ENSG00000011304 182 176 193 185 217 241
ENSG00000011332 2 1 1 1 3 3
ENSG00000011376 8 8 9 7 13 13
ENSG00000011405 23 22 22 22 23 27
ENSG00000011422 138 155 114 143 154 176
ENSG00000011426 64 70 83 76 68 111
ENSG00000011451 21 22 22 21 28 26
ENSG00000011454 49 40 48 47 69 68
ENSG00000011465 1206 1089 1059 1038 1350 1637
ENSG00000011478 18 17 19 24 15 16
ENSG00000011485 21 22 23 19 39 43
ENSG00000011523 10 9 11 11 9 9
ENSG00000011566 66 63 72 84 56 69
ENSG00000011638 83 81 102 105 88 80
ENSG00000012048 2 3 2 2 3 5
ENSG00000012061 50 46 51 42 46 53
ENSG00000012171 103 109 118 124 69 75
ENSG00000012174 28 30 27 27 37 41
ENSG00000012211 17 15 19 18 10 11
ENSG00000012223 3 3 3 7 0 0
ENSG00000012232 49 49 55 51 31 33
ENSG00000012660 87 85 83 77 113 120
ENSG00000012822 68 75 76 79 85 84
ENSG00000012963 17 20 20 19 25 28
ENSG00000012983 62 57 53 52 64 66
ENSG00000013016 34 32 37 32 36 34
ENSG00000013275 109 101 97 90 151 152
ENSG00000013288 90 99 92 96 69 72
ENSG00000013297 353 305 511 362 605 745
ENSG00000013306 70 75 71 78 72 59
ENSG00000013364 403 382 502 453 458 490
ENSG00000013374 58 53 61 63 61 64
ENSG00000013375 70 70 69 76 57 64
ENSG00000013392 11 11 9 11 13 11
ENSG00000013441 45 39 43 60 48 57
ENSG00000013503 10 9 8 8 16 18
ENSG00000013523 9 9 9 7 10 9
ENSG00000013561 31 32 31 34 39 41
ENSG00000013563 103 118 128 149 50 49
ENSG00000013573 5 4 3 3 6 10
ENSG00000013583 106 101 98 112 84 85
ENSG00000013588 102 98 90 88 197 170
ENSG00000013619 16 14 12 10 15 16
ENSG00000013810 16 20 17 18 29 38
ENSG00000014123 29 28 28 33 35 35
ENSG00000014138 9 12 10 8 10 13
ENSG00000014164 17 16 15 18 17 18
ENSG00000014216 218 210 232 214 266 253
ENSG00000014257 10 9 7 7 4 4
ENSG00000014641 169 164 175 164 172 180
ENSG00000014824 41 40 39 42 41 41
ENSG00000014914 20 20 27 31 13 13
ENSG00000014919 11 14 13 15 16 16
ENSG00000015153 9 11 8 10 8 9
ENSG00000015171 47 43 47 43 48 49
ENSG00000015413 0 0 0 1 0 0
ENSG00000015475 88 80 87 74 67 66
ENSG00000015479 97 86 96 90 140 149
ENSG00000015532 80 83 85 85 76 73
ENSG00000015676 28 29 28 30 29 30
ENSG00000016864 169 156 170 193 155 171
ENSG00000017260 127 123 128 125 108 124
ENSG00000017483 27 29 27 23 14 28
ENSG00000017621 1 1 1 2 0 1
ENSG00000017797 114 109 128 141 101 109
ENSG00000018189 17 17 17 19 25 25
ENSG00000018236 0 0 0 0 0 1
ENSG00000018408 46 50 39 37 47 47
ENSG00000018510 9 10 8 8 13 14
ENSG00000018610 18 17 21 20 24 26
ENSG00000018625 1 1 1 3 0 1
ENSG00000018699 13 14 15 11 21 22
ENSG00000018869 1 1 1 1 1 1
ENSG00000019144 85 81 77 63 128 134
ENSG00000019485 0 1 0 0 1 1
ENSG00000019549 62 59 64 69 67 60
ENSG00000019582 1 1 1 0 0 1
ENSG00000019991 240 218 238 229 245 334
ENSG00000019995 49 49 51 54 42 49
ENSG00000020129 28 32 26 28 36 32
ENSG00000020181 165 149 155 139 140 147
ENSG00000020256 15 18 16 20 19 18
ENSG00000020426 31 31 32 27 40 41
ENSG00000020577 64 63 71 63 42 51
ENSG00000020633 3 3 3 3 2 4
ENSG00000020922 6 5 4 5 7 9
ENSG00000021300 1 1 1 1 0 0
ENSG00000021355 70 72 92 90 56 63
ENSG00000021574 13 11 11 12 13 13
ENSG00000021645 1 1 1 1 8 6
ENSG00000021762 61 64 69 68 50 55
ENSG00000021776 11 12 13 13 14 19
ENSG00000021826 8 9 10 10 9 11
ENSG00000022267 158 135 166 166 102 125
ENSG00000022277 155 168 182 193 194 193
ENSG00000022567 2 2 2 2 4 4
ENSG00000022840 131 138 140 134 118 124
ENSG00000022976 11 9 10 8 14 12
ENSG00000023041 11 12 10 11 14 16
ENSG00000023171 6 5 7 7 3 3
ENSG00000023191 184 191 218 196 180 173
ENSG00000023228 20 20 23 20 26 30
ENSG00000023287 88 79 85 94 65 71
ENSG00000023318 26 28 25 27 30 34
ENSG00000023330 60 56 77 76 50 52
ENSG00000023445 9 7 11 7 2 3
ENSG00000023516 17 18 16 17 24 25
ENSG00000023572 3 2 2 2 6 5
ENSG00000023608 15 13 15 18 19 19
ENSG00000023697 52 54 58 45 70 72
ENSG00000023734 154 146 160 132 196 192
ENSG00000023892 2 2 3 3 1 2
ENSG00000023902 74 71 89 95 79 83
ENSG00000023909 16 16 13 10 27 27
ENSG00000024048 23 23 26 28 23 26
ENSG00000024422 714 681 716 681 876 845
ENSG00000024526 5 7 7 5 9 16
ENSG00000024862 11 12 11 14 22 21
ENSG00000025156 17 18 20 18 15 19
ENSG00000025293 48 44 54 52 37 42
ENSG00000025423 4 2 7 2 16 17
ENSG00000025434 7 9 9 10 10 9
ENSG00000025708 12 13 14 13 7 10
ENSG00000025770 21 23 26 21 23 21
ENSG00000025772 44 44 42 42 51 48
ENSG00000025796 54 54 47 51 82 93
ENSG00000025800 59 56 62 61 54 50
ENSG00000026025 7031 7315 8709 10584 5626 5783
ENSG00000026036 5 3 5 3 6 6
ENSG00000026103 6 6 7 8 7 8
ENSG00000026297 6 5 6 6 6 5
ENSG00000026508 855 960 862 917 1083 1169
ENSG00000026559 12 12 10 8 20 22
ENSG00000026652 5 4 4 4 5 6
ENSG00000026950 28 24 31 35 24 26
ENSG00000027001 24 23 18 23 35 35
ENSG00000027075 1 1 0 1 1 1
ENSG00000027697 34 34 43 41 39 44
ENSG00000027847 66 64 56 63 51 41
ENSG00000028116 30 25 30 32 23 25
ENSG00000028137 31 27 31 34 19 16
ENSG00000028203 65 62 67 70 67 70
ENSG00000028277 4 5 3 1 2 1
ENSG00000028310 26 26 29 31 32 31
ENSG00000028528 34 32 37 33 36 41
ENSG00000028839 9 10 9 11 13 12
ENSG00000029153 39 36 50 48 19 24
ENSG00000029363 38 35 33 28 72 76
ENSG00000029364 49 47 52 56 42 46
ENSG00000029534 1 1 1 1 1 1
ENSG00000029639 7 8 10 8 13 11
ENSG00000029725 38 33 37 35 37 40
ENSG00000029993 9 8 9 7 20 22
ENSG00000030066 25 25 28 26 29 32
ENSG00000030110 24 24 21 19 26 23
ENSG00000030419 3 3 3 3 2 2
ENSG00000030582 581 632 590 662 438 447
ENSG00000031003 9 9 8 9 12 14
ENSG00000031081 6 7 4 4 8 9
ENSG00000031544 2 0 1 1 1 1
ENSG00000031691 7 7 6 6 4 6
ENSG00000031698 243 241 233 225 466 481
ENSG00000031823 55 58 68 59 69 66
ENSG00000032219 12 13 14 13 11 14
ENSG00000032389 20 18 19 16 21 21
ENSG00000032444 129 125 155 161 92 91
ENSG00000032742 6 6 6 4 12 15
ENSG00000033011 8 9 8 7 14 16
ENSG00000033030 11 9 11 12 12 13
ENSG00000033050 33 37 38 33 53 58
ENSG00000033100 185 187 180 186 138 129
ENSG00000033170 26 25 28 23 24 27
ENSG00000033178 17 17 17 18 19 19
ENSG00000033327 13 13 12 17 10 11
ENSG00000033627 12 11 12 12 13 15
ENSG00000033800 11 9 11 10 8 8
ENSG00000033867 38 33 35 36 30 34
ENSG00000034053 46 42 47 41 25 30
ENSG00000034063 34 35 30 17 49 84
ENSG00000034152 73 74 73 70 65 59
ENSG00000034510 2234 2586 2112 2375 3425 2741
ENSG00000034533 6 5 6 7 3 6
ENSG00000034677 34 33 37 32 31 36
ENSG00000034693 7 7 8 7 10 11
ENSG00000034713 76 83 84 88 66 64
ENSG00000035115 13 14 13 14 20 19
ENSG00000035141 25 27 27 23 38 39
ENSG00000035403 308 283 316 249 424 488
ENSG00000035499 2 2 2 1 3 4
ENSG00000035681 33 28 34 31 39 42
ENSG00000035687 45 44 43 43 83 81
ENSG00000035862 991 1017 1127 1153 1005 1149
ENSG00000035928 40 41 48 49 35 42
ENSG00000036054 67 55 65 79 64 65
ENSG00000036257 56 49 64 60 48 50
ENSG00000036549 27 25 27 30 24 27
ENSG00000036672 0 1 1 1 0 0
ENSG00000037042 24 23 26 30 20 20
ENSG00000037241 58 62 61 68 98 67
ENSG00000037474 39 40 34 32 64 64
ENSG00000037637 14 13 11 10 14 12
ENSG00000037749 30 28 32 27 26 33
ENSG00000037757 30 26 33 30 29 30
ENSG00000037897 9 7 7 7 15 16
ENSG00000038002 23 25 20 21 36 31
ENSG00000038210 20 20 22 21 19 21
ENSG00000038219 18 19 19 22 24 27
ENSG00000038274 46 44 48 48 51 53
ENSG00000038358 44 43 44 41 48 47
ENSG00000038382 239 230 265 249 213 237
ENSG00000038427 40 45 33 28 112 119
ENSG00000038532 21 20 21 20 19 21
ENSG00000038945 2 3 3 5 1 1
ENSG00000039123 47 44 49 47 56 65
ENSG00000039139 10 9 10 9 10 13
ENSG00000039319 15 14 13 11 17 20
ENSG00000039523 67 66 70 68 64 67
ENSG00000039537 2 3 1 2 0 1
ENSG00000039560 409 387 386 349 374 408
ENSG00000039650 29 22 23 24 30 29
ENSG00000040199 7 7 8 6 6 8
ENSG00000040275 13 15 15 12 21 29
ENSG00000040341 26 27 30 30 27 33
ENSG00000040487 22 13 21 25 17 17
ENSG00000040531 11 14 15 15 10 9
ENSG00000040608 0 0 0 1 1 0
ENSG00000040633 51 55 50 46 64 62
ENSG00000040933 9 9 9 7 10 10
ENSG00000041357 50 43 50 40 81 80
ENSG00000041802 15 13 12 13 29 31
ENSG00000041880 33 34 46 46 35 34
ENSG00000041982 113 78 77 28 459 387
ENSG00000041988 23 26 22 23 17 16
ENSG00000042062 20 18 24 23 5 8
ENSG00000042088 13 15 14 11 12 15
ENSG00000042286 16 15 17 16 31 30
ENSG00000042317 33 30 39 42 24 26
ENSG00000042429 17 17 17 18 20 23
ENSG00000042445 42 46 50 60 54 62
ENSG00000042493 155 165 220 212 105 113
ENSG00000042753 317 317 308 302 403 363
ENSG00000042832 1 1 1 1 1 1
ENSG00000043093 11 10 11 11 12 13
ENSG00000043143 14 15 15 15 13 13
ENSG00000043514 7 8 7 6 10 10
ENSG00000044090 85 90 93 118 65 66
ENSG00000044115 405 386 454 405 528 583
ENSG00000044446 10 11 11 10 13 12
ENSG00000044459 9 9 9 11 12 12
ENSG00000044574 371 395 286 249 561 589
ENSG00000046604 1 2 1 1 1 1
ENSG00000046647 11 11 11 12 13 11
ENSG00000046651 10 11 12 12 9 12
ENSG00000047056 14 15 15 17 15 13
ENSG00000047188 21 20 24 22 25 27
ENSG00000047230 16 18 17 18 11 16
ENSG00000047249 48 47 56 47 58 60
ENSG00000047315 95 93 101 93 121 130
ENSG00000047346 9 12 12 12 11 12
ENSG00000047410 37 40 38 40 50 56
ENSG00000047578 10 10 9 8 13 13
ENSG00000047579 11 17 16 11 18 16
ENSG00000047617 2 1 1 2 0 0
ENSG00000047621 8 8 7 5 12 13
ENSG00000047634 12 11 13 14 9 9
ENSG00000047644 42 41 40 41 28 32
ENSG00000047648 3 4 4 4 4 4
ENSG00000047662 2 2 2 2 2 2
ENSG00000047849 306 298 344 335 356 376
ENSG00000047932 39 40 39 41 58 53
ENSG00000048028 14 11 16 13 15 16
ENSG00000048052 3 3 3 3 1 1
ENSG00000048140 42 40 42 39 48 47
ENSG00000048162 13 13 12 12 32 31
ENSG00000048342 8 7 7 7 16 14
ENSG00000048392 63 63 62 64 35 33
ENSG00000048405 10 12 13 10 12 13
ENSG00000048471 23 21 25 22 16 17
ENSG00000048544 39 37 38 41 55 52
ENSG00000048649 21 20 20 21 21 22
ENSG00000048707 14 15 15 16 15 16
ENSG00000048740 5 5 3 3 4 5
ENSG00000048828 139 127 140 146 121 130
ENSG00000048991 20 18 20 16 20 23
ENSG00000049089 6 5 6 4 2 1
ENSG00000049130 11 11 7 8 15 17
ENSG00000049167 2 2 2 2 2 3
ENSG00000049192 28 27 29 23 31 31
ENSG00000049239 100 107 114 112 66 71
ENSG00000049245 174 186 182 195 160 154
ENSG00000049246 10 10 12 13 6 7
ENSG00000049323 737 799 651 701 658 735
ENSG00000049449 777 801 784 945 739 851
ENSG00000049540 8 5 4 2 24 16
ENSG00000049541 17 17 13 18 23 29
ENSG00000049618 21 21 21 22 21 19
ENSG00000049656 83 90 86 86 76 83
ENSG00000049759 4 4 4 4 6 5
ENSG00000049769 8 9 8 7 4 4
ENSG00000049860 228 251 243 317 224 259
ENSG00000049883 2 2 1 2 2 2
ENSG00000050130 65 65 66 78 65 77
ENSG00000050165 322 298 338 345 237 281
ENSG00000050344 88 85 102 96 39 46
ENSG00000050393 13 13 12 9 11 12
ENSG00000050405 228 243 260 307 228 254
ENSG00000050426 44 42 43 57 27 34
ENSG00000050438 0 1 0 0 1 1
ENSG00000050748 34 29 38 36 27 30
ENSG00000050820 124 126 123 115 96 100
ENSG00000051009 18 15 17 19 21 20
ENSG00000051108 94 93 85 90 114 128
ENSG00000051128 68 78 77 68 80 74
ENSG00000051180 5 5 5 4 8 9
ENSG00000051341 1 1 1 0 1 2
ENSG00000051382 24 22 29 30 13 18
ENSG00000051523 92 112 108 104 124 120
ENSG00000051596 31 26 29 31 22 25
ENSG00000051620 16 14 17 18 14 13
ENSG00000051825 5 4 5 5 6 7
ENSG00000052126 24 23 30 31 23 26
ENSG00000052723 18 20 18 16 20 20
ENSG00000052749 21 25 20 24 16 18
ENSG00000052795 11 11 13 13 8 12
ENSG00000052802 100 90 148 121 111 115
ENSG00000052841 92 79 83 86 73 85
ENSG00000053254 62 60 64 60 57 53
ENSG00000053371 104 98 101 120 79 68
ENSG00000053372 23 21 21 16 41 40
ENSG00000053438 29 29 28 16 3 4
ENSG00000053501 18 18 20 18 19 19
ENSG00000053702 1 1 1 1 1 1
ENSG00000053747 2 1 2 2 8 7
ENSG00000053770 6 5 5 5 6 6
ENSG00000053900 13 11 12 12 18 23
ENSG00000054116 58 57 61 56 68 62
ENSG00000054118 98 95 103 97 127 136
ENSG00000054148 197 185 203 189 180 144
ENSG00000054267 31 28 31 32 30 32
ENSG00000054277 160 172 159 174 83 91
ENSG00000054282 19 16 16 15 25 27
ENSG00000054356 8 8 4 4 23 16
ENSG00000054392 1 2 1 0 2 1
ENSG00000054523 24 23 23 24 25 27
ENSG00000054598 11 11 10 12 29 23
ENSG00000054611 30 32 35 33 31 30
ENSG00000054654 1 1 1 1 2 2
ENSG00000054793 25 28 34 41 24 32
ENSG00000054938 51 68 17 17 50 36
ENSG00000054965 35 39 35 37 32 34
ENSG00000054967 3 3 2 2 4 4
ENSG00000054983 43 49 42 41 33 43
ENSG00000055044 47 45 39 30 79 82
ENSG00000055070 192 176 205 174 176 179
ENSG00000055118 3 2 1 0 7 6
ENSG00000055130 85 78 95 93 105 106
ENSG00000055147 16 14 16 14 20 22
ENSG00000055163 3 2 3 2 2 2
ENSG00000055208 72 68 79 88 58 65
ENSG00000055211 94 103 91 118 82 91
ENSG00000055332 25 25 26 26 23 25
ENSG00000055483 21 21 19 22 24 24
ENSG00000055609 14 14 14 15 11 12
ENSG00000055917 53 51 55 55 45 49
ENSG00000055950 77 73 77 83 70 60
ENSG00000056050 22 25 28 23 44 40
ENSG00000056097 70 71 65 65 80 85
ENSG00000056277 2 2 4 3 4 3
ENSG00000056558 4 5 7 4 4 4
ENSG00000056586 27 25 27 24 25 27
ENSG00000056661 65 61 67 66 51 50
ENSG00000056736 0 1 0 0 1 1
ENSG00000056972 7 8 8 10 7 6
ENSG00000056998 22 24 30 26 32 32
ENSG00000057019 98 105 82 80 90 96
ENSG00000057252 19 18 21 21 21 26
ENSG00000057593 1 2 2 2 0 0
ENSG00000057608 295 295 301 339 315 353
ENSG00000057657 9 9 9 8 5 7
ENSG00000057663 34 29 37 34 27 28
ENSG00000057757 35 33 37 37 41 35
ENSG00000057935 23 20 20 21 24 22
ENSG00000058056 8 8 9 7 7 8
ENSG00000058063 35 39 40 41 31 37
ENSG00000058085 7 13 5 7 5 4
ENSG00000058091 19 19 21 20 18 18
ENSG00000058262 505 516 520 520 485 534
ENSG00000058272 62 57 66 63 81 97
ENSG00000058453 7 8 7 8 13 12
ENSG00000058600 12 14 10 14 16 17
ENSG00000058668 211 222 216 225 176 189
ENSG00000058673 47 44 48 39 48 51
ENSG00000058729 16 17 14 15 22 25
ENSG00000058799 45 45 56 48 33 35
ENSG00000058804 17 15 18 14 20 28
ENSG00000059122 32 33 37 48 33 31
ENSG00000059145 16 17 14 15 15 13
ENSG00000059377 36 29 59 46 20 31
ENSG00000059378 7 9 9 7 10 11
ENSG00000059573 122 120 114 124 162 166
ENSG00000059588 5 6 4 3 11 11
ENSG00000059691 4 6 6 6 8 7
ENSG00000059728 6 5 5 5 6 6
ENSG00000059758 32 32 29 33 40 40
ENSG00000059769 45 42 53 53 35 42
ENSG00000059804 214 218 235 294 132 181
ENSG00000059915 2 1 1 1 3 2
ENSG00000060069 23 30 28 25 30 30
ENSG00000060138 115 119 107 118 90 88
ENSG00000060237 49 52 52 56 49 50
ENSG00000060339 29 29 29 28 61 69
ENSG00000060491 33 29 31 32 33 37
ENSG00000060642 9 10 9 12 8 8
ENSG00000060656 10 11 4 4 12 10
ENSG00000060688 33 28 33 33 40 45
ENSG00000060718 7 11 3 3 16 29
ENSG00000060749 13 13 13 12 15 18
ENSG00000060762 23 19 22 20 27 24
ENSG00000060971 10 12 12 13 28 26
ENSG00000060982 93 100 92 110 155 169
ENSG00000061273 58 55 62 63 52 51
ENSG00000061337 2 1 3 2 3 4
ENSG00000061656 12 13 12 13 7 6
ENSG00000061676 51 48 56 56 46 52
ENSG00000061794 48 47 44 45 60 62
ENSG00000061918 1 1 1 2 9 7
ENSG00000061936 20 18 23 24 27 27
ENSG00000061938 13 14 13 17 13 13
ENSG00000061987 19 20 20 21 21 22
ENSG00000062194 50 51 56 58 44 45
ENSG00000062282 0 0 0 1 1 1
ENSG00000062370 2 2 2 1 4 4
ENSG00000062485 148 140 163 155 159 168
ENSG00000062524 2 2 1 1 2 3
ENSG00000062582 119 121 127 127 81 74
ENSG00000062598 27 25 25 22 25 28
ENSG00000062650 24 25 24 26 34 35
ENSG00000062716 86 79 89 82 120 133
ENSG00000062725 33 32 34 36 29 30
ENSG00000062822 17 19 17 17 15 20
ENSG00000063046 511 533 517 614 440 414
ENSG00000063169 8 8 7 8 7 7
ENSG00000063176 13 14 11 8 14 13
ENSG00000063177 421 427 460 478 351 302
ENSG00000063180 2 2 1 2 3 2
